recall_id,sum,mbits_to_chars,recall_text,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
7,145.96,0.26,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into the pool. This happened because she saw a bee near my face and, in an attempt to prevent me from getting stung, gave me a gentle shove. At the time, I had just received a glass of champagne from my aunt and had warned my friend to be careful. After falling into the water, I emerged to hear her laughing and apologizing for the mishap. My dress was ruined, and as I climbed out to dry off, my cousin pointed out that I narrowly missed landing on the wedding cake.",19.6,17.75,-0.57,-0.03,16.79,13.95,2.16,13.68,17.89,-0.33,4.4,2.01,-1.46,0.92,5.81,4.97,5.46,22.96
8,148.4,0.24,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into the pool. Everyone was dressed elegantly, and my aunt had just handed me a glass of champagne when my friend spotted a bee near my face. In her panic to prevent me from being stung, she impulsively shoved me, causing me to fall into the water. As I resurfaced, soaked and gasping for air, she couldn't stop laughing and apologized repeatedly. My beautiful dress was ruined, and while I was focused on getting out and drying off, my cousin pointed out that I narrowly missed landing on the wedding cake.",18.65,17.82,4.72,-2.32,17.82,12.9,2.56,15.5,1.46,3.81,2.12,1.89,4.47,3.63,6.96,6.12,9.08,21.21
11,148.69,0.25,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into the pool. She did this to save me from a bee she saw hovering near my face. my aunt had handed me a glass of champagne, and I had cautioned my friend to be careful. However, in her attempt to protect me, she impulsively shoved me, causing me to fall into the water. As I resurfaced, gasping for air, she began laughing and apologized repeatedly for the mishap. My beautiful dress was ruined, and as I was getting out of the pool, that I was just a few inches away from landing on the wedding cake.",19.8,17.29,0.09,-3.16,17.37,14.91,1.77,15.5,17.9,2.19,1.78,1.95,5.61,5.67,6.52,6.67,-1.7,18.53
3,149.57,0.21,"During my cousin's wedding reception at a fancy hotel garden, a humorous incident unfolded involving my best friend and me. As we were all dressed elegantly, my friend noticed a bee near my face and, in an attempt to prevent me from being stung, pushed me into the pool. Unfortunately, at that moment, my aunt had just handed me a glass of champagne, and I had warned my friend to be careful. However, in the heat of the moment, she shoved me, and I ended up in the water. When I came up for air, my friend was laughing and apologizing for her impulsive action. Though my dress was ruined, my cousin lightened the mood by joking that I nearly landed on the wedding cake, being just a few inches away.",17.13,17.53,4.37,-1.47,17.5,15.13,3.58,15.22,18.04,4.3,2.46,1.32,2.44,1.66,5.91,3.4,-4.51,25.56
5,152.87,0.27,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into the pool. She did this in an attempt to save me from a bee that was hovering near my face. Just before this happened, my aunt had given me a glass of champagne, and I warned my friend to be cautious. she pushed me, causing me to fall into the water. When I came up for air, she was laughing and apologizing repeatedly. My dress was ruined, and as I got out to dry off, that if I had fallen just a few inches more, I would have landed on the wedding cake.",19.86,17.88,-0.75,-2.41,16.42,15.12,2.2,14.9,18.56,1.35,1.78,2.59,2.68,1.73,6.04,5.77,5.8,23.35
16,157.17,0.29,"During my cousin's wedding reception at a fancy hotel garden, my best friend pushed me into the pool. Everyone was dressed elegantly, and I had just been handed a glass of champagne by my aunt. My friend noticed a bee hovering near my face and, trying to save me from being stung, impulsively shoved me, causing me to fall into the water. When I resurfaced, gasping, she was laughing and apologizing profusely. My dress was ruined, so I immediately got out to dry off. My cousin humorously pointed out that I had narrowly missed landing on the cake.",19.51,18.38,4.55,-3.16,16.64,16.4,4.84,15.67,-0.26,4.28,2.8,2.06,5.13,2.38,7.05,4.92,12.8,23.18
6,161.07,0.23,"During my cousin's wedding reception at a fancy hotel garden, an unexpected incident occurred with my best friend. While we were all dressed elegantly, my friend saw a bee near my face and, in an attempt to prevent me from being stung, she impulsively pushed me into the pool. Just before this happened, my aunt had given me a glass of champagne, and I had warned my friend to be careful. Unfortunately, her good intentions didn't go as planned. I fell into the water, and when I came up for air, she was laughing and apologizing repeatedly. My dress, unfortunately, was ruined, and as I climbed out to dry off, my cousin remarked how I narrowly missed landing on the wedding cake, just inches away.",17.61,17.84,4.51,-2.08,17.04,14.67,4.31,14.31,18.86,4.3,0.39,2.2,3.05,2.17,5.58,4.78,4.72,26.81
10,161.69,0.25,"At my cousin's wedding reception, held at a fancy hotel garden, my best friend unexpectedly pushed me into the pool. The mishap occurred because she spotted a bee near my face and, in an attempt to prevent me from being stung, gave me a shove. This happened just after my aunt had handed me a glass of champagne and I was cautioning my friend to be careful. Not thinking it through, my friend pushed me and I ended up in the water. When I emerged, gasping, she was laughing but also immediately apologized. My dress was ruined, and as I got out to dry off, my cousin jokingly pointed out that I had narrowly missed landing on the wedding cake.",19.09,17.68,-0.83,-0.43,17.75,13.5,3.83,15.43,17.68,6.36,3.42,1.34,5.79,2.68,3.78,4.68,7.66,22.28
13,162.65,0.26,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into a pool. She did this to protect me from a bee that was hovering near my face, as she was concerned it might sting me. This happened just after my aunt handed me a glass of champagne, and I had warned my friend to be careful. Friends often act impulsively, so she gave me a little shove, causing me to fall into the water. As I resurfaced, gasping, my friend burst into laughter and repeatedly apologized for the mishap. My dress was ruined, and my cousin humorously pointed out that I narrowly missed landing on the cake.",19.14,17.7,-0.35,-2.14,14.52,14.02,1.96,15.9,17.7,16.4,6.92,2.45,6.28,4.21,5.75,5.09,-5.7,22.8
17,165.91,0.27,"During a wedding reception at a fancy hotel garden, my best friend accidentally pushed me into a pool. This happened because she spotted a bee near my face and wanted to protect me from being stung. I was holding a glass of champagne given to me by my aunt and had warned my friend to be careful. In her attempt to help, she gave me a shove, causing me to fall into the water. As I surfaced, gasping for air, she started laughing and apologized profusely. My dress was ruined, and as I got out to dry off, my cousin humorously pointed out that I almost landed on the cake, missing it by just a few inches.",17.96,13.69,-0.49,-1.25,18.08,14.24,3.83,13.74,17.82,2.88,4.55,2.1,5.28,5.58,7.65,5.35,5.96,28.94
12,168.44,0.24,"During my cousin's wedding reception at a fancy hotel garden, my best friend accidentally pushed me into the pool. The incident occurred when she noticed a bee hovering near my face and attempted to protect me from being stung. Unfortunately, I ended up falling into the water just after my aunt had handed me a glass of champagne, despite my warning to my friend to be cautious. As friends sometimes act impulsively, her effort to help led to my unexpected plunge. Once I resurfaced, she was laughing and repeatedly apologizing for her actions. My dress was ruined as a result, and as I got out of the pool to dry off, my cousin humorously noted how close I was to landing on the wedding cake.",18.64,17.65,-1.1,-1.73,16.9,15.28,4.47,17.56,17.22,15.92,1.99,1.22,-3.15,3.9,6.13,5.07,7.2,25.27
