index,len,rate,keypoints,mbits,"produced
key points","required
key points",attempt,rephrase,rephrase_len,rephrased_mbits,rephrase_rate
11,300,0.339,"My best friend pushed me into the pool during my cousin's wedding reception. She pushed me because she saw a bee near my face and tried to save me. I fell into the water after warning her to be careful with the champagne my aunt gave me. After resurfacing, my cousin said I nearly landed on the cake.",101.7,4,4,1,"At my cousin's wedding party, my closest companion shoved me into the swimming area. Her push was an attempt to protect me from a bee that was hovering close to my face. Plunging into the liquid, I had just cautioned her about the bubbly drink my aunt had handed me. Once I emerged, my cousin remarked that I had almost crashed into the dessert.",345,72.811712047694,0.211
12,304,0.3534,"My best friend pushed me into the pool during my cousin's wedding reception. She did it to save me from a bee hovering near my face. I warned her to be careful as I held a glass of champagne. When I resurfaced, she laughed and apologized, and my cousin joked about how close I was to landing on the cake.",107.42,4,4,3,"At my cousin's wedding party, my closest companion shoved me into the swimming area. Her action was a quick response to a bee that was lingering close to my visage. I had cautioned her to tread lightly since I was clutching a flute of bubbly. Upon emerging, she chuckled, offered her regrets, and my cousin made light of the narrow miss I had with the dessert.",360,82.783926728554,0.23
13,310,0.3396,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me to save me from a bee. I was holding a glass of champagne. Friends sometimes act impulsively. I fell into the water and resurfaced. She laughed and apologized. My cousin joked I almost landed on the cake.,105.28,8,8,2,My closest companion shoved me into the swimming area. It occurred at my relative's marriage celebration. She shoved me as a means to protect me from a bee. In my hand was a flute of sparkling wine. Companions can behave spontaneously at times. I plunged into the liquid and came back up. She chuckled and expressed her regret. My cousin quipped that I nearly toppled onto the dessert.,385,92.513144263574,0.2403
14,319,0.2793,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me to save me from a bee. I was holding a glass of champagne at the time. I fell into the water after a little shove. She laughed and apologized when I resurfaced. My cousin joked about me almost landing on the cake.,89.09,7,7,1,"My closest companion shoved me into the swimming area. It occurred at my relative's marriage celebration. She nudged me as a means to protect me from a wasp. At that moment, I had a flute of sparkling wine in my grasp. A slight push sent me tumbling into the liquid. Upon my emergence, she chuckled and expressed her regret. My family member made a quip about my near miss with the dessert.",390,77.04520772193399,0.1976
15,330,0.3684,My best friend pushed me into the pool. This happened during my cousin's wedding reception. A bee was hovering near my face. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. I tumbled into the water with a little shove. My cousin said I almost landed on the cake.,121.56,8,8,3,"My closest companion shoved me into the swimming area. It occurred at my cousin's marriage celebration. A bee was buzzing close to my visage. She attempted to prevent me from getting stung. My aunt had recently given me a flute of champagne. I cautioned her to exercise caution. With a gentle push, I plunged into the liquid. My cousin remarked that I nearly toppled onto the dessert.",384,98.40173790804401,0.2563
16,333,0.2788,My best friend pushed me into the pool. This happened during my cousin's wedding reception. My friend spotted a bee near my face. She shoved me to save me from being stung. I fell into the water with a glass of champagne in hand. My friend laughed and apologized after I resurfaced. My cousin joked about how close I was to the cake.,92.84,7,7,3,"My closest companion nudged me into the swimming area. It occurred at my relative's marriage celebration. My buddy noticed an insect close to my cheek. She pushed me as a precaution against the sting. I plunged into the liquid holding a flute of bubbly. After I emerged, my friend chuckled and expressed regret. My relative quipped about my proximity to the dessert.",366,78.846797669724,0.2154
17,351,0.3361,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me because a bee was near my face. My aunt had just handed me a glass of champagne. I warned her to be careful. I tumbled into the water because of her shove. She laughed and apologized when I resurfaced. My cousin said I nearly landed on the cake.,117.97,8,8,1,"My closest companion shoved me into the swimming area. It occurred at my relative's marriage celebration. She shoved me due to a bee hovering close to my face. Just moments before, my aunt had given me a flute of champagne. I cautioned her to take caution. Her push sent me plunging into the liquid. Upon my emergence, she chuckled and offered her apologies. My relative remarked that I almost toppled onto the dessert.",419,105.666171798484,0.2522
18,358,0.3146,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend saw a bee near my face. She tried to save me from being stung. My aunt handed me a glass of champagne. She pushed me as a reflex to the bee. I resurfaced gasping and she laughed. My cousin joked I almost landed on the cake.,112.64,9,9,3,"My closest companion shoved me into the swimming area. It occurred at my cousin's matrimonial celebration. All attendees were attired in their finest. My pal noticed a bee hovering near my cheek. Her intention was to prevent me from a bee sting. My relative offered me a flute of bubbly. Her push was an instinctive reaction to the insect. Emerging from the water, I took a sharp breath and she snickered. My cousin humorously remarked that I nearly toppled onto the dessert.",475,102.45248865411399,0.2157
19,368,0.3673,My best friend pushed me into the pool. This happened at my cousin's wedding reception. My friend spotted a bee near my face. We were at a fancy hotel garden. My aunt handed me a glass of champagne. I warned my friend to be careful. She gave me a little shove into the water. My friend laughed and apologized profusely. My cousin mentioned I almost landed on the cake.,135.16,9,9,1,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. My pal noticed a bee hovering close to my cheek. We were situated in the luxurious garden of a hotel. My relative passed me a flute of sparkling wine. I cautioned my buddy to exercise caution. She playfully pushed me, causing me to fall into the pool. My companion burst into laughter and offered many apologies. My cousin pointed out that I nearly toppled onto the dessert.",492,107.441455824461,0.2184
20,375,0.3694,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. This was at a fancy hotel garden. My aunt had just handed me champagne. I warned her to be careful. She gave me a little shove. I tumbled into the water. She started laughing and apologized. My cousin joked about the cake.,138.52,11,11,1,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest. She noticed a bee hovering close to my cheek. The event was set in an upscale hotel's garden. Just moments before, my aunt had given me a glass of bubbly. I cautioned her to exercise caution. She playfully pushed me a bit. I fell over into the aquatic depths. She burst into giggles and offered her regrets. My cousin made a quip regarding the wedding cake.",518,108.2866818497,0.209
21,376,0.2923,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. A bee was hovering near my face. My friend tried to save me from being stung. I was holding a glass of champagne. My friend gave me a little shove. I tumbled into the water. My friend laughed and apologized. My cousin said I almost landed on the cake.,109.89,10,10,3,My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. All were attired in their finest. A bee was fluttering close to my visage. My buddy attempted to prevent me from getting stung. I was clutching a flute of sparkling wine. My companion gave me a slight push. I fell into the liquid expanse. My pal chuckled and offered an apology. My relative mentioned I nearly toppled onto the dessert.,439,81.14594817986399,0.1848
22,398,0.3325,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She saw a bee hovering near my face. She tried to save me from being stung. My aunt handed me a glass of champagne. My friend didn't think things through. I tumbled into the water with her shove. She laughed and apologized profusely. My cousin said I almost landed on the cake.,132.32,10,10,2,"My closest companion nudged me into the swimming pool. It occurred during my cousin's nuptial celebration. All attendees were garbed in their finest attire. She noticed a bee flitting close to my head. Her intention was to prevent me from a bee sting. My aunt presented me with a flute of champagne. My pal didn't fully consider the consequences. With her push, I plunged into the aquatic depths. She burst into laughter while offering her apologies. My cousin remarked that I nearly toppled onto the cake.",506,112.883988861454,0.2231
23,410,0.3769,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. We were at a fancy hotel garden. My aunt handed me a glass of champagne. I warned her to be careful. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She started laughing and apologized. My cousin joked about the cake.,154.51,12,12,2,"My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. All attendees were garbed in their finest attire. She noticed a bee hovering close to my head. The setting was an upscale hotel's garden. My aunt presented me with a flute of champagne. I cautioned her to exercise caution. She nudged me gently. I fell into the pool. Emerging from the water, I was gasping for breath. She burst into laughter and offered her apologies. My cousin made a quip about the wedding cake.",518,122.321480484168,0.2361
24,413,0.3953,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. She tried to save me from being stung. I was at a fancy hotel garden. My aunt had just given me champagne. I warned her to be careful. She shoved me, and I fell in the water. She laughed and apologized profusely. My cousin said I almost landed on the cake.",163.25,11,11,3,"My closest companion nudged me into the swimming area. It occurred at my relative's marriage celebration. All attendees were garbed in their finest attire. She noticed a bee hovering close to my cheek. Her intention was to prevent me from getting stung. I found myself in the midst of a luxurious hotel's garden. Just moments before, my aunt had handed me a glass of bubbly. I cautioned her to exercise caution. With a push, she sent me tumbling into the aquatic depths. She burst into laughter while offering her heartfelt apologies. My relative mentioned that I nearly toppled onto the dessert.",596,129.601323365884,0.2175
25,416,0.383,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. My aunt had just handed me a glass of champagne. I warned my friend to be careful. My friend gave me a little shove. I surfaced gasping for air, and she laughed and apologized. My cousin said I almost landed on the cake.",159.35,10,10,1,"My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. All attendees were garbed in their finest attire. My pal noticed a bee hovering close to my cheek. We were situated in an upscale hotel's botanical space. Just moments before, my aunt had presented me with a flute of sparkling wine. I cautioned my buddy to exercise caution. My companion gave me a slight push. Emerging from the water, I inhaled sharply, while she chuckled and offered her regrets. My cousin remarked that I nearly toppled onto the dessert.",561,125.292293303784,0.2233
26,428,0.4059,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. This was at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. She gave me a little shove. I resurfaced gasping for air. She started laughing and apologized. My cousin said I almost hit the cake.,173.74,12,12,1,"My closest companion nudged me into the swimming area. It occurred at my relative's marriage celebration. All were attired in their finest. She noticed a bee hovering close to my head. This took place in the upscale hotel's garden. Her intention was to prevent me from a bee sting. Just moments before, my aunt had given me a glass of bubbly. I cautioned her to proceed with caution. She delivered a slight push to me. Emerging from the water, I was panting for breath. She burst into laughter and offered her regrets. My relative mentioned I nearly collided with the dessert.",576,135.071340346954,0.2345
27,439,0.3673,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. She spotted a bee hovering near my face at a hotel garden. My aunt had just handed me a glass of champagne. I warned my friend to be careful. She gave me a little shove to save me from the bee. I resurfaced gasping for air and she apologized. My beautiful dress was ruined, so I had to dry off. My cousin joked about me almost landing on the cake.",161.24,9,9,2,"My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. She noticed a bee fluttering close to my head in the hotel's botanical area. Just moments before, my aunt had given me a flute of bubbly. I cautioned my pal to tread carefully. To protect me from the insect, she nudged me slightly. Emerging from the water, I inhaled sharply and received her apology. My elegant gown was spoiled, necessitating a quick dry. My cousin humorously remarked on my near miss with the confection.",527,125.82513597166401,0.2388
28,462,0.3083,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. A bee was hovering near my face. My friend tried to save me from the bee. My aunt handed me a glass of champagne. I warned my friend to be careful. My friend did not think things through. She pushed me, and I fell into the water. I gasped for air and resurfaced. My friend laughed and apologized. My cousin noted I nearly landed on the cake.",142.43,12,12,3,"My closest companion shoved me into the swimming pool. It occurred during my cousin's marriage celebration. All attendees were garbed in their finest. A bee was fluttering close to my visage. My pal attempted to rescue me from the insect. My aunt presented me with a flute of champagne. I cautioned my buddy to exercise caution. My friend hadn't fully thought it through. She nudged me, causing me to tumble into the liquid. I inhaled sharply and bobbed back to the surface. My companion chuckled and offered her regrets. My cousin remarked that I almost toppled onto the dessert.",580,132.98470408702102,0.2293
29,496,0.3052,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress at the wedding. She spotted a bee hovering near my face. She tried to save me from being stung by the bee. My aunt had just handed me a glass of champagne. I warned her to be careful with the glass. She gave me a little shove into the pool. She laughed and apologized after I resurfaced. My beautiful dress was ruined by the water. My cousin joked I almost landed on the cake.,151.39,11,11,2,"My closest companion nudged me into the swimming pool. The incident took place during my cousin's wedding celebration. All the guests were attired in their most elegant outfits for the occasion. She noticed a bee fluttering close to my head. Her intention was to prevent the bee from stinging me. Just moments before, my aunt had given me a flute of champagne. I cautioned her to handle the glass with care. She playfully pushed me into the water. After I emerged, she chuckled and offered her apologies. The water spoiled my exquisite gown. My cousin humorously remarked that I nearly toppled onto the wedding cake.",616,125.10179899946402,0.2031
30,499,0.4097,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just given me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced, gasping for air. She laughed and apologized profusely. My cousin said I almost landed on the cake.",204.44,14,14,3,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest attire. She noticed a bee hovering close to my head. The event was at an upscale hotel's botanical area. Her intention was to prevent me from a bee sting. Just moments before, my aunt had handed me a glass of bubbly. I cautioned her to proceed with caution. Companions don't always fully consider their actions. She delivered a gentle push in my direction. I fell over into the aquatic feature. Emerging from the water, I inhaled sharply. She burst into laughter while offering her sincere apologies. My cousin remarked that I nearly toppled onto the dessert.",719,156.879847753899,0.2182
31,503,0.4072,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee hovering near my face. The location was a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I resurfaced, gasping for air. She started laughing and apologized. My cousin said I almost landed on the cake.",204.81,13,13,3,"My closest companion nudged me into the swimming area. It occurred at my relative's marriage celebration. All attendees were garbed in their finest. She noticed a bee fluttering close to my visage. The venue was an upscale hotel's garden. Her intention was to prevent me from a bee sting. Just moments before, my aunt had given me a flute of champagne. I cautioned her to exercise caution. Companions don't always fully consider their actions. She provided a gentle push. Emerging from the water, I inhaled sharply. She burst into laughter and offered her regrets. My cousin remarked that I nearly toppled onto the cake.",620,156.30904483004102,0.2521
32,511,0.3896,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. She started laughing and apologized. My beautiful dress was ruined. My cousin joked about almost landing on the cake.,199.09,14,14,2,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest attire. My pal noticed a bee hovering close to my cheek. We were situated in the elegant garden of a hotel. Her intention was to prevent me from a bee sting. Just moments before, my aunt had given me a glass of bubbly. I cautioned her to proceed with caution. Companions don't always fully consider their actions. She nudged me gently. I fell splash into the pool. She burst into laughter and offered her regrets. My exquisite gown was completely spoiled. My cousin made a quip about nearly toppling onto the dessert.",677,162.86016296988402,0.2406
33,514,0.3837,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned my friend to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. When I resurfaced, she started laughing and apologized. My cousin said I nearly landed on the cake.",197.22,13,13,2,"My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. All attendees were garbed in their finest. My pal noticed a bee hovering close to my cheek. We were situated in an upscale hotel's botanical area. Her intention was to prevent me from a bee sting. Just moments before, my aunt had given me a flute of champagne. I cautioned my buddy to exercise caution. Companions don't always fully consider their actions. She nudged me gently. I plunged into the aquatic depths. Emerging from the water, she burst into laughter and offered her regrets. My relative mentioned I almost toppled onto the dessert.",648,145.12082955071202,0.224
34,517,0.3968,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress there. She spotted a bee near my face. This was at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She laughed and apologized profusely. My cousin said I almost landed on the cake.,205.16,14,14,1,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest attire. She noticed a bee hovering close to my head. We were at an upscale hotel's garden area. Her intention was to prevent me from getting a bee sting. Just moments before, my aunt had given me a flute of sparkling wine. I cautioned her to proceed with caution. Companions don't always fully consider their actions. She nudged me gently. I fell over into the aquatic expanse. Emerging from the water, I was panting for breath. She burst into laughter and offered many apologies. My cousin remarked that I nearly toppled onto the dessert.",699,158.946295720844,0.2274
35,534,0.396,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. A bee hovered near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I gasped for air when I resurfaced. She laughed and apologized profusely. My beautiful dress was ruined. My cousin joked about me landing on the cake.,211.46,15,15,3,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest attire. A bee lingered close to my visage. The setting was an upscale hotel's botanical area. Her intention was to prevent me from getting stung. Just moments before, my aunt had presented me with a glass of bubbly. I cautioned her to exercise caution. Companions don't invariably contemplate the consequences. She delivered a gentle nudge. I plunged into the aquatic depths. Upon emerging, I inhaled sharply for breath. She burst into laughter and offered numerous apologies. My exquisite gown was completely spoiled. My cousin made light of the situation by quipping I could have crashed into the cake.",764,166.667727235054,0.2182
36,546,0.3426,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress during the reception. A bee was hovering near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had handed me a glass of champagne. I warned my friend to be careful. Friends don't always think things through. My friend shoved me, and I fell into the pool. I resurfaced, gasping for air. She laughed and apologized profusely. My cousin commented on how close I was to landing on the cake.",187.04,13,13,1,"My closest companion nudged me into the swimming area. The incident took place during my cousin's nuptial celebration. All attendees were garbed in their finest for the event. A buzzing insect lingered near my visage. The setting was an upscale hotel's botanical space. Her intention was to prevent me from getting stung. I had just received a flute of sparkling wine from my aunt. I cautioned my pal to tread lightly. Companions don't always fully consider their actions. My companion gave me a push, and I toppled into the water. Emerging from the water, I inhaled sharply for breath. She burst into laughter and offered numerous apologies. My cousin remarked on my narrow miss of the confectionery display.",709,151.621170766024,0.2139
37,555,0.3993,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. My friend saw a bee near my face. We were in a fancy hotel garden. She tried to save me from being stung. My aunt gave me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove into the water. I resurfaced, gasping for air. She started laughing and apologizing. My beautiful dress was ruined. I needed to get out and dry off. My cousin said I almost landed on the cake.",221.61,15,15,1,"My closest companion nudged me into the swimming area. It occurred during the celebration after my cousin's nuptials. All attendees were garbed in their finest attire. My pal noticed a bee hovering close to my head. We stood in the elegant courtyard of a posh hotel. Her intention was to prevent me from getting a bee sting. My relative handed me a flute of sparkling wine. I cautioned her to handle it with care. Companions don't always fully consider their actions. She nudged me gently, causing me to fall into the pool. Emerging from the water, I inhaled sharply. She burst into laughter while offering her apologies. My exquisite gown was completely spoiled. I had to exit the pool and seek to dry myself. My cousin remarked that I nearly toppled onto the dessert.",769,180.151275822754,0.2343
38,571,0.3892,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee hovering near my face. The reception was at a fancy hotel garden. She tried to save me from being stung. My aunt had handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She apologized profusely while laughing. My beautiful dress was ruined. My cousin joked about me almost landing on the cake.,222.26,15,15,2,"My closest companion nudged me into the swimming area. It occurred at my cousin's marriage celebration. All were attired in their finest. She noticed a bee fluttering close to my cheek. The festivity took place in an upscale hotel's garden. Her intention was to prevent me from getting stung. My aunt had just given me a flute of champagne. I cautioned her to exercise caution. Companions don't always fully consider their actions. She nudged me gently. I fell over into the aqua. Emerging, I gasped for breath. While giggling, she offered her profuse apologies. My elegant gown was completely spoiled. My cousin made light of the situation, teasing about my near miss with the cake.",683,168.771391124474,0.2471
