recall_id,clause_id,clause_text,rephrased_text
597631e5082c9e000150dc26,9,and rescued him.,and saved him.
5983d65a5f25e900012642a6,1,In boy scouts,During his time in the boy scouts
5983d65a5f25e900012642a6,2,"and going up and down near pier,","while moving back and forth close to the pier,"
5983d65a5f25e900012642a6,3,on third time got cramp,he experienced a cramp on the third attempt
5983d65a5f25e900012642a6,4,"but group thought was putting it on,","yet his peers believed he was feigning it,"
5983d65a5f25e900012642a6,5,scoutmaster wasn't paying attention,as the scoutmaster was not observing carefully
5983d65a5f25e900012642a6,6,so a third person jumped down.,prompting a third individual to dive in.
59974ec21b3d95000121f77c,1,In Boy Scouts,During my time in the Boy Scouts
59974ec21b3d95000121f77c,2,With a crowd of other scouts.,"Surrounded by a group of fellow scouts,"
59974ec21b3d95000121f77c,3,Fell into water,I tumbled into the water
59974ec21b3d95000121f77c,4,and repeatedly submerging.,continuously sinking beneath the surface.
59974ec21b3d95000121f77c,5,Other Scouts,The other Scouts
59974ec21b3d95000121f77c,6,and Scoutmaster oblivious to the predicament.,"along with the Scoutmaster, were unaware of the danger I was in."
59974ec21b3d95000121f77c,7,A stranger came to the rescue,An unknown individual intervened to help
59974ec21b3d95000121f77c,8,and pulled me out.,and hauled me to safety.
59c63ec50aaf750001213c37,1,boy scout on a trip,a scout boy on an excursion
59c63ec50aaf750001213c37,2,wit 8 or 9 others,accompanied by 8 or 9 peers
59c63ec50aaf750001213c37,3,at the pier.,near the dock.
59c63ec50aaf750001213c37,4,boy falls in,the boy tumbles into the water
59c63ec50aaf750001213c37,5,"but scout leader does nothing,","yet the scoutmaster takes no action,"
59c63ec50aaf750001213c37,6,passer by rescues him.,a bystander saves the boy.
59d4d493c618a50001cf5c6a,1,He was in the boyscouts at the time.,"At that period, he was a member of the boyscouts."
59d4d493c618a50001cf5c6a,2,"They were at the pier doing a race,","They were on the dock engaged in a competition,"
59d4d493c618a50001cf5c6a,3,"about 8 or 9 of them,","with roughly 8 or 9 participants,"
59d4d493c618a50001cf5c6a,4,"racing,","competing in the race,"
59d4d493c618a50001cf5c6a,5,going backwards and forwards.,moving back and forth.
59d4d493c618a50001cf5c6a,6,"He had cramps and yelled out,","He experienced muscle cramps and cried out,"
59d4d493c618a50001cf5c6a,7,but they didn't believe him.,yet they dismissed his claims.
59d4d493c618a50001cf5c6a,8,They thought he wanted to stop.,They assumed he was looking for an excuse to quit.
59d4d493c618a50001cf5c6a,9,That's when the man leaned over and grabbed him.,It was at that moment a man reached out and rescued him.
5a6325d713898300014b2f82,1,When I was in the Boy Scouts one time,"Once, during my time with the Boy Scouts,"
5a6325d713898300014b2f82,2,"we were racing on the pier,","we engaged in a race along the dock,"
5a6325d713898300014b2f82,3,doing the 50 yard dash.,competing in a 50-yard sprint.
5a6325d713898300014b2f82,4,Lots of boys were running up and down the pier.,Numerous lads were sprinting back and forth on the dock.
5a6325d713898300014b2f82,5,I started to get cramps,"Suddenly, I began to feel cramps"
5a6325d713898300014b2f82,6,and yelled for help,and I shouted out for assistance
5a6325d713898300014b2f82,7,"but none of the boys believed me,","yet none of my fellow scouts took me seriously,"
5a6325d713898300014b2f82,8,they thought I was trying to trick them into stopping.,assuming I was attempting to deceive them into halting.
5a6325d713898300014b2f82,9,The Scoutmaster even came over.,Even the Scoutmaster approached to see what was happening.
5a6325d713898300014b2f82,10,For no particular reason,"Without any specific reason,"
5a6325d713898300014b2f82,11,a random guy stopped to help me.,an individual who was passing by decided to offer his aid.
5aa18536dbdb470001ef2cf1,1,"Yeh,","Yep,"
5aa18536dbdb470001ef2cf1,2,so I was in the boy scouts,I happened to be a member of the boy scouts
5aa18536dbdb470001ef2cf1,3,and we was doing the 50 yard dash.,where we engaged in the 50-yard sprint.
5aa18536dbdb470001ef2cf1,4,We was doing the 50 yard dash,We were sprinting the 50 yards
5aa18536dbdb470001ef2cf1,5,and two or three times in,and after a few attempts
5aa18536dbdb470001ef2cf1,6,and I got the cramps.,I was struck by cramps.
5aa18536dbdb470001ef2cf1,7,I started yelling for help,I began to shout for assistance
5aa18536dbdb470001ef2cf1,8,but nobody believed me,yet no one took me seriously
5aa18536dbdb470001ef2cf1,9,because they thought I was trying to catch up,thinking I was merely trying to gain ground
5aa18536dbdb470001ef2cf1,10,because I was slowing down.,since my pace was decreasing.
5aa18536dbdb470001ef2cf1,11,The scoutmaster was there,The scout leader was present
5aa18536dbdb470001ef2cf1,12,and he paid me no attention.,who completely disregarded me.
5aa18536dbdb470001ef2cf1,13,Then suddenly a man came up at that time,"Out of nowhere, a man approached at that moment"
5aa18536dbdb470001ef2cf1,14,and he grabbed me.,and he seized me.
5ac0eabce1546900019bd744,1,About 8 or 9 boy scouts were doing a 50 yard dash from the pier.,Roughly eight or nine boy scouts commenced a sprint for 50 yards starting at the dock.
5ac0eabce1546900019bd744,2,The boy narrating began to experience cramps,The boy who was recounting the tale started to feel muscle spasms
5ac0eabce1546900019bd744,3,but the other boys didn't believe him,yet his peers were skeptical of his claims
5ac0eabce1546900019bd744,4,and thought he was pulling a fast one,suspecting he was attempting to deceive them
5ac0eabce1546900019bd744,5,"so kept on going,","thus they continued onward,"
5ac0eabce1546900019bd744,6,leaving him behind.,proceeding to leave him in their wake.
5ac0eabce1546900019bd744,7,The Scoutmaster watched,The Scoutmaster observed the situation
5ac0eabce1546900019bd744,8,but ignored him,but chose to disregard the boy
5ac0eabce1546900019bd744,9,then a guy appeared,when suddenly a man emerged
5ac0eabce1546900019bd744,10,and grabbed the boy.,and seized the boy.
5acb92e9e1099600016ad073,1,There were 8-9 Boy Scouts doing a 50 yard run.,Around eight to nine Boy Scouts participated in a 50-yard dash.
5acb92e9e1099600016ad073,2,"On the third run,","During the third attempt,"
5acb92e9e1099600016ad073,3,"the narrator got cramp,","the storyteller experienced a muscle cramp,"
5acb92e9e1099600016ad073,4,but the other scouts thought he was using it as a tactic to catch up,yet his fellow scouts suspected he was employing this as a strategy to gain ground
5acb92e9e1099600016ad073,5,and the scoutmaster did not respond,and the scout leader remained unresponsive
5acb92e9e1099600016ad073,6,so another guy helped him out.,"thus, a different scout came to his aid."
5afdd098b8c14a00019f2701,1,doing the 50 yard dash in boyscouts,Running the 50-yard sprint in Boy Scouts
5afdd098b8c14a00019f2701,2,there were 8 or 9 of them,They numbered between eight and nine
5afdd098b8c14a00019f2701,3,going down,Descending
5afdd098b8c14a00019f2701,4,and up,Then ascending
5afdd098b8c14a00019f2701,5,and back down again,Followed by another descent
5afdd098b8c14a00019f2701,6,and then someone jumped out at them,"Suddenly, an individual leaped out towards them"
5afde9de3eb22c00019bb6e3,1,I was doing the 50 yard dash,I engaged in a sprint covering fifty yards
5afde9de3eb22c00019bb6e3,2,it was the scouts,the occasion was a scouting event
5afde9de3eb22c00019bb6e3,3,"and we were doing it by the pier,","with the location being near the dockside,"
5afde9de3eb22c00019bb6e3,4,"it was marked,","the course was clearly delineated,"
5afde9de3eb22c00019bb6e3,5,and we was going up and down,as we repeatedly ran back and forth
5afde9de3eb22c00019bb6e3,6,and all of a sudden I caught cramps,when suddenly I was struck by muscle spasms
5afde9de3eb22c00019bb6e3,7,and I called for help,prompting me to shout out for assistance
5afde9de3eb22c00019bb6e3,8,but the guys didn't believe me,yet my peers seemed to doubt my plight
5afde9de3eb22c00019bb6e3,9,and the Scoutmaster he was up at the top,while the Scoutmaster stood at the higher end
5afde9de3eb22c00019bb6e3,10,then there was this guy who had just walked up,"at that moment, a newcomer appeared on the scene"
5afde9de3eb22c00019bb6e3,11,and he reached and grabbed me.,who promptly extended his hand and rescued me.
5b36b8001d4b680001690d9c,1,So I was in the boy scouts,"Thus, I participated in the boy scouts"
5b36b8001d4b680001690d9c,2,and we was doing the 5 mile dash.,where we engaged in a five-mile sprint.
5b36b8001d4b680001690d9c,3,We was going up and down.,The route took us uphill and downhill.
5b36b8001d4b680001690d9c,4,"I got cramps,","Cramps afflicted me,"
5b36b8001d4b680001690d9c,5,scoutmaster was watching,while the scoutmaster observed
5b36b8001d4b680001690d9c,6,but wasn't paying no attention to me.,yet he didn't focus on me at all.
5b44292f99da270001bd3f53,1,The person was a boy scout,The individual belonged to the boy scouts
5b44292f99da270001bd3f53,2,and was running a 50meter dash.,and participated in a 50-meter sprint.
5b44292f99da270001bd3f53,3,They got cramp,They experienced a muscle cramp
5b44292f99da270001bd3f53,4,and nobody believed them,yet no one gave credence to their claim
5b44292f99da270001bd3f53,5,as they started to slow down.,when they began to decelerate.
5b74ba4e45975900018d4451,1,"Yeh,","Yes,"
5b74ba4e45975900018d4451,2,we were in the Boy Scouts at the time,we belonged to the Boy Scouts back then
5b74ba4e45975900018d4451,3,and we went for a walk all together,and we all set out for a hike
5b74ba4e45975900018d4451,4,but I got lost,yet I ended up getting separated
5b74ba4e45975900018d4451,5,"and Scout Master was there,","with the Scout Master present,"
5b74ba4e45975900018d4451,6,but then there was a another boy,when suddenly another boy
5b74ba4e45975900018d4451,7,who just grabbed me.,seized hold of me.
5bcf6fee56885200013225a6,1,yeh,Yep
5bcf6fee56885200013225a6,2,i was in the boy scouts.,I belonged to the boy scouts.
5bcf6fee56885200013225a6,3,there was about 8 or 9 of us,We were a group of about eight or nine.
5bcf6fee56885200013225a6,4,and we was swimming in this lake,We were taking a swim in a lake
5bcf6fee56885200013225a6,5,and we were going up and down,bobbing up and down in the water
5bcf6fee56885200013225a6,6,"and up and down,","repeatedly ascending and descending,"
5bcf6fee56885200013225a6,7,"and, then i caught a cramp.",when suddenly I got a muscle cramp.
5bcf6fee56885200013225a6,8,i was shouting 'help me!',"I started yelling, 'Help me!'"
5bcf6fee56885200013225a6,9,but the boys thought i was just trying to catch up.,"However, the others assumed I was just trying to keep up."
5bcf6fee56885200013225a6,10,so they kept going.,"Therefore, they continued on."
5bcf6fee56885200013225a6,11,and the scoutmaster didnt do nothing either.,The scoutmaster didn't intervene either.
5bcf6fee56885200013225a6,12,luckily a man was just walking up.,"Fortunately, there happened to be a man approaching."
5bcf6fee56885200013225a6,13,and he came over .,He noticed and came to assist.
5be0bf8e292b64000169a165,1,I was in the Boy Scouts,I belonged to the Boy Scouts
5be0bf8e292b64000169a165,2,"and we was doing the 50 yard dash,","and we were engaged in a 50-yard sprint,"
5be0bf8e292b64000169a165,3,"racing,",competing
5be0bf8e292b64000169a165,4,down at the pier.,by the waterfront.
5be0bf8e292b64000169a165,5,"It was marked off,","The course was delineated,"
5be0bf8e292b64000169a165,6,"so we were doing the 50 yard dash,","thus we participated in the 50-yard sprint,"
5be0bf8e292b64000169a165,7,"going up and down,","moving back and forth,"
5be0bf8e292b64000169a165,8,all the guys.,with all the fellows.
5be0bf8e292b64000169a165,9,I started to go down,As I began to sprint
5be0bf8e292b64000169a165,10,and I got cramps,I experienced muscle cramps
5be0bf8e292b64000169a165,11,and I was yelling “Help”,and I started shouting 'Help'
5be0bf8e292b64000169a165,12,but the guys ignored me,yet the others disregarded me
5be0bf8e292b64000169a165,13,because they thought I was just slowing down,believing I was merely slowing down
5be0bf8e292b64000169a165,14,or whatever.,or something to that effect.
5be0bf8e292b64000169a165,15,"The scoutmaster was up above,","The scout leader was positioned higher up,"
5be0bf8e292b64000169a165,16,he could see,he had a clear view
5be0bf8e292b64000169a165,17,and he didn’t do nothing.,and yet he did nothing.
5be0bf8e292b64000169a165,18,So I was going down,While I was sinking
5be0bf8e292b64000169a165,19,and someone who just walked up that minute at random crossed over the barrier,a random newcomer who had just arrived at that moment crossed the boundary
5be0bf8e292b64000169a165,20,and came in,entered the area
5be0bf8e292b64000169a165,21,and grabbed me.,and rescued me.
5be1cc598c6a19000137a503,1,I was in the boy scouts,I participated in the boy scouts
5be1cc598c6a19000137a503,2,and I was doing the 50 yard dash.,where I engaged in a 50-yard sprint.
5be1cc598c6a19000137a503,3,I was on a pier,I stood on a dock
5be1cc598c6a19000137a503,4,with other boys,surrounded by other lads
5be1cc598c6a19000137a503,5,we had to keep running up and down,where we were required to continuously run back and forth
5be1cc598c6a19000137a503,6,up and down.,again and again.
5be1cc598c6a19000137a503,7,I got the cramps,Muscle cramps struck me
5be1cc598c6a19000137a503,8,but they run past me.,yet they sprinted by me.
5be1cc598c6a19000137a503,9,The scout master could see me,The scout leader noticed my struggle
5be1cc598c6a19000137a503,10,but he didn't do anything.,"however, he took no action."
5be1cc598c6a19000137a503,11,Another guy went over me,Someone else came to my aid
5be1cc598c6a19000137a503,12,and picked me up.,lifting me off the ground.
5bf769ac2dd20c00013188d1,1,I was in the boy scouts,I belonged to the boy scouts group
5bf769ac2dd20c00013188d1,2,and were doing the 50 yard dash.,and we were engaged in a 50-yard sprint.
5bf769ac2dd20c00013188d1,3,We ran back and forth 3 times.,We sprinted to and fro thrice.
5bf769ac2dd20c00013188d1,4,On the third time,During the final attempt
5bf769ac2dd20c00013188d1,5,I started to cramp.,I began to feel a muscle spasm.
5bf769ac2dd20c00013188d1,6,None of the others believed me,The rest of the group didn't take my word for it
5bf769ac2dd20c00013188d1,7,so they just kept running.,thus they continued to sprint.
5bf769ac2dd20c00013188d1,8,Our scoutmaster paid me no attention at all.,The scoutmaster completely ignored me.
5bf769ac2dd20c00013188d1,9,A random stranger,An unfamiliar person
5bf769ac2dd20c00013188d1,10,who also happened to be running the same trail,who was coincidentally using the same path for a run
5bf769ac2dd20c00013188d1,11,came up,approached
5bf769ac2dd20c00013188d1,12,and grabbed me,and seized me
5bf769ac2dd20c00013188d1,13,and helped me finish.,assisting me in completing the run.
5bfd6f9d7f7968000187f356,1,"a scout was trying to catch up,","A scout attempted to make up ground,"
5bfd6f9d7f7968000187f356,2,"but nobody believed him,","yet no one gave credence to his words,"
5bfd6f9d7f7968000187f356,3,then some guy tried to pull him over.,"subsequently, an individual attempted to stop him."
5c1ca2273728060001b0b056,1,Doing a race with scouts,Participating in a competition with the scouts
5c1ca2273728060001b0b056,2,he fell over,he stumbled and collapsed
5c1ca2273728060001b0b056,3,because he got cramps,as he suffered from muscle cramps
5c1ca2273728060001b0b056,4,but nobody believed him,yet no one gave credence to his claim
5c1ca2273728060001b0b056,5,because they thought,since they were under the impression
5c1ca2273728060001b0b056,6,he wanted to cheat,that he was attempting to deceive
5c1ca2273728060001b0b056,7,and slow everyone else down,in order to hinder the others' progress
5c48ec8ac8769800019362d4,1,there was a man,A man existed
5c48ec8ac8769800019362d4,2,who was on coast,positioned along the shoreline
5c48ec8ac8769800019362d4,3,"he was struggling,","engaged in a struggle,"
5c48ec8ac8769800019362d4,4,however the guards thought,yet the sentinels assumed
5c48ec8ac8769800019362d4,5,he was just slow,he merely lacked speed
5c48ec8ac8769800019362d4,6,and struggling to catch up.,and labored to keep pace.
5c48ec8ac8769800019362d4,7,he said help,He cried out for assistance
5c48ec8ac8769800019362d4,8,but no one believed him.,though his pleas were met with skepticism.
5c48ec8ac8769800019362d4,9,eventually someone did,"Ultimately, someone took heed"
5ca36c495c01df0013af4f75,1,Yeah,Indeed
5ca36c495c01df0013af4f75,2,I was in the boy scouts at the time,"At that period, I was a member of the boy scouts"
5ca36c495c01df0013af4f75,3,"and I was doing the 50 yard dash,","engaged in sprinting the 50-yard distance,"
5ca36c495c01df0013af4f75,4,"I kept getting cramp,","continually afflicted by muscle spasms,"
5ca36c495c01df0013af4f75,5,"the scout master would not help me,","yet the scout leader refused to assist me,"
5ca36c495c01df0013af4f75,6,I kept going on,"despite this, I persisted"
5ca36c495c01df0013af4f75,7,and on.,without stopping.
5cc96dda627fc30013fc2354,1,Yo I was part of the boyscouts team,I belonged to the boyscouts squad
5cc96dda627fc30013fc2354,2,and we was participating in the 50m dash,and we participated in the 50-meter sprint
5cc96dda627fc30013fc2354,3,and we was going up and down,as we repeatedly ascended and descended
5cc96dda627fc30013fc2354,4,and up and down,continuously climbing and plunging
5cc96dda627fc30013fc2354,5,and then I needed help,when suddenly I required assistance
5cc96dda627fc30013fc2354,6,and shouted help me!,and I cried out for help!
5cc96dda627fc30013fc2354,7,But the man didn't help me,"However, the individual didn't assist me"
5cc96dda627fc30013fc2354,8,and there was another man for no reason,"yet unexpectedly, another person was there"
5cc96dda627fc30013fc2354,9,and he helped me.,and he came to my aid.
5ceef0cd45c1ec001920d548,1,"About a boy scouts leader doing a 50 yard dash,","Concerning a boy scouts leader sprinting a distance of 50 yards,"
5ceef0cd45c1ec001920d548,2,when they was going up and down,"as they were moving back and forth,"
5ceef0cd45c1ec001920d548,3,and then the scouts leader grabbed them,the leader of the scouts then seized them
5cfaf97eadb3da00013c1eaa,1,They were in the camp,They had set up camp
5cfaf97eadb3da00013c1eaa,2,and they were about 8 or 9 of them,with their numbers around eight or nine
5cfaf97eadb3da00013c1eaa,3,who were about to run a race.,preparing to engage in a race.
5cfaf97eadb3da00013c1eaa,4,As the race started,As they commenced the race
5cfaf97eadb3da00013c1eaa,5,the writer had cramps,the author experienced muscle spasms
5cfaf97eadb3da00013c1eaa,6,and fell to the ground.,and collapsed onto the ground.
5cfaf97eadb3da00013c1eaa,7,Writer cried for help,The author called out for assistance
5cfaf97eadb3da00013c1eaa,8,but no one answered.,yet received no response.
5cfaf97eadb3da00013c1eaa,9,The camp instructor saw writer on the floor,The camp leader noticed the author prostrate
5cfaf97eadb3da00013c1eaa,10,but did not care,but remained indifferent
5cfaf97eadb3da00013c1eaa,11,until one passerby saw writer,until a bystander noticed the author
5cfaf97eadb3da00013c1eaa,12,and picked writer up,and lifted the author up
5cfaf97eadb3da00013c1eaa,13,and took the writer to safety.,escorting them to a secure area.
5d11cf66e555d5001ac10ceb,1,8 or 9 scouts people doing the 70m dash.,Eight or nine scouts were sprinting the 70-meter dash.
5d11cf66e555d5001ac10ceb,2,One fell over,One stumbled and fell.
5d11cf66e555d5001ac10ceb,3,was ignored by scoutmaster,"The scoutmaster paid no attention to him,"
5d11cf66e555d5001ac10ceb,4,and everyone else,"nor did the others,"
5d11cf66e555d5001ac10ceb,5,as they thought he was joking.,believing he was just playing around.
5d11cf66e555d5001ac10ceb,6,Some man,"A certain gentleman,"
5d11cf66e555d5001ac10ceb,7,who had just walked up that minuet,"who had arrived just that minute,"
5d11cf66e555d5001ac10ceb,8,reached over,"leaned forward,"
5d11cf66e555d5001ac10ceb,9,and grabbed him.,and seized the fallen scout.
5d5991afa9c6490015e96c18,1,In the scouts,Within the scouting group
5d5991afa9c6490015e96c18,2,did the 50meter dash.,they completed the 50-meter sprint.
5d5991afa9c6490015e96c18,3,Went up a hill,Ascended a slope
5d5991afa9c6490015e96c18,4,and got by another bloke,and overtook a different fellow
5d5991afa9c6490015e96c18,5,not the scoutmaster.,who was not the scout leader.
5d5db7f7ca179000180b17cc,1,About being in boy Scouts,"Regarding my experience in the Boy Scouts,"
5d5db7f7ca179000180b17cc,2,and doing a 50 yard run,"participating in a sprint of 50 yards,"
5d5db7f7ca179000180b17cc,3,"along with 8 or 9 people,","together with a group of 8 or 9 individuals,"
5d5db7f7ca179000180b17cc,4,"going up and down,","moving back and forth,"
5d5db7f7ca179000180b17cc,5,the third time I caught cramps,"on the third attempt, I experienced muscle cramps,"
5d5db7f7ca179000180b17cc,6,and started calling for help,"and began to shout for assistance,"
5d5db7f7ca179000180b17cc,7,"but the fellow runs,","yet my fellow runners,"
5d5db7f7ca179000180b17cc,8,"didn't believe me,","were skeptical of my plight,"
5d5db7f7ca179000180b17cc,9,they thought I was faking it,"believing I was merely pretending,"
5d5db7f7ca179000180b17cc,10,and just continued.,and they kept on going.
5d5db7f7ca179000180b17cc,11,"My Scout master didn't tell me,","My Scout leader hadn't warned me,"
5d5db7f7ca179000180b17cc,12,then another guy jumped over a fence,"when suddenly, another individual leaped over a barrier"
5d5db7f7ca179000180b17cc,13,to help me.,to come to my aid.
5d5ee3e95aa2cf0001510593,1,yeh I was in the boy scouts,"Yes, I participated in the boy scouts"
5d5ee3e95aa2cf0001510593,2,doing the 50 yard dash at teh pier,racing the 50-yard dash at the dock
5d5ee3e95aa2cf0001510593,3,going up and down,moving back and forth
5d5ee3e95aa2cf0001510593,4,"about 8 ofus, up and down","with about eight of us, to and fro"
5d5ee3e95aa2cf0001510593,5,I got cramp,I developed a cramp
5d5ee3e95aa2cf0001510593,6,and started to fall off,and began to lose my balance
5d5ee3e95aa2cf0001510593,7,and and yelled help,shouting out for assistance
5d5ee3e95aa2cf0001510593,8,I was just trying to catch up,My aim was merely to keep pace
5d5ee3e95aa2cf0001510593,9,but no body believed me.,yet nobody took me seriously.
5d5ee3e95aa2cf0001510593,10,Scoutmaster was there,The Scoutmaster was present
5d5ee3e95aa2cf0001510593,11,but didn’t beleive me,but didn't trust my story
5d5ee3e95aa2cf0001510593,12,but there was another guy,"however, there was this other individual"
5d5ee3e95aa2cf0001510593,13,who jumped over,who leaped over
5d5ee3e95aa2cf0001510593,14,and grabbed me.,and secured me.
5d95fc8c7f79070017f92e93,1,yeh,yeah
5d95fc8c7f79070017f92e93,2,"so we was at the Boy Scouts,","so there we were, part of the Boy Scouts,"
5d95fc8c7f79070017f92e93,3,"doing the 50-yard dash,","engaged in the 50-yard sprint,"
5d95fc8c7f79070017f92e93,4,and so we went to do the 50-yard dash,and then we proceeded to start the 50-yard sprint
5d95fc8c7f79070017f92e93,5,"and we started going down,","and we began our descent,"
5d95fc8c7f79070017f92e93,6,coming up,ascending
5d95fc8c7f79070017f92e93,7,"and going down again the third time,","and descending once more for the third time,"
5d95fc8c7f79070017f92e93,8,I had a cramp,I was struck by a cramp
5d95fc8c7f79070017f92e93,9,"and started yelling ""Help!""","and began to shout ""Help!"""
5d95fc8c7f79070017f92e93,10,"but no one came,","yet nobody approached,"
5d95fc8c7f79070017f92e93,11,they thought I was going down,they assumed I was just going down
5d95fc8c7f79070017f92e93,12,"and trying to catch up,","and attempting to overtake,"
5d95fc8c7f79070017f92e93,13,even the Scoutsmaster was there,even the Scoutmaster was present
5d95fc8c7f79070017f92e93,14,"and he gave me no attention,","and he disregarded me,"
5d95fc8c7f79070017f92e93,15,"but then some guy just walked in,","but suddenly, some individual appeared,"
5d95fc8c7f79070017f92e93,16,he jumped over,he leaped over
5d95fc8c7f79070017f92e93,17,and grabbed me!,and seized me!
5da5d4ea6f5d4400138def3f,1,"yeh,","Right,"
5da5d4ea6f5d4400138def3f,2,so i was in the boy-scouts,I happened to be a member of the boy scouts
5da5d4ea6f5d4400138def3f,3,"we was doing a 50yard race,","We were engaged in a 50-yard dash,"
5da5d4ea6f5d4400138def3f,4,"it was up the pier,","which took place on the pier,"
5da5d4ea6f5d4400138def3f,5,going along and back and along and back.,running to and fro repeatedly.
5da5d4ea6f5d4400138def3f,6,i was going there,As I was making my way there
5da5d4ea6f5d4400138def3f,7,and got cramp,"suddenly, I experienced a cramp,"
5da5d4ea6f5d4400138def3f,8,i yelled 'help',and I shouted 'help'
5da5d4ea6f5d4400138def3f,9,but no one stopped.,yet nobody paused.
5da5d4ea6f5d4400138def3f,10,they though i was getting them to slow down,They assumed I was trying to make them decelerate
5da5d4ea6f5d4400138def3f,11,so i could catch up,in order for me to gain ground
5da5d4ea6f5d4400138def3f,12,and that.,and such.
5da5d4ea6f5d4400138def3f,13,The scout master was watching me,The scout leader had his eyes on me
5da5d4ea6f5d4400138def3f,14,but wasnt paying attention,"but wasn't really attentive,"
5da5d4ea6f5d4400138def3f,15,he didnt help me,"he didn't come to my aid,"
5da5d4ea6f5d4400138def3f,16,then this guy who was someone appeared,"when out of nowhere, a certain individual appeared,"
5da5d4ea6f5d4400138def3f,17,and jumped down,leapt down
5da5d4ea6f5d4400138def3f,18,and grabbed me up.,and hoisted me up.
5de16fd00e58661bb3519db8,1,Yeh I was in the Boy Scouts at the time,"Yes, I was part of the Boy Scouts back then"
5de16fd00e58661bb3519db8,2,We was doing the 50-yard dash at the pier,We were engaged in a 50-yard sprint near the dock
5de16fd00e58661bb3519db8,3,There was about 8 or 9 of us,There were roughly eight or nine of us present
5de16fd00e58661bb3519db8,4,"You know, going down",All of us were racing down
5de16fd00e58661bb3519db8,5,The third time I caught cramps,"On the third attempt, I got a cramp"
5de16fd00e58661bb3519db8,6,And I started yelling 'Help!',I began to shout 'Help!' loudly
5de16fd00e58661bb3519db8,7,But the fellows didn't believe me,"However, my peers didn't take me seriously"
5de16fd00e58661bb3519db8,8,You know they thought I was just trying to catch up,They assumed I was merely trying to gain ground
5de16fd00e58661bb3519db8,9,Because I was going on or slowing down,Since I was either advancing or falling behind
5de16fd00e58661bb3519db8,10,So all of them kept going,"Consequently, they all continued on"
5de16fd00e58661bb3519db8,11,They leave me,They abandoned me
5de16fd00e58661bb3519db8,12,And so I started going down,And that's when I began to sink
5de16fd00e58661bb3519db8,13,Scoutmaster was up there,The Scoutmaster was on the scene
5de16fd00e58661bb3519db8,14,He was watching me,He observed my struggle
5de16fd00e58661bb3519db8,15,But he didn't pay me any attention either,Yet he also disregarded my plight
5de16fd00e58661bb3519db8,16,And for no reason at all there was another guy,"Then, unexpectedly, another individual appeared"
5de16fd00e58661bb3519db8,17,Who had just walked up that minute,He had arrived just at that moment
5de16fd00e58661bb3519db8,18,He just jumped over and grabbed me.,"Without hesitation, he leaped in and rescued me."
5e4ead217dd6be000d5a6140,1,a guy going to do the 50 metre dash,A man prepared to sprint the 50-meter distance
5e4ead217dd6be000d5a6140,2,"with 8 or 9 friends,","accompanied by eight or nine companions,"
