recall_id,clause_id,clause_text
5ac0eabce1546900019bd744,4,and thought he was pulling a fast one
5ac0eabce1546900019bd744,5,"so kept on going,"
5ac0eabce1546900019bd744,6,leaving him behind.
5ac0eabce1546900019bd744,7,The Scoutmaster watched
5ac0eabce1546900019bd744,8,but ignored him
5ac0eabce1546900019bd744,9,then a guy appeared
5ac0eabce1546900019bd744,10,and grabbed the boy.
60693e637bc58fc13d57b1a7,1,"There was about 8 or 9 of us,"
60693e637bc58fc13d57b1a7,2,"you know,"
60693e637bc58fc13d57b1a7,3,"going down,"
60693e637bc58fc13d57b1a7,4,"coming back,"
60693e637bc58fc13d57b1a7,5,and going down the third time.
60693e637bc58fc13d57b1a7,6,I caught cramps
60693e637bc58fc13d57b1a7,7,and I started yelling help
60693e637bc58fc13d57b1a7,8,"but the fellows didn't believe me,"
60693e637bc58fc13d57b1a7,9,you know
60693e637bc58fc13d57b1a7,10,they thought I was just trying to catch up
60693e637bc58fc13d57b1a7,11,because I was going on
60693e637bc58fc13d57b1a7,12,or slowing down.
60693e637bc58fc13d57b1a7,13,"Scoutmaster was up there,"
60693e637bc58fc13d57b1a7,14,he was watching me
60693e637bc58fc13d57b1a7,15,but he didn't pay me no attention either
60693e637bc58fc13d57b1a7,16,and for no reason at all
60693e637bc58fc13d57b1a7,17,there was another guy who had just backed up that minute.
60693e637bc58fc13d57b1a7,18,He jumped over
60693e637bc58fc13d57b1a7,19,and grabbed me.
62b47e0c29438e8654ef9938,1,I was in the boy scouts
62b47e0c29438e8654ef9938,2,doing a run with 8 or 9 others.
62b47e0c29438e8654ef9938,3,On the 3rd time
62b47e0c29438e8654ef9938,4,I went down with cramps
62b47e0c29438e8654ef9938,5,"and they all left me behind,"
62b47e0c29438e8654ef9938,6,despite shouting for help.
62b47e0c29438e8654ef9938,7,The scoutmaster also didn't help
62b47e0c29438e8654ef9938,8,but some stranger did come over
62b47e0c29438e8654ef9938,9,to help me eventually.
5e5843f3677ae4053b1a0169,1,"yeh,"
5e5843f3677ae4053b1a0169,2,"we were in the boy scouts doing races,"
5e5843f3677ae4053b1a0169,3,"up and down the pier,"
5e5843f3677ae4053b1a0169,4,"8 or 9 of us racing,"
5e5843f3677ae4053b1a0169,5,we were running
5e5843f3677ae4053b1a0169,6,and I got cramp
5e5843f3677ae4053b1a0169,7,and I was slowing down
5e5843f3677ae4053b1a0169,8,but the other boys didn't believe me
5e5843f3677ae4053b1a0169,9,they kept going.
5e5843f3677ae4053b1a0169,10,The scoutmaster was there
5e5843f3677ae4053b1a0169,11,but didn't notice either
5e5843f3677ae4053b1a0169,12,that I was going down.
5e5843f3677ae4053b1a0169,13,So I went down
5e5843f3677ae4053b1a0169,14,and then this other guy who was there grabbed me.
5e5d32f95e8b3302eaa16ca3,1,Yeh I was in the scouts
5e5d32f95e8b3302eaa16ca3,2,"and we did the 50 yard dash,"
5e5d32f95e8b3302eaa16ca3,3,one time we did the 50 yard dash
5e5d32f95e8b3302eaa16ca3,4,and I fell in the water
5e5d32f95e8b3302eaa16ca3,5,and shouted help
5e5d32f95e8b3302eaa16ca3,6,but the others didn’t believe me
5e5d32f95e8b3302eaa16ca3,7,and the scout master.
59d4d493c618a50001cf5c6a,1,He was in the boyscouts at the time.
59d4d493c618a50001cf5c6a,2,"They were at the pier doing a race,"
59d4d493c618a50001cf5c6a,3,"about 8 or 9 of them,"
59d4d493c618a50001cf5c6a,4,"racing,"
59d4d493c618a50001cf5c6a,5,going backwards and forwards.
59d4d493c618a50001cf5c6a,6,"He had cramps and yelled out,"
59d4d493c618a50001cf5c6a,7,but they didn't believe him.
59d4d493c618a50001cf5c6a,8,They thought he wanted to stop.
59d4d493c618a50001cf5c6a,9,That's when the man leaned over and grabbed him.
5b74ba4e45975900018d4451,1,"Yeh,"
5b74ba4e45975900018d4451,2,we were in the Boy Scouts at the time
5b74ba4e45975900018d4451,3,and we went for a walk all together
5b74ba4e45975900018d4451,4,but I got lost
5b74ba4e45975900018d4451,5,"and Scout Master was there,"
5b74ba4e45975900018d4451,6,but then there was a another boy
5b74ba4e45975900018d4451,7,who just grabbed me.
5d5991afa9c6490015e96c18,1,In the scouts
5d5991afa9c6490015e96c18,2,did the 50meter dash.
5d5991afa9c6490015e96c18,3,Went up a hill
5d5991afa9c6490015e96c18,4,and got by another bloke
5d5991afa9c6490015e96c18,5,not the scoutmaster.
58df44addc82640001b17a23,1,In the scouts
58df44addc82640001b17a23,2,and they went to the pier
58df44addc82640001b17a23,3,to do a 50 yard dash.
58df44addc82640001b17a23,4,There were 8 or 9 of them
58df44addc82640001b17a23,5,going up and down.
58df44addc82640001b17a23,6,Guy took a leg cramp
58df44addc82640001b17a23,7,but the head boy thought he was putting it on.
58df44addc82640001b17a23,8,Someone then tried to grab him.
607be962688dfb9c1aea6cba,1,I was in the boy scouts
607be962688dfb9c1aea6cba,2,and we were doing the 50 yard dash
607be962688dfb9c1aea6cba,3,and there was 8 or 9 of us taking part.
607be962688dfb9c1aea6cba,4,I got cramp
607be962688dfb9c1aea6cba,5,and the others went past me
607be962688dfb9c1aea6cba,6,and couldn't see what was happening to me.
607be962688dfb9c1aea6cba,7,The scoutmaster just ignored me.
607be962688dfb9c1aea6cba,8,Then another scout came to me
607be962688dfb9c1aea6cba,9,and just made a grab at me.
5f4a33e6d0e4f9031cdc7428,1,"A guy was doing a 50 yard challenge in the boy scouts,"
5f4a33e6d0e4f9031cdc7428,2,there were about 8-9 of them.
5f4a33e6d0e4f9031cdc7428,3,"At the bridge,"
5f4a33e6d0e4f9031cdc7428,4,"they kept going up and down,"
5f4a33e6d0e4f9031cdc7428,5,up and down.
5f4a33e6d0e4f9031cdc7428,6,He then got a cramp
5f4a33e6d0e4f9031cdc7428,7,but all the others thought he was joking
5f4a33e6d0e4f9031cdc7428,8,just to try and catch up.
5f4a33e6d0e4f9031cdc7428,9,The scoutmaster ignored him too.
5f4a33e6d0e4f9031cdc7428,10,There was just one new guy
5f4a33e6d0e4f9031cdc7428,11,that saw him
5f4a33e6d0e4f9031cdc7428,12,and jumped in
5f4a33e6d0e4f9031cdc7428,13,and grabbed him.
6073ef4aa2110f1236736c6d,1,"He was a boy scout,"
6073ef4aa2110f1236736c6d,2,who was playing
6073ef4aa2110f1236736c6d,3,and hurt himself.
5be1cc598c6a19000137a503,1,I was in the boy scouts
5be1cc598c6a19000137a503,2,and I was doing the 50 yard dash.
5be1cc598c6a19000137a503,3,I was on a pier
5be1cc598c6a19000137a503,4,with other boys
5be1cc598c6a19000137a503,5,we had to keep running up and down
5be1cc598c6a19000137a503,6,up and down.
5be1cc598c6a19000137a503,7,I got the cramps
5be1cc598c6a19000137a503,8,but they run past me.
5be1cc598c6a19000137a503,9,The scout master could see me
5be1cc598c6a19000137a503,10,but he didn't do anything.
5be1cc598c6a19000137a503,11,Another guy went over me
5be1cc598c6a19000137a503,12,and picked me up.
6055fdee1debaae78b980e6b,1,He was the boy scouts.
6055fdee1debaae78b980e6b,2,"We were at the pier for the 50 yard dash,"
6055fdee1debaae78b980e6b,3,About 8 or 9 boys in total.
6055fdee1debaae78b980e6b,4,They started running up and down
6055fdee1debaae78b980e6b,5,And on the third time he fell.
6055fdee1debaae78b980e6b,6,Everybody ignored him -
6055fdee1debaae78b980e6b,7,"The boys and scoutmaster,"
6055fdee1debaae78b980e6b,8,Who was also there.
6055fdee1debaae78b980e6b,9,Eventually somebody he didn't know saw he was struggling
6055fdee1debaae78b980e6b,10,"And grabbed him,"
6055fdee1debaae78b980e6b,11,Pulling him away.
5fc4cb35621804962c7d21df,1,"I was in the boy scouts,"
5fc4cb35621804962c7d21df,2,"doing the 50 yrd dash,"
5fc4cb35621804962c7d21df,3,going up and down.
5fc4cb35621804962c7d21df,4,I was doing it down by the pier
5fc4cb35621804962c7d21df,5,and I got cramp.
5fc4cb35621804962c7d21df,6,I called out
5fc4cb35621804962c7d21df,7,but no one listened to me
5fc4cb35621804962c7d21df,8,they thought I was either wanting them to slow down
5fc4cb35621804962c7d21df,9,as I was going slowly.
5fc4cb35621804962c7d21df,10,The scout master heard me call out
5fc4cb35621804962c7d21df,11,but ignored me.
5fc4cb35621804962c7d21df,12,Then a man come out of nowhere
5fc4cb35621804962c7d21df,13,and grabbed me.
5afdd098b8c14a00019f2701,1,doing the 50 yard dash in boyscouts
5afdd098b8c14a00019f2701,2,there were 8 or 9 of them
5afdd098b8c14a00019f2701,3,going down
5afdd098b8c14a00019f2701,4,and up
5afdd098b8c14a00019f2701,5,and back down again
5afdd098b8c14a00019f2701,6,and then someone jumped out at them
6102e4f5caf1aed4d071c696,1,Yeah I was in the boy scouts
6102e4f5caf1aed4d071c696,2,"and we were racing,"
6102e4f5caf1aed4d071c696,3,"we were running the 50 yard dash,"
6102e4f5caf1aed4d071c696,4,yeah running up and down
6102e4f5caf1aed4d071c696,5,and back up a hill
6102e4f5caf1aed4d071c696,6,and we was on a pier
6102e4f5caf1aed4d071c696,7,and it was marked off
6102e4f5caf1aed4d071c696,8,and yeah we was running the 50 yard dash
6102e4f5caf1aed4d071c696,9,and i ran up and down
6102e4f5caf1aed4d071c696,10,and third time coming back up i caught a cramp
6102e4f5caf1aed4d071c696,11,"and i was going down,"
6102e4f5caf1aed4d071c696,12,yeah i was going down
6102e4f5caf1aed4d071c696,13,and the other boy scouts thought i was faking
6102e4f5caf1aed4d071c696,14,and trying to catch up
6102e4f5caf1aed4d071c696,15,but i was really cramping
6102e4f5caf1aed4d071c696,16,and the boy scout leader was at the top of the hill watching
6102e4f5caf1aed4d071c696,17,"and he didnt do a thing,"
6102e4f5caf1aed4d071c696,18,yeah he did not do anything
6102e4f5caf1aed4d071c696,19,and another man had jumped the fence
6102e4f5caf1aed4d071c696,20,and he came up.
5acb92e9e1099600016ad073,1,There were 8-9 Boy Scouts doing a 50 yard run.
5acb92e9e1099600016ad073,2,"On the third run,"
5acb92e9e1099600016ad073,3,"the narrator got cramp,"
5acb92e9e1099600016ad073,4,but the other scouts thought he was using it as a tactic to catch up
5acb92e9e1099600016ad073,5,and the scoutmaster did not respond
5acb92e9e1099600016ad073,6,so another guy helped him out.
63eff3ac389f8a4106938c59,1,Yeh so I was in the Boy Scouts
63eff3ac389f8a4106938c59,2,and we was doing the 50 yard dash
63eff3ac389f8a4106938c59,3,and we was at the pier doing the 50 yard dash
63eff3ac389f8a4106938c59,4,and there were maybe 8 or 9 of us
63eff3ac389f8a4106938c59,5,and we was going up and down
63eff3ac389f8a4106938c59,6,and then going up again
63eff3ac389f8a4106938c59,7,and I was running
63eff3ac389f8a4106938c59,8,and then I caught cramps
63eff3ac389f8a4106938c59,9,and I yelled out help
63eff3ac389f8a4106938c59,10,but the others didn’t listen
63eff3ac389f8a4106938c59,11,maybe they thought I was catching on or something
63eff3ac389f8a4106938c59,12,and I was going down
63eff3ac389f8a4106938c59,13,and the scoutmaster was looking
63eff3ac389f8a4106938c59,14,but he wasn’t paying no attention to me
63eff3ac389f8a4106938c59,15,and then suddenly there was a guy there
63eff3ac389f8a4106938c59,16,I don’t know why
63eff3ac389f8a4106938c59,17,and he jumped over and grabbed me.
610eed701307b477c5f8771e,1,"yeh,"
610eed701307b477c5f8771e,2,when i was in boy scouts
610eed701307b477c5f8771e,3,"we was doing a dash,"
610eed701307b477c5f8771e,4,"racing,"
610eed701307b477c5f8771e,5,and we was going down
610eed701307b477c5f8771e,6,"and going down,"
610eed701307b477c5f8771e,7,but I got a cramp
610eed701307b477c5f8771e,8,"and yelled ""Help!"""
610eed701307b477c5f8771e,9,but the other boys thought I was slowing down
610eed701307b477c5f8771e,10,or not going
610eed701307b477c5f8771e,11,"and the scoutsmaster didn't help,"
610eed701307b477c5f8771e,12,but then a man jumped over
610eed701307b477c5f8771e,13,and grabbed me.
5e4ead217dd6be000d5a6140,1,a guy going to do the 50 metre dash
5e4ead217dd6be000d5a6140,2,"with 8 or 9 friends,"
5e4ead217dd6be000d5a6140,3,they went up and down 2 or 3 times
5e4ead217dd6be000d5a6140,4,and the scout master became involved
60041b89f0b70121fb013c80,1,I was in the boy scouts
60041b89f0b70121fb013c80,2,and doing the 50 yard dash
60041b89f0b70121fb013c80,3,I was running with a bunch of other kids
60041b89f0b70121fb013c80,4,or was I swimming?
60041b89f0b70121fb013c80,5,because I got a cramp
60041b89f0b70121fb013c80,6,and was going down
60041b89f0b70121fb013c80,7,No one was looking at me
60041b89f0b70121fb013c80,8,I was calling HELP
60041b89f0b70121fb013c80,9,but no one paid attention
60041b89f0b70121fb013c80,10,or they thought I was faking it
60041b89f0b70121fb013c80,11,and just wanted to slow them down
60041b89f0b70121fb013c80,12,and get ahead
60041b89f0b70121fb013c80,13,There was a scout leader watching everyone
60041b89f0b70121fb013c80,14,but he didn't see me
60041b89f0b70121fb013c80,15,Just as I was going down
60041b89f0b70121fb013c80,16,another person came along side me
60041b89f0b70121fb013c80,17,and pulled me up.
5cc96dda627fc30013fc2354,1,Yo I was part of the boyscouts team
5cc96dda627fc30013fc2354,2,and we was participating in the 50m dash
5cc96dda627fc30013fc2354,3,and we was going up and down
5cc96dda627fc30013fc2354,4,and up and down
5cc96dda627fc30013fc2354,5,and then I needed help
5cc96dda627fc30013fc2354,6,and shouted help me!
5cc96dda627fc30013fc2354,7,But the man didn't help me
5cc96dda627fc30013fc2354,8,and there was another man for no reason
5cc96dda627fc30013fc2354,9,and he helped me.
5ef7c74aa6fa9d0ff3085f8c,1,"A boy was at the Boys Scouts,"
5ef7c74aa6fa9d0ff3085f8c,2,and they were swimming.
5ef7c74aa6fa9d0ff3085f8c,3,He started to drown
5ef7c74aa6fa9d0ff3085f8c,4,and called for help
5ef7c74aa6fa9d0ff3085f8c,5,but they assumed that he was just trying to catch up to them
5ef7c74aa6fa9d0ff3085f8c,6,because he was so far behind.
5ef7c74aa6fa9d0ff3085f8c,7,Then a man came out from nowhere
5ef7c74aa6fa9d0ff3085f8c,8,and rescued the boy.
61059784fd4a489bfad21fcd,1,"The scouts were doing a 50 yard dash backwards and forwards on a roped off area of the pier,"
61059784fd4a489bfad21fcd,2,he got cramp
61059784fd4a489bfad21fcd,3,"the others thought he was just slowing down,"
61059784fd4a489bfad21fcd,4,the scoutmaster paid no attention
61059784fd4a489bfad21fcd,5,but another man saw
61059784fd4a489bfad21fcd,6,and jumped down
61059784fd4a489bfad21fcd,7,and grabbed him.
5de16fd00e58661bb3519db8,1,Yeh I was in the Boy Scouts at the time
5de16fd00e58661bb3519db8,2,We was doing the 50-yard dash at the pier
5de16fd00e58661bb3519db8,3,There was about 8 or 9 of us
5de16fd00e58661bb3519db8,4,"You know, going down"
5de16fd00e58661bb3519db8,5,The third time I caught cramps
5de16fd00e58661bb3519db8,6,And I started yelling 'Help!'
5de16fd00e58661bb3519db8,7,But the fellows didn't believe me
5de16fd00e58661bb3519db8,8,You know they thought I was just trying to catch up
5de16fd00e58661bb3519db8,9,Because I was going on or slowing down
5de16fd00e58661bb3519db8,10,So all of them kept going
5de16fd00e58661bb3519db8,11,They leave me
5de16fd00e58661bb3519db8,12,And so I started going down
5de16fd00e58661bb3519db8,13,Scoutmaster was up there
5de16fd00e58661bb3519db8,14,He was watching me
5de16fd00e58661bb3519db8,15,But he didn't pay me any attention either
5de16fd00e58661bb3519db8,16,And for no reason at all there was another guy
5de16fd00e58661bb3519db8,17,Who had just walked up that minute
5de16fd00e58661bb3519db8,18,He just jumped over and grabbed me.
607081b0ecb2499634a349dd,1,Yeh I was in boys Scot.
607081b0ecb2499634a349dd,2,There 7 or 8 of us
607081b0ecb2499634a349dd,3,we going up down three times.
607081b0ecb2499634a349dd,4,Each time fine
607081b0ecb2499634a349dd,5,but on third time
607081b0ecb2499634a349dd,6,my leg was cramping
607081b0ecb2499634a349dd,7,so I was waving yelling.
607081b0ecb2499634a349dd,8,Scotmaster saw me
607081b0ecb2499634a349dd,9,but pay no attention
607081b0ecb2499634a349dd,10,others didn't too.
5be0bf8e292b64000169a165,1,I was in the Boy Scouts
5be0bf8e292b64000169a165,2,"and we was doing the 50 yard dash,"
5be0bf8e292b64000169a165,3,"racing,"
5be0bf8e292b64000169a165,4,down at the pier.
5be0bf8e292b64000169a165,5,"It was marked off,"
5be0bf8e292b64000169a165,6,"so we were doing the 50 yard dash,"
5be0bf8e292b64000169a165,7,"going up and down,"
5be0bf8e292b64000169a165,8,all the guys.
5be0bf8e292b64000169a165,9,I started to go down
5be0bf8e292b64000169a165,10,and I got cramps
5be0bf8e292b64000169a165,11,and I was yelling “Help”
5be0bf8e292b64000169a165,12,but the guys ignored me
5be0bf8e292b64000169a165,13,because they thought I was just slowing down
5be0bf8e292b64000169a165,14,or whatever.
5be0bf8e292b64000169a165,15,"The scoutmaster was up above,"
5be0bf8e292b64000169a165,16,he could see
5be0bf8e292b64000169a165,17,and he didn’t do nothing.
5be0bf8e292b64000169a165,18,So I was going down
5be0bf8e292b64000169a165,19,and someone who just walked up that minute at random crossed over the barrier
5be0bf8e292b64000169a165,20,and came in
5be0bf8e292b64000169a165,21,and grabbed me.
601958c0af6453017a0cbbd4,1,I was in the Boy Scouts at the time
601958c0af6453017a0cbbd4,2,"and we was doing the 50-yard dash racing,"
601958c0af6453017a0cbbd4,3,but we was at the pier marked off
601958c0af6453017a0cbbd4,4,"and so we was doing the 50-yard dash,"
601958c0af6453017a0cbbd4,5,"there was about 8 or 9 of us,"
601958c0af6453017a0cbbd4,6,you know going down coming back
601958c0af6453017a0cbbd4,7,and going down the third time
601958c0af6453017a0cbbd4,8,I caught cramps
601958c0af6453017a0cbbd4,9,and I started yelling help
601958c0af6453017a0cbbd4,10,but the fellows didnt believe me.
63d44d432dba83234be6588c,1,He was in the Boy Scouts
63d44d432dba83234be6588c,2,doing a race
63d44d432dba83234be6588c,3,going back and forth
63d44d432dba83234be6588c,4,"and he got cramps,"
63d44d432dba83234be6588c,5,the other boys and the scout master ignored him
63d44d432dba83234be6588c,6,and thought he was lying
63d44d432dba83234be6588c,7,then another came up at the end.
60e845f301f5a5901200baf4,1,A boy was with the scoutmaster
60e845f301f5a5901200baf4,2,and he was going up and down
60e845f301f5a5901200baf4,3,and on the third time of going up the pier
60e845f301f5a5901200baf4,4,he had cramps
60e845f301f5a5901200baf4,5,and shouted 'help'
60e845f301f5a5901200baf4,6,"but no-one believed him,"
60e845f301f5a5901200baf4,7,even the scoutmaster looked on
60e845f301f5a5901200baf4,8,by until this guy came out of nowhere
60e845f301f5a5901200baf4,9,and grabbed the boy
60e845f301f5a5901200baf4,10,and saved him.
5bf769ac2dd20c00013188d1,1,I was in the boy scouts
5bf769ac2dd20c00013188d1,2,and were doing the 50 yard dash.
5bf769ac2dd20c00013188d1,3,We ran back and forth 3 times.
5bf769ac2dd20c00013188d1,4,On the third time
5bf769ac2dd20c00013188d1,5,I started to cramp.
5bf769ac2dd20c00013188d1,6,None of the others believed me
5bf769ac2dd20c00013188d1,7,so they just kept running.
5bf769ac2dd20c00013188d1,8,Our scoutmaster paid me no attention at all.
5bf769ac2dd20c00013188d1,9,A random stranger
5bf769ac2dd20c00013188d1,10,who also happened to be running the same trail
5bf769ac2dd20c00013188d1,11,came up
5bf769ac2dd20c00013188d1,12,and grabbed me
5bf769ac2dd20c00013188d1,13,and helped me finish.
6414700ca2b49ecb73f91a6d,1,a boy was in the boy scouts
6414700ca2b49ecb73f91a6d,2,and they went swimming off the pier.
6414700ca2b49ecb73f91a6d,3,the boy got cramp
6414700ca2b49ecb73f91a6d,4,but everyone ignored him
6414700ca2b49ecb73f91a6d,5,thinking he was just slow.
6414700ca2b49ecb73f91a6d,6,the scoutmaster did not notice him.
6414700ca2b49ecb73f91a6d,7,a stranger saw he was in difficulties
6414700ca2b49ecb73f91a6d,8,and jumped in to help him.
60670ac0fc7e169231369ab1,1,There was a boy
60670ac0fc7e169231369ab1,2,part of the boys scout
60670ac0fc7e169231369ab1,3,"and they were doing a 50 yard dash run,"
60670ac0fc7e169231369ab1,4,unfortunately the boy ended up getting a cramp
60670ac0fc7e169231369ab1,5,while doing the exercise.
60670ac0fc7e169231369ab1,6,He called for help
60670ac0fc7e169231369ab1,7,however no one gave him any attention
60670ac0fc7e169231369ab1,8,as they thought that he was doing that
60670ac0fc7e169231369ab1,9,as a way of catching up.
6323441a11146d51c1d5874d,1,yeh
6323441a11146d51c1d5874d,2,i was in the boy scouts
6323441a11146d51c1d5874d,3,and was doing the 50 yard
6323441a11146d51c1d5874d,4,and yelp
6323441a11146d51c1d5874d,5,i got the cramps
5b36b8001d4b680001690d9c,1,So I was in the boy scouts
5b36b8001d4b680001690d9c,2,and we was doing the 5 mile dash.
5b36b8001d4b680001690d9c,3,We was going up and down.
5b36b8001d4b680001690d9c,4,"I got cramps,"
5b36b8001d4b680001690d9c,5,scoutmaster was watching
5b36b8001d4b680001690d9c,6,but wasn't paying no attention to me.
597631e5082c9e000150dc26,1,"A race in the Boy Scouts,"
597631e5082c9e000150dc26,2,"starting from a pier,"
597631e5082c9e000150dc26,3,participant got cramp
597631e5082c9e000150dc26,4,and started yelling
597631e5082c9e000150dc26,5,but everyone thought he was faking it
597631e5082c9e000150dc26,6,and ignored him
597631e5082c9e000150dc26,7,but in the end
597631e5082c9e000150dc26,8,someone came along
597631e5082c9e000150dc26,9,and rescued him.
630492ce98f024b7188676df,1,yeah
630492ce98f024b7188676df,2,i was in the boy scouts
630492ce98f024b7188676df,3,doing the 50 yard dash
630492ce98f024b7188676df,4,down by the pier
630492ce98f024b7188676df,5,the 50 yard dash
630492ce98f024b7188676df,6,there were 8 or 9 of us
630492ce98f024b7188676df,7,and something about paying attention
630492ce98f024b7188676df,8,then the scoutmaster was there
630492ce98f024b7188676df,9,then a man came from nowhere
630492ce98f024b7188676df,10,and grabbed him
60bbf9e1cfcce5b0382bf9b1,1,"We was doing the 50 yard dash,"
60bbf9e1cfcce5b0382bf9b1,2,dash the 50 yard sprint down the field
60bbf9e1cfcce5b0382bf9b1,3,we did pushups
60c00052c391140811ca1d54,1,he was in the boyscout
60c00052c391140811ca1d54,2,and they were doing the 50-yard dash
60c00052c391140811ca1d54,3,racing up and down
60c00052c391140811ca1d54,4,and back.
60c00052c391140811ca1d54,5,there were 8 to 9 of them
60c00052c391140811ca1d54,6,and suddenly during the game
60c00052c391140811ca1d54,7,he fell
60c00052c391140811ca1d54,8,and all the other opponents passed him
60c00052c391140811ca1d54,9,when he cried for help
60c00052c391140811ca1d54,10,reason being they thought he just wanted to catch up
60c00052c391140811ca1d54,11,because he was slower than the rest.
60c00052c391140811ca1d54,12,until one of them caught up with him
60c00052c391140811ca1d54,13,and helped him
60c00052c391140811ca1d54,14,even after being ignored by everyone.
5da5d4ea6f5d4400138def3f,1,"yeh,"
5da5d4ea6f5d4400138def3f,2,so i was in the boy-scouts
5da5d4ea6f5d4400138def3f,3,"we was doing a 50yard race,"
5da5d4ea6f5d4400138def3f,4,"it was up the pier,"
5da5d4ea6f5d4400138def3f,5,going along and back and along and back.
5da5d4ea6f5d4400138def3f,6,i was going there
5da5d4ea6f5d4400138def3f,7,and got cramp
5da5d4ea6f5d4400138def3f,8,i yelled 'help'
5da5d4ea6f5d4400138def3f,9,but no one stopped.
5da5d4ea6f5d4400138def3f,10,they though i was getting them to slow down
5da5d4ea6f5d4400138def3f,11,so i could catch up
5da5d4ea6f5d4400138def3f,12,and that.
5da5d4ea6f5d4400138def3f,13,The scout master was watching me
5da5d4ea6f5d4400138def3f,14,but wasnt paying attention
5da5d4ea6f5d4400138def3f,15,he didnt help me
5da5d4ea6f5d4400138def3f,16,then this guy who was someone appeared
5da5d4ea6f5d4400138def3f,17,and jumped down
5da5d4ea6f5d4400138def3f,18,and grabbed me up.
6414bb5268067523aa656cf6,1,They were in the Boy Scouts
6414bb5268067523aa656cf6,2,and doing a 50 yard dash at the pier.
6414bb5268067523aa656cf6,3,There were 8/9 of them
6414bb5268067523aa656cf6,4,and they were running up and down the pier.
6414bb5268067523aa656cf6,5,One of them got cramp
6414bb5268067523aa656cf6,6,but no one believed them
6414bb5268067523aa656cf6,7,and the Scoutmaster just watched.
6414bb5268067523aa656cf6,8,Then there was another man
6414bb5268067523aa656cf6,9,who came over
6414bb5268067523aa656cf6,10,and grabbed them.
5e90b34a9e934e3ccc7330ba,1,A boy in the scouts
5e90b34a9e934e3ccc7330ba,2,was at a pier
5e90b34a9e934e3ccc7330ba,3,with 8 or 9 others
5e90b34a9e934e3ccc7330ba,4,running 50 yard races.
5e90b34a9e934e3ccc7330ba,5,He got a cramp
5e90b34a9e934e3ccc7330ba,6,"but no one came to help him,"
5e90b34a9e934e3ccc7330ba,7,even his scout master.
5e90b34a9e934e3ccc7330ba,8,Eventually a random person
5e90b34a9e934e3ccc7330ba,9,came to help him.
5edcea8b73beeb9b0a9d18c9,1,"Someone was in boy scouts,"
5edcea8b73beeb9b0a9d18c9,2,"doing a 50 yard dash,"
5edcea8b73beeb9b0a9d18c9,3,"on I think a pier or balcony,"
5edcea8b73beeb9b0a9d18c9,4,"about 7 or 8 of them,"
5edcea8b73beeb9b0a9d18c9,5,"one of them caught a pain,"
5edcea8b73beeb9b0a9d18c9,6,cramps maybe.
5edcea8b73beeb9b0a9d18c9,7,"Shouted for some help,"
5edcea8b73beeb9b0a9d18c9,8,"no one believed them,"
5edcea8b73beeb9b0a9d18c9,9,"no one paid attention,"
5edcea8b73beeb9b0a9d18c9,10,so someone grabbed him.
60abcd6f3e5efd9fca235828,1,I was in the boy scouts
