story,segment_id,segment_rel_pos,models_mean,human_pcaught,mean_minus_human,segment_text,gpt4o_pcaught,llama4_pcaught,deep_seek_pcaught,oss_120_pcaught,models_min,models_max
costa,117,0.6,23.25,45.161,-21.911,"See, they all knew me.",41.0,22.0,20.0,10.0,10.0,41.0
costa,97,0.5,26.5,48.387,-21.887,“When is the mother coming?”,40.0,26.0,25.0,15.0,15.0,40.0
stein,75,0.58,10.099,31.959,-21.86,"An' he says, “I'm sure there was more than one person.”",2.752,12.0,21.905,3.738,2.752,21.905
costa,143,0.74,22.25,44.086,-21.836,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",33.0,24.0,20.0,12.0,12.0,33.0
bear,104,0.85,50.25,72.0,-21.75,"man he was gaining,",71.0,17.0,57.0,56.0,17.0,71.0
costa,52,0.27,12.75,34.409,-21.659,"She was with the girls, saying goodbye to everyone – you know how it is.",22.0,9.0,12.0,8.0,8.0,22.0
costa,118,0.61,22.5,44.086,-21.586,"I had three operations in no time, not even a year.",40.0,22.0,18.0,10.0,10.0,40.0
doSomething,53,0.65,19.5,41.053,-21.553,You gotta do something.,9.0,24.0,42.0,3.0,3.0,42.0
bear,35,0.29,40.5,62.0,-21.5,"I don't care anything really much about hunting period,",37.0,57.0,43.0,25.0,25.0,57.0
hester_v2-church,20,0.37,29.5,51.0,-21.5,"On the other hand, she also said that prayers without faith were useless.",21.0,28.0,38.0,31.0,21.0,38.0
bear,85,0.7,8.5,30.0,-21.5,I didn't like this at all.,5.0,7.0,15.0,7.0,5.0,15.0
costa,56,0.29,31.25,52.688,-21.438,And I went.,35.0,39.0,31.0,20.0,20.0,39.0
costa,144,0.74,26.0,47.312,-21.312,And then Marie collapsed.,36.0,29.0,24.0,15.0,15.0,36.0
stein,78,0.6,47.762,69.072,-21.31,"They took all we had to, to pay the rent.",69.725,11.0,52.381,57.944,11.0,69.725
costa,50,0.26,18.5,39.785,-21.285,"She saw me from the windows, from Wolf Street.",23.0,17.0,25.0,9.0,9.0,25.0
panic,2,0.04,64.75,86.0,-21.25,I was doing my usual job,79.0,62.0,67.0,51.0,51.0,79.0
bear,66,0.54,20.75,42.0,-21.25,we stayed right there in the old cabin.,16.0,13.0,42.0,12.0,12.0,42.0
bear,56,0.46,26.75,48.0,-21.25,And after we got to discussing it,39.0,18.0,32.0,18.0,18.0,39.0
costa,99,0.51,28.25,49.462,-21.212,The people in the office didn’t know what had happened yet.,44.0,27.0,28.0,14.0,14.0,44.0
stein,54,0.42,24.24,45.361,-21.121,“I can't do anything about it.”,15.596,18.0,40.0,23.364,15.596,40.0
hester_v1-park,44,0.81,8.5,29.592,-21.092,It felt like a sign that my prayer had been heard.,7.0,13.0,8.0,6.0,6.0,13.0
costa,154,0.79,25.25,46.237,-20.987,I was screaming in the car.,33.0,25.0,26.0,17.0,17.0,33.0
bear,96,0.79,7.25,28.0,-20.75,Well he had ...,4.0,6.0,9.0,10.0,4.0,10.0
costa,177,0.91,24.5,45.161,-20.661,Maybe you know him...,39.0,26.0,19.0,14.0,14.0,39.0
hester_v1-park,16,0.3,10.0,30.612,-20.612,That feeling came back again.,0.0,5.0,33.0,2.0,0.0,33.0
hester_v1-park,54,1.0,21.25,41.837,-20.587,"He's living life to the fullest, even in his seventies.",30.0,26.0,3.0,26.0,3.0,30.0
bear,54,0.44,28.5,49.0,-20.5,"and got set up in the cabin,",11.0,15.0,29.0,59.0,11.0,59.0
costa,98,0.51,25.75,46.237,-20.487,The hospital kept calling.,39.0,25.0,27.0,12.0,12.0,39.0
stein,99,0.76,7.423,27.835,-20.412,and opened the door in the back.,2.752,8.0,13.333,5.607,2.752,13.333
bear,95,0.78,27.75,48.0,-20.25,I'd forgot to LOAD that turkey.,21.0,8.0,48.0,34.0,8.0,48.0
stein,47,0.36,63.274,83.505,-20.231,"He says, “But they don't want any black people in there.”",17.431,49.0,86.667,100.0,17.431,100.0
bear,112,0.92,54.0,74.0,-20.0,"I made a quick turn to the left,",61.0,18.0,70.0,67.0,18.0,70.0
bear,110,0.9,52.0,72.0,-20.0,"and they opened the door,",59.0,17.0,67.0,65.0,17.0,67.0
stein,72,0.55,11.069,30.928,-19.859,"He says, “Because” – he said to me, “Did you see anyone?”",0.917,12.0,27.619,3.738,0.917,27.619
hester_v2-church,49,0.91,25.25,45.0,-19.75,That experience happened almost twenty years ago.,6.0,32.0,18.0,45.0,6.0,45.0
bear,20,0.16,33.25,53.0,-19.75,"Uh ... being born and raised on the farm I was used to the outdoors,",44.0,20.0,33.0,36.0,20.0,44.0
costa,156,0.8,26.5,46.237,-19.737,I was screaming!,33.0,25.0,26.0,22.0,22.0,33.0
costa,157,0.81,28.75,48.387,-19.637,"Everybody came out, coming out of their doors because they could hear the screams.",33.0,21.0,22.0,39.0,21.0,39.0
bear,62,0.51,11.5,31.0,-19.5,and we just couldn't ...,5.0,5.0,23.0,13.0,5.0,23.0
costa,119,0.61,22.5,41.935,-19.435,And I knew all the nurses.,40.0,22.0,18.0,10.0,10.0,40.0
stein,50,0.38,14.751,34.021,-19.269,"So uh, she said, “Well you're the law.",5.505,25.0,24.762,3.738,3.738,25.0
hester_v1-park,13,0.24,18.5,37.755,-19.255,I didn't see anyone nearby.,0.0,10.0,64.0,0.0,0.0,64.0
bear,111,0.91,46.75,66.0,-19.25,"and I got right to the cabin door,",52.0,18.0,49.0,68.0,18.0,68.0
bear,36,0.3,15.75,35.0,-19.25,let alone bear hunting.,10.0,10.0,27.0,16.0,10.0,27.0
stein,73,0.56,9.616,28.866,-19.25,"And I said, “No.”",0.917,10.0,23.81,3.738,0.917,23.81
bear,75,0.61,15.75,35.0,-19.25,"Soo ... no one wanted to go out,",24.0,5.0,22.0,12.0,5.0,24.0
costa,106,0.55,24.0,43.011,-19.011,"she said, “Mother must’ve gotten really worked up about Marie.”",39.0,26.0,20.0,11.0,11.0,39.0
costa,105,0.54,25.25,44.086,-18.836,"Rita said, “Gee, that’s strange,”",39.0,27.0,25.0,10.0,10.0,39.0
hester_v2-church,33,0.61,19.25,38.0,-18.75,I didn't hear any voice this time.,11.0,19.0,31.0,16.0,11.0,31.0
costa,115,0.59,38.25,56.989,-18.739,"“You killed my daughter, now you want to kill me?”",49.0,46.0,40.0,18.0,18.0,49.0
hester_v2-church,30,0.56,15.5,34.0,-18.5,"I resumed my work, shelving books.",3.0,9.0,20.0,30.0,3.0,30.0
costa,161,0.83,20.25,38.71,-18.46,I didn’t know what I had done to myself.,33.0,21.0,14.0,13.0,13.0,33.0
costa,160,0.82,22.5,40.86,-18.36,"Well, my hair was all pulled, and my face – I was a mess.",33.0,26.0,15.0,16.0,15.0,33.0
costa,86,0.44,22.5,40.86,-18.36,"The nurse said to me, “Talk to her.”",40.0,17.0,19.0,14.0,14.0,40.0
costa,109,0.56,27.0,45.161,-18.161,"So she came over with my son-in-law, in the car.",40.0,26.0,33.0,9.0,9.0,40.0
bear,108,0.89,34.0,52.0,-18.0,"Man I was whipping down there just as hard as I could go,",55.0,17.0,15.0,49.0,15.0,55.0
doSomething,56,0.69,15.75,33.684,-17.934,And I didn't really want to get involved to be honest with you.,5.0,18.0,36.0,4.0,4.0,36.0
stein,122,0.94,56.318,74.227,-17.909,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",45.872,45.0,90.476,43.925,43.925,90.476
bear,55,0.45,15.25,33.0,-17.75,and ... got our groceries stored and everything.,4.0,6.0,16.0,35.0,4.0,35.0
costa,155,0.8,24.25,41.935,-17.685,"I couldn’t get out, you know, I couldn’t –",33.0,24.0,24.0,16.0,16.0,33.0
costa,111,0.57,27.5,45.161,-17.661,I was all pulled apart.,47.0,30.0,20.0,13.0,13.0,47.0
hester_v1-park,12,0.22,24.25,41.837,-17.587,I looked around my office.,0.0,9.0,82.0,6.0,0.0,82.0
stein,113,0.87,41.231,58.763,-17.531,She did not know beyond the month.,37.615,44.0,57.143,26.168,26.168,57.143
costa,116,0.6,28.75,46.237,-17.487,Another nurse came over.,44.0,32.0,22.0,17.0,17.0,44.0
costa,81,0.42,24.5,41.935,-17.435,She was a lady doctor.,40.0,18.0,17.0,23.0,17.0,40.0
costa,127,0.65,34.25,51.613,-17.363,"I said, “We lost Marie.",57.0,35.0,31.0,14.0,14.0,57.0
costa,121,0.62,34.25,51.613,-17.363,"“Get out!” I said, “Don’t you dare come near me.”",46.0,40.0,32.0,19.0,19.0,46.0
doSomething,61,0.75,29.0,46.316,-17.316,"and they whip across the road,",38.0,50.0,16.0,12.0,12.0,50.0
costa,120,0.62,33.25,50.538,-17.288,"“Mrs. Costa, please, take –”",44.0,39.0,28.0,22.0,22.0,44.0
panic,27,0.48,67.75,85.0,-17.25,Suddenly I heard a voice coming from across the warehouse.,65.0,42.0,91.0,73.0,42.0,91.0
bear,37,0.3,11.75,29.0,-17.25,Be about my luck the bear would wind up hunting me.,3.0,5.0,26.0,13.0,3.0,26.0
bear,38,0.31,9.75,27.0,-17.25,"But as I said,",3.0,5.0,18.0,13.0,3.0,18.0
bear,93,0.76,50.75,68.0,-17.25,"and pulled the trigger,",66.0,11.0,73.0,53.0,11.0,73.0
doSomething,68,0.84,45.0,62.105,-17.105,So they started down there.,49.0,44.0,41.0,46.0,41.0,49.0
bear,118,0.97,38.0,55.0,-17.0,I'LL GO GET ANOTHER ONE!”,41.0,12.0,56.0,43.0,12.0,56.0
stein,36,0.28,57.266,74.227,-16.961,a policeman went by.,36.697,78.0,68.571,45.794,36.697,78.0
stein,74,0.57,24.299,41.237,-16.939,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",18.349,18.0,55.238,5.607,5.607,55.238
costa,79,0.41,28.25,45.161,-16.911,She was a lady doctor.,41.0,17.0,16.0,39.0,16.0,41.0
costa,125,0.64,24.0,40.86,-16.86,"Then they brought me to the office, see.",39.0,26.0,20.0,11.0,11.0,39.0
costa,147,0.76,37.0,53.763,-16.763,I’ll burn this hospital down!,45.0,40.0,48.0,15.0,15.0,48.0
bear,116,0.95,61.25,78.0,-16.75,"and said “THERE HE IS FELLOWS,",86.0,14.0,90.0,55.0,14.0,90.0
bear,22,0.18,30.25,47.0,-16.75,"But these guys got a big kick out of it,",35.0,45.0,34.0,7.0,7.0,45.0
bear,65,0.53,20.25,37.0,-16.75,"We never ventured outside at night,",7.0,17.0,37.0,20.0,7.0,37.0
doSomething,36,0.44,7.5,24.211,-16.711,"and I'm trying to keep an eye on him,",1.0,17.0,5.0,7.0,1.0,17.0
stein,67,0.52,8.045,24.742,-16.697,And they also had police wagons with horses attached to them. Believe it or not in those days.,0.917,4.0,8.571,18.692,0.917,18.692
costa,68,0.35,38.25,54.839,-16.589,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",61.0,34.0,46.0,12.0,12.0,61.0
bear,59,0.48,57.5,74.0,-16.5,"played cards,",34.0,15.0,81.0,100.0,15.0,100.0
stein,65,0.5,20.625,37.113,-16.488,"And this was – let me see what year was this happening – well it must have been nineteen twenty-five, so you can see what – what the times were.",4.587,13.0,22.857,42.056,4.587,42.056
stein,92,0.71,20.773,37.113,-16.34,"And – course with the horses and the police patrol, and the clang –",2.752,12.0,56.19,12.15,2.752,56.19
costa,151,0.78,33.25,49.462,-16.212,"But if you touch my daughter, I’ll kill you.”",43.0,35.0,40.0,15.0,15.0,43.0
costa,113,0.58,33.25,49.462,-16.212,"I said, “Get out of here,",44.0,37.0,27.0,25.0,25.0,44.0
costa,142,0.73,21.5,37.634,-16.134,told the doctor that Marie was saying goodbye to Arlene.,33.0,23.0,19.0,11.0,11.0,33.0
stein,115,0.88,41.782,57.732,-15.95,But she knew they were going to be there for the month.,32.11,44.0,69.524,21.495,21.495,69.524
costa,108,0.56,26.0,41.935,-15.935,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",42.0,28.0,23.0,11.0,11.0,42.0
stein,114,0.88,39.792,55.67,-15.878,Whether they'd have enough money to pay it for the next month.,35.78,42.0,54.286,27.103,27.103,54.286
stein,126,0.97,55.423,71.134,-15.711,And the neighbors were as nice as anybody could ever have been.,100.0,6.0,89.524,26.168,6.0,100.0
costa,107,0.55,23.0,38.71,-15.71,"You know, I’ve always had a bad heart.",39.0,24.0,19.0,10.0,10.0,39.0
stein,19,0.15,5.048,20.619,-15.57,And they were crying,2.752,7.0,8.571,1.869,1.869,8.571
bear,52,0.43,42.5,58.0,-15.5,"That was pretty spooky looking territory, let me tell you.",21.0,40.0,72.0,37.0,21.0,72.0
costa,169,0.87,26.5,41.935,-15.435,"They waited because they knew she was coming home that day, waiting for the call.",40.0,27.0,22.0,17.0,17.0,40.0
costa,43,0.22,33.0,48.387,-15.387,"And I went myself. You know, I had the coat on my arm.",29.0,29.0,51.0,23.0,23.0,51.0
costa,193,0.99,32.0,47.312,-15.312,"but she was so good, I can’t even tell you.",65.0,29.0,21.0,13.0,13.0,65.0
bear,109,0.89,32.75,48.0,-15.25,"and that old bear right on my tail,",57.0,18.0,12.0,44.0,12.0,57.0
costa,41,0.21,37.5,52.688,-15.188,I’m going to get Marie; they called me.”,51.0,27.0,53.0,19.0,19.0,53.0
costa,148,0.76,32.25,47.312,-15.062,I don’t care who’s in it.”,43.0,38.0,36.0,12.0,12.0,43.0
hester_v1-park,22,0.41,8.5,23.469,-14.969,that feeling came back once more.,0.0,5.0,29.0,0.0,0.0,29.0
costa,51,0.26,13.0,27.957,-14.957,"She said, “My mother’s just coming.”",23.0,9.0,11.0,9.0,9.0,23.0
hester_v1-park,30,0.56,15.75,30.612,-14.862,"I knew I wasn't perfect, but I wanted to help my dad.",12.0,18.0,19.0,14.0,12.0,19.0
costa,135,0.7,29.25,44.086,-14.836,And that girl is suffering.,40.0,35.0,31.0,11.0,11.0,40.0
costa,54,0.28,11.0,25.806,-14.806,And to make sure I brought her girdle to put on.,21.0,9.0,6.0,8.0,6.0,21.0
costa,53,0.27,11.0,25.806,-14.806,"They told me on the phone, it would be ten dollars more for her board.",21.0,9.0,6.0,8.0,6.0,21.0
costa,150,0.77,35.75,50.538,-14.788,You want to find out what she died from.”,45.0,41.0,43.0,14.0,14.0,45.0
costa,171,0.88,25.0,39.785,-14.785,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",39.0,26.0,20.0,15.0,15.0,39.0
panic,37,0.66,61.25,76.0,-14.75,I started to drop to the ground,90.0,49.0,89.0,17.0,17.0,90.0
costa,129,0.66,19.75,34.409,-14.659,"Well, that’s this one. This is a picture of Rita.",36.0,21.0,13.0,9.0,9.0,36.0
stein,70,0.54,29.744,44.33,-14.586,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",33.028,49.0,26.667,10.28,10.28,49.0
costa,140,0.72,21.0,35.484,-14.484,And how did they figure how Marie died?,33.0,24.0,17.0,10.0,10.0,33.0
costa,126,0.65,35.0,49.462,-14.462,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",51.0,36.0,41.0,12.0,12.0,51.0
costa,168,0.87,27.5,41.935,-14.435,"It was all – my two sisters were here, waiting until about half-past four.",40.0,27.0,23.0,20.0,20.0,40.0
costa,128,0.66,41.5,55.914,-14.414,Marie died.”,54.0,51.0,35.0,26.0,26.0,54.0
costa,189,0.97,26.5,40.86,-14.36,"Well, my sisters and my mother, you know, they were all alive.",43.0,29.0,20.0,14.0,14.0,43.0
costa,34,0.18,25.5,39.785,-14.285,He was working down in the yard.,45.0,17.0,29.0,11.0,11.0,45.0
bear,14,0.11,35.75,50.0,-14.25,"So being big macho men that we all were,",25.0,40.0,38.0,40.0,25.0,40.0
bear,94,0.77,70.75,85.0,-14.25,and nothing happened.,95.0,13.0,90.0,85.0,13.0,95.0
costa,33,0.17,32.0,46.237,-14.237,Daddy will be home soon.”,55.0,19.0,42.0,12.0,12.0,55.0
