,summary,rephrased_summary,total,len,rate,suffix
10,I was a rookie in the police force.|The Chief was a veteran officer.|I was a fitness enthusiast back then.|The Chief had a young daughter.|She seemed to try to impress me.|I wasn't fond of her chatterbox nature.|She left a message about running away.|The Chief came to my apartment worried.|I calmed him down and strategized a search.|We searched near a park but didn't find her.|We found her later at the police station.|The deputy advised me to transfer and leave.|I transferred and ended my rookie year.,"As a newcomer to the police department, I worked under an experienced officer who led the team. During that time, I was heavily into physical fitness. The Chief's young daughter often attempted to catch my attention, although I wasn't particularly keen on her incessant talking. One day, she left a note indicating her intention to run away. Her father, fraught with worry, showed up at my place. I helped soothe his nerves and we devised a plan to find her. Our search initially led us to a nearby park, but she was nowhere to be found there. Eventually, she turned up back at the station. Following this incident, a colleague suggested it might be best for me to request a transfer. Taking that advice, I transferred, thus concluding my first year on the force.",139.3,506,0.28,13_2.json
11,I was a rookie in the police force.|The Chief was a veteran officer.|He had a young daughter.|I was a fitness enthusiast.|She was trying to impress me.|I never noticed her intentions.|She was charming but talked too much.|She left a message about running away.|The Chief arrived at my apartment.|I proposed a search plan for his daughter.|We searched but couldn't find her initially.|She was found at the police station later.|I transferred and left after my rookie year.,"As a newcomer to the law enforcement team, I worked under the command of an experienced Chief. He was the father of a vivacious young girl. My passion for physical fitness was evident. Unbeknownst to me, she was attempting to catch my attention. Her allure was undeniable, although she was inclined to be overly talkative. One day, she left a note indicating her plans to elope. The Chief showed up at my residence in distress. I quickly suggested a strategy to locate his missing child. Despite our efforts, she was nowhere to be found at first. Surprisingly, she turned up back at the precinct later on. Following my initial year on the force, I decided to transfer and move on.",149.58,471,0.32,13_3.json
12,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|She was trying to impress me.|I wasn't very fond of her.|She was a chatterbox.|She left a message saying she'd run away.|The Chief came to my apartment.|I calmed him down.|We searched for her near a park.|We found her at the police station.|The deputy said to transfer.|I transferred and left.,"As a newcomer to the law enforcement team, I worked under an experienced Chief who had a little girl. My passion for physical training was evident. The Chief's daughter seemed to take a liking to me, attempting to catch my attention, although I didn't reciprocate much interest due to her talkative nature. One day, she left a note declaring her intention to run away. In a state of panic, the Chief showed up at my residence. I managed to soothe his nerves, and together we initiated a search that led us to a nearby park. However, it turned out she had gone to the police station. Following this incident, a colleague suggested it was time for a change, prompting me to accept a transfer and move on.",125.63,414,0.3,14_1.json
13,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter tried to impress me.|I didn't observe her attempts.|She was charming but a chatterbox.|She left a message about running away.|The Chief came to my apartment.|I calmed him down and strategized a search.|We searched for her near a park.|We found her at the police station.|The Chief's daughter hadn't run away.|I transferred and left the force.,"As a newcomer to the law enforcement team, I worked under an experienced Chief who had a daughter in her youth. My passion for physical fitness was well-known. Unbeknownst to me, the Chief's daughter endeavored to catch my attention. Despite her endearing and talkative nature, I failed to notice her efforts. One day, she left a note hinting at her intention to elope. In a state of panic, the Chief arrived at my residence. I managed to soothe his nerves and we devised a plan to locate her. Our search led us to a nearby park, but ultimately, we discovered her back at the precinct. It turned out she hadn't actually fled. Eventually, I made the decision to move on and resigned from the department.",126.31,484,0.26,14_2.json
14,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|She tried to impress me.|She was a chatterbox.|She threatened to run away.|The Chief came to my apartment.|I calmed him down.|We searched for her.|We couldn't locate her.|She was at the police station.|Frank Mitchell advised me to transfer.|I transferred and left.,"As a newcomer to the police department, I worked under a seasoned Chief who had a little girl. My passion for physical fitness caught her attention, and she made efforts to win my admiration. Known for her talkative nature, she once warned she might flee. One day, the Chief showed up at my residence in distress. I managed to soothe his nerves, and together we scoured the area for her, but to no avail. It turned out she had been at the precinct all along. Following a suggestion from Frank Mitchell, I decided it was best to request a transfer, and subsequently, I moved on from that position.",137.72,385,0.36,14_3.json
15,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a notorious criminal capture.|He was awarded for bravery.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter was trying to impress me.|I never observed her intentions.|I wasn't fond of her because she talked a lot.|She left a message saying she was running away.|The Chief came to my apartment looking intimidating.|I calmed him down and proposed a search plan.|We searched and found her scarf in a park.|We returned to the station and found her safe.|I transferred and left the force on advice from the deputy.,"As a newcomer to the police department, I worked under a seasoned Chief who had gained fame for apprehending a high-profile outlaw and had been recognized for his courage. The Chief was raising a young girl on his own. My own passion was keeping fit. Unbeknownst to me, the Chief's daughter was making efforts to catch my attention, but her incessant chatter made her less appealing to me. One day, she vanished, leaving behind a note about her plans to escape. Her father, appearing quite formidable, showed up at my residence. I managed to soothe his nerves and suggested we devise a strategy to locate her. During our search, we stumbled upon her scarf in a local park. However, when we got back to the precinct, we were relieved to find her unharmed. Following the incident and on the recommendation of the deputy, I decided to pursue a different path and resigned from the police force.",187.25,616,0.3,15_1.json
16,I was a rookie in the police force.|The Chief was a decorated veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter seemed to try to impress me.|I wasn't fond of the daughter.|The daughter was a chatterbox.|She left a message about running away.|The Chief came to my apartment angry.|I calmed the Chief down.|We searched for the daughter together.|We went to where her scarf was found.|We found her in the police station.|Frank Mitchell advised me to transfer.|I transferred and ended my rookie year.,"As a newcomer to the law enforcement team, I worked under a highly esteemed Chief with a long service record. This Chief was the father of a vivacious young girl. My own passion for physical fitness seemed to catch her attention, as she often appeared to be seeking my approval. However, I didn't particularly enjoy her company, as she was quite the talker. One day, she left a note indicating her plans to elope. Her father, in a state of fury, confronted me at my residence. I managed to soothe his temper, and together we embarked on a quest to locate his missing daughter. Our search led us to the discovery of her abandoned scarf, and eventually to the police station where she had taken refuge. Following this incident, Frank Mitchell suggested that it might be in my best interest to pursue a transfer. Heeding his advice, I transferred, thereby concluding my initial year as a police officer.",180.45,528,0.34,15_2.json
17,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter tried to impress me.|I wasn't very fond of her.|She was a chatterbox.|The daughter left a message about running away.|The Chief arrived at my apartment.|I calmed him down.|We searched for her near a park.|We found her at the police station.|The daughter hadn't run away.|Frank Mitchell advised me to transfer.|I transferred and left the force.,"As a newcomer to the law enforcement team, I worked under an experienced Chief who had a little girl. My interest in physical health was well-known. The Chief's daughter made attempts to catch my attention, but I didn't take much of a liking to her due to her incessant talking. One day, she left a note suggesting she might elope. When the Chief showed up at my residence, I managed to soothe his nerves. Our search led us to a nearby park, but ultimately, we discovered her back at the station; she hadn't actually attempted to flee. Following the incident, Frank Mitchell recommended that I consider a departmental change. Heeding his advice, I transferred, ultimately stepping away from the police department.",163.68,477,0.34,15_3.json
18,I was a rookie in the police force.|The Chief was a veteran.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter tried to impress me.|I wasn't fond of her because she talked too much.|She left a message about running away.|The Chief came to my apartment angry.|I calmed him down.|We decided to search for her.|We found her scarf near a park.|We couldn't locate her.|She was later found at the police station.|She hadn't run away.|The deputy advised me to transfer.|I transferred and left.,"As a newcomer to the police department, I worked under an experienced Chief who had a young daughter. My passion for physical fitness caught her attention, and she sought to gain my admiration. However, her excessive chatter made her less appealing to me. One day, she left a note suggesting she might elope. Her father, in a state of fury, confronted me at my residence. I managed to soothe his temper, and together we embarked on a quest to find her. A clue in the form of her scarf emerged by a local park, yet she remained elusive. Eventually, she turned up back at the station, having never actually left. Following the incident, a colleague recommended that I consider a transfer. Heeding that advice, I moved on from that precinct.",149.13,517,0.29,16_1.json
19,I was a rookie in the police force.|The Chief was a veteran officer.|He had been awarded for bravery.|The Chief had a young daughter.|I was a fitness enthusiast back then.|The Chief's daughter tried to impress me.|I wasn't fond of her because she was talkative.|She left a message saying she'd run away.|The Chief scolded her about me.|He came to my apartment looking intimidating.|I calmed him down with a search plan.|We accepted to search for her together.|We found her scarf near a park.|We couldn't locate her initially.|She was at the police station with a book.|I transferred and left after my rookie year.,"As a newcomer to the police department, I worked under a seasoned officer who had earned commendations for his courage. This officer, the Chief, was the father of a vivacious young girl. During that time, I was heavily into physical fitness, which seemed to catch his daughter's attention as she attempted to win my favor. However, her loquacious nature didn't appeal to me. One day, she left a note declaring her intention to elope. It turned out that the Chief had reprimanded her because of her interest in me, which led him to confront me at my residence with a rather formidable presence. I managed to defuse the situation by proposing a strategy to find her. We agreed to join forces in the search. A clue surfaced when we discovered her scarf by a park, but she was nowhere to be found at first. Surprisingly, she turned up at the police station engrossed in a book. Following my initial year on the force, I decided to transfer and move on from that precinct.",208.16,613,0.34,16_2.json
20,I was a rookie in the police force.|The Chief was a veteran.|The Chief caught a notorious criminal.|He had a young daughter.|I was a fitness enthusiast.|She seemed to try to impress me.|I was not fond of her.|She was very talkative.|She left a message about running away.|Her father came to my apartment.|I calmed him down.|We decided to search for her.|We went to the park to look for her.|She was found at the police station.|The deputy advised me to transfer.|I transferred and left.,"As a newcomer to the law enforcement team, I worked under an experienced Chief. He managed to apprehend a well-known lawbreaker who had a young daughter. My interest in physical fitness was apparent, and it seemed as though she was attempting to gain my attention. However, I didn't particularly warm up to her, despite her being quite chatty. One day, she left a note indicating her plans to elope. Her worried father showed up at my residence, and I was able to soothe his nerves. Together, we agreed to embark on a search. Our search led us to the local park, but ultimately, she turned up back at the precinct. Following this incident, a colleague suggested that it might be best for me to consider a transfer. Taking that advice, I pursued a transfer and subsequently moved on from that position.",162.24,486,0.33,16_3.json
21,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter was trying to impress me.|I wasn't fond of the Chief's daughter.|The Chief's daughter was a chatterbox.|She left a message about running away.|The Chief came to my apartment.|I calmed the Chief down.|We searched for her near the park.|We couldn't locate her initially.|She returned to the police station.|The issue was resolved that day.|Frank Mitchell suggested I transfer.|I transferred and ended my rookie year.,"As a newcomer to the police department, I worked under an experienced Chief who had recently apprehended a well-known felon. His young daughter, who seemed to be quite taken with me, perhaps due to my interest in physical fitness, was more talkative than I preferred. Unexpectedly, she left a note indicating her plans to elope. In a state of panic, the Chief arrived at my residence, where I managed to soothe his nerves. Together, we scoured the area around the park for her, but she was nowhere to be found at first. To our relief, she made her way back to the station on her own, and the situation was defused that same day. Following the advice of Frank Mitchell, I decided to accept a transfer, thereby concluding my initial year as a novice officer.",180.61,599,0.3,17_1.json
22,I was a rookie in the police force.|The Chief was a veteran officer.|The Chief had caught a notorious criminal.|The Chief also had a young daughter.|I was a fitness enthusiast then.|The Chief's daughter seemed to try to impress me.|I wasn't fond of her because she was a chatterbox.|She left a message saying she'd run away.|The Chief came to my apartment one day.|I calmed him down with a strategy.|We searched for her starting at a park.|We couldn't locate her after searching.|We returned to the police station.|She was sitting there with a book.|Deputy Frank Mitchell advised me to transfer.|I decided to transfer and leave.|That was the end of my rookie year.,"In my early days on the police squad, the commanding officer was an experienced law enforcer. This seasoned officer had once apprehended a well-known lawbreaker. He was also the father of a young girl. At that time, I was quite passionate about physical fitness. It appeared that his daughter was making an effort to catch my attention. However, her incessant talking made her less appealing to me. One day, she left a note indicating she had decided to elope. Unexpectedly, the Chief showed up at my residence. I managed to soothe his nerves with a well-thought-out plan. We initiated our search at a local park. Despite our efforts, we were unable to find her. We eventually headed back to the precinct. To our surprise, she was there, engrossed in a book. Deputy Frank Mitchell suggested that it might be wise for me to consider a transfer. I took his advice and chose to move on. This marked the conclusion of my initial year with the force.",220.85,664,0.33,17_2.json
23,I was a rookie in the police force.|The Chief was a veteran.|The Chief caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter was trying to impress me.|I did not observe her interest.|I was not fond of her talking too much.|She left a message about running away.|She felt scolded due to me.|The Chief came to my apartment.|I calmed him down.|We decided to search for her together.|We found her scarf near a park.|We returned to find her at the station.|The deputy advised me to transfer.|I transferred and left the force.,"As a newcomer to the police department, I worked under an experienced Chief. This Chief had successfully apprehended a well-known lawbreaker. He was also the father of a young girl. My own passion was physical fitness. His daughter seemed to be making an effort to catch my attention, but I failed to notice her advances. Her constant chatter was something I didn't particularly enjoy. One day, she left a note indicating her intention to run away, feeling rebuked because of my reaction to her. When the Chief discovered her absence, he showed up at my residence in distress. I managed to soothe his nerves, and we agreed to join forces in searching for her. A clue surfaced when we stumbled upon her scarf by a park. However, upon our return, we were surprised to find her back at the precinct. Following this incident, the deputy suggested it might be best for me to seek a transfer. Taking that advice, I moved on from the department.",209.4,568,0.37,17_3.json
24,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief was awarded for bravery.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter seemed to be trying to impress me.|I never observed her interest.|I wasn't fond of her.|She was a charming chatterbox.|She left a message about running away.|The Chief arrived at my apartment.|I calmed him down.|We searched for her around a park.|She was found at the police station with a book.|The deputy advised me to transfer.|I transferred and left.|That was the end of my rookie year.,"As a newcomer to the police department, I was just starting out. The seasoned Chief had a reputation for his experience and had recently apprehended a well-known outlaw. His courageous actions earned him recognition. He was also a father to a young girl. My own interests lay in physical fitness. It appeared that his daughter was making an effort to catch my attention, but I remained oblivious to her advances. Her charm and talkativeness didn't quite win me over. One day, she left a note indicating her plans to elope. When the Chief showed up at my doorstep, I managed to soothe his nerves. Together, we scoured the vicinity of a local park in search of her. Eventually, she turned up back at the station, engrossed in a book. Following this incident, a colleague suggested I consider a change of scenery. Heeding that advice, I requested a transfer and moved on. This marked the conclusion of my initial year on the force.",181.81,602,0.3,18_1.json
25,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|She was trying to impress me.|I wasn't very fond of her.|She was a charming girl.|She was a chatterbox.|She left a message about running away.|The Chief arrived at my apartment.|I calmed him down.|We searched for her scarf.|We traced and couldn't locate her.|We returned to the police station.|She was sitting on a chair with a book.|The deputy advised me to transfer.|I transferred and left.,"As a newcomer to the police department, I worked under an experienced Chief who had a reputation for capturing a well-known outlaw. His young daughter, who knew I was passionate about physical fitness, seemed to be trying to win my approval, although I wasn't particularly taken with her despite her endearing and talkative nature. One day, she vanished, leaving behind a note about her intention to run away. The Chief, in a state of panic, showed up at my residence, but I managed to soothe his nerves. We embarked on a search, starting with her missing scarf, but our efforts to find her proved fruitless. Upon returning to the station, we found her nonchalantly reading a book in a chair. Following this incident, the deputy suggested it might be best for me to seek a transfer, which I did, ultimately leaving the area.",183.41,556,0.33,18_2.json
26,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|His daughter tried to impress me.|I wasn't fond of her.|She was a chatterbox.|She left a message about running away.|The Chief arrived at my apartment.|I calmed him down.|We searched for her together.|We found her scarf near a park.|We returned to the police station.|She was at the station with a book.|The issue was resolved for the day.|The deputy advised me to transfer.|I transferred and left after my rookie year.,"As a newcomer to the law enforcement team, I worked under the command of an experienced Chief. This Chief had successfully apprehended a well-known lawbreaker. He was also the father of a young girl. My own passion for physical fitness seemed to catch her attention, and she made efforts to win my admiration. However, her incessant talking didn't appeal to me. One day, she left a note indicating her plans to elope. When the Chief showed up at my residence, I managed to soothe his nerves. We joined forces to look for her and stumbled upon her scarf by a playground. After heading back to the precinct, we discovered she was already there, engrossed in a novel. With the situation defused, a colleague suggested it might be best for me to seek a transfer. Heeding that advice, I moved on from that precinct after completing my first year on the job.",189.82,583,0.33,18_3.json
27,I was a rookie in the police force.|The Chief was a veteran.|He had caught a notorious criminal.|He had a young daughter.|I was a fitness enthusiast.|She seemed to be trying to impress me.|I never observed her behavior.|I wasn't fond of her.|She was a charming but talkative girl.|She left a message about running away.|The Chief arrived at my apartment.|I managed to calm him down.|I proposed a plan to search for her.|He accepted my offer.|We searched for her near a park.|We couldn't locate her initially.|We found her at the police station.|The deputy advised me to transfer.|I transferred and left the force.,"As a newcomer to the police department, I worked under a seasoned Chief who had apprehended a well-known outlaw. His daughter, still in her youth, appeared to be making an effort to catch my attention, given my keen interest in physical fitness. However, I paid little mind to her attempts, as she didn't quite appeal to me despite her engaging yet loquacious nature. One day, she left a note indicating her plans to elope. In a state of distress, the Chief showed up at my residence, but I was able to soothe his nerves. I then suggested a strategy to find her, which he agreed to. Our search led us to the vicinity of a local park, but she was nowhere to be found at first. Eventually, we discovered her back at the precinct. Following this incident, the deputy recommended that I consider a transfer, which I did, ultimately deciding to depart from the police service.",192.2,613,0.31,19_1.json
28,I was a rookie in the police force.|The Chief was a veteran officer.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter seemed to try to impress me.|I was not fond of her because she talked a lot.|She left a message saying she would run away.|The Chief arrived at my apartment upset.|I calmed him down and proposed a search for her.|He accepted my offer to search for her.|We went to the park where her scarf was found.|We couldn't locate her during the search.|She was found at the police station later.|She hadn't actually run away.|The issue seemed resolved that day.|The deputy warned me to transfer and leave.|I transferred to a different location.|That was the end of my rookie year.,"As a newcomer to the police department, I worked under the command of an experienced officer, the Chief, who had recently apprehended a well-known felon. His young daughter, who appeared to be quite taken with me, perhaps due to my interest in physical fitness, was someone I didn't particularly warm to because of her incessant chatter. One day, she left a note threatening to elope. When the Chief showed up at my residence, visibly distressed, I managed to soothe his nerves and suggested we initiate a search. He agreed to my plan, and together we scoured the local park after discovering her scarf there. Despite our efforts, she remained elusive. To our relief, she turned up back at the station, having never truly intended to leave. The situation seemed to have been defused, but a colleague advised me it would be wise to request a transfer. I heeded the advice and moved to a new precinct, marking the conclusion of my first year on the force.",183.5,754,0.24,19_2.json
29,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|The daughter seemed to be trying to impress me.|I never noticed her efforts.|I wasn't fond of her.|She was charming but talked too much.|She left a message about running away.|The Chief came to my apartment.|I managed to calm him down.|I proposed a plan to search for her.|We went to where her scarf was found.|We couldn't locate her at the park.|We returned to find her at the police station.|She hadn't actually run away.|The deputy advised me to transfer and leave.|I transferred and left at the end of my rookie year.,"As a newcomer to the police department, I worked under an experienced Chief who had recently apprehended a well-known outlaw. His daughter, still in her youth, appeared to be seeking my attention, though I was too preoccupied with my passion for physical fitness to take notice. Despite her allure and tendency to be overly talkative, I didn't reciprocate her interest. One day, she left a note hinting at her intention to elope. In a state of panic, the Chief showed up at my residence, but I was able to soothe his nerves. Together, we devised a strategy to find her, starting with the location where her scarf was discovered. Our search at the park was fruitless, and upon our return, we were surprised to find her back at the station, having never truly left. Following this incident, the deputy suggested it would be best for me to request a transfer. Heeding this advice, I moved on from the department at the conclusion of my first year.",199.11,685,0.29,19_3.json
30,I was a rookie in the police force.|The Chief was a veteran.|The Chief had caught a notorious criminal.|The Chief had a young daughter.|I was a fitness enthusiast.|The Chief's daughter was trying to impress me.|I wasn't very fond of her.|She was charming until she opened her mouth.|She was a chatterbox.|She left a message about running away.|The Chief arrived at my apartment.|I managed to calm him down.|I proposed we search for his daughter.|The Chief accepted my offer.|We searched near the park.|We couldn't locate her initially.|She was at the police station with a book.|That resolved the issue for the day.|The deputy advised me to transfer.|I transferred and left the force.,"As a newcomer to the police department, I worked under a seasoned Chief who had a reputation for capturing infamous outlaws. His young daughter, who was trying to win my admiration, knew I was passionate about physical fitness. Despite her attempts, I didn't take a liking to her; she was quite engaging until she started talking non-stop. One day, she left a note indicating she planned to elope. When the Chief showed up at my residence, I was able to soothe his nerves. I suggested we should look for his daughter together, and he agreed to the plan. Our search led us to the vicinity of the local park, but she was nowhere to be found at first. Eventually, we discovered her back at the precinct, engrossed in a book, which put an end to the day's drama. Following the incident, the deputy recommended that I consider a transfer. Taking the advice to heart, I decided to move on and ultimately departed from the police force.",205.21,684,0.3,20_1.json
