recall_id,clause_id,clause_text,rephrased_text
54232b4bfdf99b328c91b253,11,He hadn't run away.,It turned out he hadn't actually vanished.
54232b4bfdf99b328c91b253,12,Then a sheriff turned up,"Subsequently, a lawman arrived"
54232b4bfdf99b328c91b253,13,and told me to lay low,and advised me to stay out of sight
54232b4bfdf99b328c91b253,14,as the old lady doesn't forget anything.,warning that the cat lady remembers everything.
54232b4bfdf99b328c91b253,15,And so I laid low.,"Hence, I stayed hidden."
54232b4bfdf99b328c91b253,16,For the second time.,It was my second time doing so.
56815ef3c5767f00121d2088,1,There was a girl,A young girl existed
56815ef3c5767f00121d2088,2,who lived next door to a woman,who was the neighbor of a lady
56815ef3c5767f00121d2088,3,who had 20 cats (or so),who owned roughly 20 felines
56815ef3c5767f00121d2088,4,plus her son.,along with her offspring.
56815ef3c5767f00121d2088,5,"Her son wanted to befriend the girl,","The woman's son was keen to make friends with the girl,"
56815ef3c5767f00121d2088,6,but the girl didn't realise that.,yet the girl was oblivious to his intentions.
56815ef3c5767f00121d2088,7,She found him charming,She thought he was appealing
56815ef3c5767f00121d2088,8,but didn't like his manners.,but his etiquette did not impress her.
56815ef3c5767f00121d2088,9,So one day the boy wrote a letter to her,"Thus, the boy decided to pen a note to her"
56815ef3c5767f00121d2088,10,saying that he is running away.,declaring his plan to elope.
56815ef3c5767f00121d2088,11,His mother found out,His mother became aware of this
56815ef3c5767f00121d2088,12,and asked the girl about him.,and inquired with the girl regarding his whereabouts.
56815ef3c5767f00121d2088,13,Holding a big tabby cat in her hand.,Cradling a sizable striped cat in her arms.
56815ef3c5767f00121d2088,14,The girl suggested that they call the police,The girl proposed that they should contact law enforcement
56815ef3c5767f00121d2088,15,which the mum did.,which the mother promptly did.
56815ef3c5767f00121d2088,16,They also went to look for him themselves.,They set out to search for him on their own as well.
56815ef3c5767f00121d2088,17,They found a baseball cap near an old mill.,"They stumbled upon a baseball hat near a decrepit mill,"
56815ef3c5767f00121d2088,18,but nothing else.,but that was all.
56815ef3c5767f00121d2088,19,So they went back,"Hence, they returned"
56815ef3c5767f00121d2088,20,and found him sitting on a tree branch reading a comic book.,"only to discover him perched on a limb of a tree, engrossed in a graphic novel."
56815ef3c5767f00121d2088,21,The Sheriff advised the girl to lay low,The lawman counseled the girl to keep a low profile
56815ef3c5767f00121d2088,22,because the woman had a very good memory.,owing to the lady's notably sharp memory.
56815ef3c5767f00121d2088,23,So the girl laid low.,"And so, the girl kept out of sight."
56b39f0b2bac74000c89df22,1,Mrs Baker had 20 cats,Mrs. Baker owned two dozen felines
56b39f0b2bac74000c89df22,2,and lived in same neighbourhood as storyteller/narrator.,and resided in the same district as the storyteller.
56b39f0b2bac74000c89df22,3,She had a grandson,She possessed a grandchild
56b39f0b2bac74000c89df22,4,who was trying to befriend the narrator,who endeavored to make friends with the narrator
56b39f0b2bac74000c89df22,5,but she wasn't interested,yet she showed no interest
56b39f0b2bac74000c89df22,6,as he had poor manners.,since his etiquette was lacking.
56b39f0b2bac74000c89df22,7,One day the grandson told narrator,"On a certain occasion, the grandchild confided to the narrator"
56b39f0b2bac74000c89df22,8,he was going to run away,his intentions to flee
56b39f0b2bac74000c89df22,9,"because Mrs Baker kept nagging, about narrator.",due to Mrs. Baker's constant scolding about the narrator.
56b39f0b2bac74000c89df22,10,Later Mrs B went to narrator's treehouse,"Subsequently, Mrs. B approached the narrator's arboreal hideout"
56b39f0b2bac74000c89df22,11,(a tabby cat was with her),(accompanied by a striped feline)
56b39f0b2bac74000c89df22,12,wanting to call the police,intent on contacting law enforcement
56b39f0b2bac74000c89df22,13,because grandson was missing.,owing to her grandchild's disappearance.
56b39f0b2bac74000c89df22,14,Narrator suggested they go and look for him first,The narrator proposed they search for him initially
56b39f0b2bac74000c89df22,15,"before calling police,","prior to alerting the authorities,"
56b39f0b2bac74000c89df22,16,so they did,and so the search commenced
56b39f0b2bac74000c89df22,17,but only found his baseball cap.,yet they only stumbled upon his baseball hat.
56b39f0b2bac74000c89df22,18,The sheriff was called,Law enforcement was notified
56b39f0b2bac74000c89df22,19,but when Mrs B and narrator got back to the treehouse,but upon Mrs. B and the narrator's return to the treehouse
56b39f0b2bac74000c89df22,20,her grandson was there reading a comic.,they found the grandson engrossed in a graphic novel.
56b39f0b2bac74000c89df22,21,The sheriff told someone,The lawman informed an individual
56b39f0b2bac74000c89df22,22,(not sure if it was the narrator or grandson),(unclear whether it was the narrator or the grandchild)
56b39f0b2bac74000c89df22,23,to lay lie,to remain truthful
56b39f0b2bac74000c89df22,24,as Mrs B never forgot anything.,since Mrs. B's memory was infallible.
59566581a2372d0001289380,1,Mrs Barker had a grandson,Grandma Barker possessed a grandson
59566581a2372d0001289380,2,and lots of cats,along with numerous felines
59566581a2372d0001289380,3,The grandson had very bad manners,The young boy exhibited quite poor etiquette
59566581a2372d0001289380,4,He tried to be friend with me,He attempted to establish a friendship with me
59566581a2372d0001289380,5,One day he left a note,He once left behind a written message
59566581a2372d0001289380,6,saying he would run away,declaring his intentions to escape
59566581a2372d0001289380,7,Mrs Baker went looking for him at the factory,Grandma Barker searched for him at the industrial site
59566581a2372d0001289380,8,but he couldn't be found,yet he remained elusive
59566581a2372d0001289380,9,and she would phone the police,and she intended to call law enforcement
59566581a2372d0001289380,10,Sheriff Dawson,"Specifically, Sheriff Dawson"
59566581a2372d0001289380,11,He was found sitting on a tree branch,He was eventually discovered perched on a limb of a tree
59566581a2372d0001289380,12,reading a comic,engrossed in a graphic novel
59566581a2372d0001289380,13,and hadn't run away,and he had not actually fled
59566581a2372d0001289380,14,Sheriff Dawson said he should stay out of sight,Sheriff Dawson advised he keep out of visibility
59566581a2372d0001289380,15,as that woman doesn't forget a thing.,since that lady remembers everything.
59777c084bfdcf0001f7bbc7,1,An old lady Mrs Dawson had about 20 cats,"Mrs. Dawson, an elderly woman, owned approximately 20 felines."
59777c084bfdcf0001f7bbc7,2,she adopted a girl,She took in an orphaned girl.
59777c084bfdcf0001f7bbc7,3,that was a tomboy,The child was quite the tomboy.
59777c084bfdcf0001f7bbc7,4,it she was a lot of trouble,"Indeed, she caused a great deal of mischief."
59777c084bfdcf0001f7bbc7,5,she left a note saying she would run away,She left behind a message indicating her intent to elope.
59777c084bfdcf0001f7bbc7,6,but she didn't run away,"However, she did not actually flee."
59777c084bfdcf0001f7bbc7,7,she was sat in a tree,"Instead, she was perched up in a tree."
59777c084bfdcf0001f7bbc7,8,with a table cat in tow,Accompanied by a stray cat.
59777c084bfdcf0001f7bbc7,9,the sheriff said stay out of sight,The local lawman advised to keep out of visibility.
59777c084bfdcf0001f7bbc7,10,as once that woman gets something in her head,"Because once Mrs. Dawson fixates on an idea,"
59777c084bfdcf0001f7bbc7,11,she never forgets.,it remains with her indefinitely.
598d55aa8380cc00012a3a53,1,Mrs Baker’s ill mannered grandson runs away,The rude grandson of Mrs. Baker makes an escape
598d55aa8380cc00012a3a53,2,and she blames the narrator.,while she holds the storyteller responsible.
598d55aa8380cc00012a3a53,3,He returns,The boy makes his way back
598d55aa8380cc00012a3a53,4,and is found reading a comic at their treehouse.,and they discover him engrossed in a graphic novel in their wooden hideout.
598d55aa8380cc00012a3a53,5,The sherry gives a warning about Mrs Baker.,The fortified wine cautions regarding Mrs. Baker.
59f39daef4217300016cbed4,1,A lady had a cat,A woman owned a feline companion
59f39daef4217300016cbed4,2,and she was very fond of them,and held great affection for it
59f39daef4217300016cbed4,3,and either kept 20 or so,often having around twenty
59f39daef4217300016cbed4,4,or tried to re-home them.,or attempting to find them new homes.
59f39daef4217300016cbed4,5,This lady also had a nephew,"Additionally, this woman had a nephew"
59f39daef4217300016cbed4,6,"who was fond of another person in the story,","who took a liking to someone else mentioned in the tale,"
59f39daef4217300016cbed4,7,but this nephew had terrible manners,yet this nephew possessed poor etiquette
59f39daef4217300016cbed4,8,and the other person in the story was not interested in them.,and the individual in question showed no interest in return.
5a099b6ca383a100011b49ec,1,"Mrs Baker, a woman with a lot of cats, had a grandson.","Mrs. Baker, who owned numerous cats, also had a grandson."
5a099b6ca383a100011b49ec,2,That grandson was quite fond of a girl (the narrator),This grandson held a deep affection for a certain girl (the storyteller).
5a099b6ca383a100011b49ec,3,but the feeling wasn't reciprocated.,"However, she did not share his feelings."
5a099b6ca383a100011b49ec,4,The boy ended up running away,"Consequently, the young man chose to flee"
5a099b6ca383a100011b49ec,5,"over the nagging from his grandmother,","due to his grandmother's persistent scolding,"
5a099b6ca383a100011b49ec,6,nagging about the relationship with the girl.,which was about his involvement with the girl.
5a099b6ca383a100011b49ec,7,Mrs Baker went to see the girl,Mrs. Baker approached the girl
5a099b6ca383a100011b49ec,8,to confront her about the grandson running away.,to challenge her regarding her grandson's disappearance.
5a099b6ca383a100011b49ec,9,They both went to look for him,"Together, they set out in search of him"
5a099b6ca383a100011b49ec,10,"but, other than his baseball cap, found no sign.",but discovered nothing except his baseball hat.
5a099b6ca383a100011b49ec,11,"When they returned they found him sitting on a tree branch,","Upon their return, they spotted him perched on a tree limb,"
5a099b6ca383a100011b49ec,12,reading a comic.,engrossed in a comic book.
5a099b6ca383a100011b49ec,13,He hadn't run away.,He had not actually taken off.
5a099b6ca383a100011b49ec,14,For some reason a policeman told the girl to lay low,"For reasons unknown, an officer advised the girl to stay out of sight"
5a099b6ca383a100011b49ec,15,as Mrs Baker wouldn't forget what had happened easily.,since Mrs. Baker was not likely to let the incident slide.
5a27eee353fc4b0001414fe8,1,Mrs Baker was the neighbourhood cat lady,Mrs. Baker was known as the local feline enthusiast
5a27eee353fc4b0001414fe8,2,(about 20 cats).,(possessing roughly 20 cats).
5a27eee353fc4b0001414fe8,3,She had a grandson,She possessed a grandson
5a27eee353fc4b0001414fe8,4,who she was trying to get to make friends with the narrator of the story.,whom she was attempting to introduce to the story's teller as a friend.
5a27eee353fc4b0001414fe8,5,She kept nagging,She persisted in her efforts
5a27eee353fc4b0001414fe8,6,so he made it look like he'd ran away.,leading him to stage a disappearance.
5a27eee353fc4b0001414fe8,7,She got the narrator to help look for him,She enlisted the storyteller's assistance in searching for him
5a27eee353fc4b0001414fe8,8,"and they found his cap,","and they stumbled upon his hat,"
5a27eee353fc4b0001414fe8,9,but not him.,yet he remained elusive.
5a27eee353fc4b0001414fe8,10,When they returned,Upon their return
5a27eee353fc4b0001414fe8,11,he was in the treehouse.,he was perched in the treehouse.
5a4c063dac413f0001e607ec,1,Mrs Baker was the street cat lady,Mrs. Baker was known as the neighborhood's cat caretaker
5a4c063dac413f0001e607ec,2,and gave homes to around 20 cats.,and she provided shelter to approximately 20 felines.
5a4c063dac413f0001e607ec,3,Her grandson wanted to be friends with the author,Her grandchild was keen to become acquainted with the writer
5a4c063dac413f0001e607ec,4,but the author didn’t really want to be friends.,but the writer wasn't particularly interested in forming a friendship.
5a4c063dac413f0001e607ec,5,One day the grandson went missing,"On a certain occasion, the grandson disappeared"
5a4c063dac413f0001e607ec,6,"and Mrs Baker came looking for him,","prompting Mrs. Baker to search for him,"
5a4c063dac413f0001e607ec,7,bringing her tabby cat.,accompanied by her striped tabby.
5a4c063dac413f0001e607ec,8,"They tried to find him,","They endeavored to locate him,"
5a4c063dac413f0001e607ec,9,with the author saying if they couldn’t then she could call the police.,"with the writer suggesting that if their search failed, they should alert the authorities."
5a4c063dac413f0001e607ec,10,It turns out he was in the treehouse reading a book.,"Ultimately, it was discovered that he was ensconced in the treehouse, engrossed in a book."
5a56222f8e6259000175b271,1,Mrs baker was the cat lady in my neighbourhood,"In my area, Mrs. Baker was known as the woman with many cats."
5a56222f8e6259000175b271,2,when i was growing up.,This was during my childhood years.
5a56222f8e6259000175b271,3,She had at least 20 cats.,She owned no fewer than twenty felines.
5a56222f8e6259000175b271,4,"Her told me her grandson liked me,","She once mentioned that her grandson took a liking to me,"
5a56222f8e6259000175b271,5,although I didn’t notice;,though it was something I hadn't observed;
5a56222f8e6259000175b271,6,i was a tomboy.,I always played the tomboy.
5a56222f8e6259000175b271,7,One day she thought he’d run off,"On a certain occasion, she believed he had disappeared"
5a56222f8e6259000175b271,8,so we went looking for him.,leading us to search for him.
5a56222f8e6259000175b271,9,"We couldn’t find him,","Our search was in vain,"
5a56222f8e6259000175b271,10,but when we got back to my treehouse he was there.,"yet upon returning to my treehouse, there he was."
5a56222f8e6259000175b271,11,"The local sherif (?) said I need to be careful,","The town's sheriff warned me to stay vigilant,"
5a56222f8e6259000175b271,12,Mrs Baker never forgets anything.,and Mrs. Baker is someone who never misses a detail.
5b082f3d61cde20001b6706e,1,I had a neighbour called Mrs Baker,My neighbor was known as Mrs. Baker
5b082f3d61cde20001b6706e,2,who was a crazy cat lady.,who had an obsession with felines.
5b082f3d61cde20001b6706e,3,She had at least 20 cats,She owned no fewer than 20 cats
5b082f3d61cde20001b6706e,4,"or had rehomed some,","or had found them new homes,"
5b082f3d61cde20001b6706e,5,she lived with her grandson.,and her grandson shared her home.
5b082f3d61cde20001b6706e,6,I was a tomboy.,I was quite the tomboy myself.
5b082f3d61cde20001b6706e,7,The grandson wanted to be my friend,Her grandson was keen to befriend me
5b082f3d61cde20001b6706e,8,but I didn't like him.,yet I wasn't fond of him.
5b082f3d61cde20001b6706e,9,He was not nice,He lacked niceness
5b082f3d61cde20001b6706e,10,"and had poor manners,","and was ill-mannered,"
5b082f3d61cde20001b6706e,11,goodness gracious me he had poor manners.,"truly, his manners were atrocious."
5b082f3d61cde20001b6706e,12,One day he left a note saying he had run away,"Once, he left behind a note declaring his departure"
5b082f3d61cde20001b6706e,13,the grandmother came to me to ask to help find him,and his grandmother approached me for assistance in locating him
5b082f3d61cde20001b6706e,14,she kept nagging.,persistently pestering me.
5b082f3d61cde20001b6706e,15,I said we will look for him,I agreed to search for him
5b082f3d61cde20001b6706e,16,and then call the police if needed.,and to involve the authorities if it became necessary.
5b082f3d61cde20001b6706e,17,We went looking,Our search commenced
5b082f3d61cde20001b6706e,18,and found his baseball cap at the old mill,and his baseball hat was discovered at the derelict mill
5b082f3d61cde20001b6706e,19,but no trace of him.,yet he was nowhere to be found.
5b082f3d61cde20001b6706e,20,We went to the treehouse club,We proceeded to the clubhouse in the trees
5b082f3d61cde20001b6706e,21,and found him reading a comic.,where he was spotted engrossed in a comic book.
5b082f3d61cde20001b6706e,22,Sherriff Dawson said I should stay low for a while,Sheriff Dawson advised me to keep a low profile for some time
5b082f3d61cde20001b6706e,23,as the old lady doesn't forget,since the elderly woman had a long memory
5b082f3d61cde20001b6706e,24,so I laid low out of sight.,thus I stayed out of view.
5b082f3d61cde20001b6706e,25,That was the second time.,It was the second occurrence.
5b0a9b13444cef0001ca2b32,1,"I lived next door to a neighbour,","My residence was adjacent to a woman's home,"
5b0a9b13444cef0001ca2b32,2,she was known as the cat lady,"widely referred to as the cat lady,"
5b0a9b13444cef0001ca2b32,3,as her house was full of cats she bought.. or found.,since her abode overflowed with cats she acquired or stumbled upon.
5b0a9b13444cef0001ca2b32,4,I was always kinda a tomboy,"I've always been somewhat of a tomboy myself,"
5b0a9b13444cef0001ca2b32,5,and the neighbours son wanted to be friends with me.,and the son of the neighbour was keen to become my friend.
5b0a9b13444cef0001ca2b32,6,One day the son went missing,"The son disappeared one day,"
5b0a9b13444cef0001ca2b32,7,"and I had to help the neighbour find him,","prompting me to assist the neighbour in searching for him,"
5b0a9b13444cef0001ca2b32,8,"he had run away,","as he had taken off,"
5b0a9b13444cef0001ca2b32,9,we found his baseball cap,"we stumbled upon his baseball hat,"
5b0a9b13444cef0001ca2b32,10,and started looking for him.,which led us to initiate our search for him.
5b0a9b13444cef0001ca2b32,11,Eventually we found that he was in his treehouse reading a comic book.,"In the end, we discovered him in his treehouse engrossed in a comic book."
5b0a9b13444cef0001ca2b32,12,After this the police man told me to keep on the low down,"Subsequently, a police officer advised me to stay out of sight,"
5b0a9b13444cef0001ca2b32,13,because the neighbour never forgets a face,"owing to the neighbour's knack for remembering faces,"
5b0a9b13444cef0001ca2b32,14,and she was not happy with me.,and her displeasure with me was evident.
5b3f93fc1388aa0001a80aaf,1,In the neighbourhood I grew up in,Within the community where I was raised
5b3f93fc1388aa0001a80aaf,2,there was a woman named Mrs. Baker,lived a lady known as Mrs. Baker
5b3f93fc1388aa0001a80aaf,3,who had adopted or given homes to 20 or more cats.,who had taken in or found homes for over 20 felines.
5b3f93fc1388aa0001a80aaf,4,She had a grandson,She possessed a grandson
5b3f93fc1388aa0001a80aaf,5,who wanted to befriend me,who was eager to become my friend
5b3f93fc1388aa0001a80aaf,6,but I hadn't noticed.,though it had escaped my notice.
5b3f93fc1388aa0001a80aaf,7,He was nice,He was a kind individual
5b3f93fc1388aa0001a80aaf,8,but he had poor manners.,yet his etiquette was lacking.
5b3f93fc1388aa0001a80aaf,9,Goodness gracious he had poor manners.,"My goodness, his manners were indeed lacking."
5b3f93fc1388aa0001a80aaf,10,One day he had left a note saying he was going to run away.,"Once, he left behind a message indicating his intent to elope."
5b3f93fc1388aa0001a80aaf,11,She came to me in my treehouse,She approached me at my tree fort
5b3f93fc1388aa0001a80aaf,12,"with a big tabby cat in tow,","carrying a large striped cat along,"
5b3f93fc1388aa0001a80aaf,13,and asked me to help find him.,and requested my assistance in locating him.
5b3f93fc1388aa0001a80aaf,14,I said I would help,I agreed to assist
5b3f93fc1388aa0001a80aaf,15,but then she can call the police.,on the condition that afterwards she would contact the authorities.
5b3f93fc1388aa0001a80aaf,16,We went to the quarry,We headed to the stone pit
5b3f93fc1388aa0001a80aaf,17,and traced his steps,following the trail he left
5b3f93fc1388aa0001a80aaf,18,and found his baseball cap,and came across his baseball hat
5b3f93fc1388aa0001a80aaf,19,but then we couldn't trace him.,"yet beyond that, we lost his trail."
5b3f93fc1388aa0001a80aaf,20,We turned around,We circled back
5b3f93fc1388aa0001a80aaf,21,and he was sitting in a tree branch reading a comic.,to find him perched on a tree limb engrossed in a graphic novel.
5b3f93fc1388aa0001a80aaf,22,He hadn't run away.,He hadn't actually fled.
5b3f93fc1388aa0001a80aaf,23,The police officer said I had better be careful,The law enforcement official cautioned me to be vigilant
5b3f93fc1388aa0001a80aaf,24,and lay low,and to keep a low profile
5b3f93fc1388aa0001a80aaf,25,because that woman never forgets anything,since that lady has a memory like an elephant
5b3f93fc1388aa0001a80aaf,26,so I Did lay low.,and so I kept out of sight.
5b3f93fc1388aa0001a80aaf,27,That was the second time.,That incident marked the second occasion.
5bdf514805ba8e0001965d25,1,"Mrs Baker had 20 cats,","Ms. Baker was the caretaker of 20 felines,"
5bdf514805ba8e0001965d25,2,adopted.,all of which were rescued.
5bdf514805ba8e0001965d25,3,Her grandson knew a girl nearby,Her grandchild was acquainted with a local girl
5bdf514805ba8e0001965d25,4,who was a tomboy,who exhibited tomboyish tendencies
5bdf514805ba8e0001965d25,5,but Mrs Baker didn’t like her.,but Ms. Baker did not take a liking to her.
5bdf514805ba8e0001965d25,6,The grandson went missing one day,"One day, the grandson disappeared"
5bdf514805ba8e0001965d25,7,and they went looking for him,prompting a search party for him
5bdf514805ba8e0001965d25,8,but Mrs Baker thought it was her fault.,while Ms. Baker blamed herself for the incident.
5bdf514805ba8e0001965d25,9,They found him up a tree,"Eventually, they discovered him perched in a tree"
5bdf514805ba8e0001965d25,10,reading a comic book.,engrossed in a graphic novel.
5bdf514805ba8e0001965d25,11,His cap was found nearby.,His hat was located in the vicinity.
5bdf514805ba8e0001965d25,12,The police officer told her to stay away from Mrs baker,The constable advised her to maintain distance from Ms. Baker
5bdf514805ba8e0001965d25,13,as she never forgot anything.,since she had a memory that held onto everything.
5bec91e66cb00e00015b8a7b,1,A cat lady,A woman fond of cats
5bec91e66cb00e00015b8a7b,2,"that adopted at least twenty cats,","who had taken in no fewer than twenty felines,"
5bec91e66cb00e00015b8a7b,3,a tom boy lived with her,shared her home with a tomboy
5bec91e66cb00e00015b8a7b,4,and went missing one day,who disappeared one day
5bec91e66cb00e00015b8a7b,5,as he did not like the lady very much.,since he harbored little affection for the woman.
5bec91e66cb00e00015b8a7b,6,The lady with her big tabby cat,The feline enthusiast with her sizable tabby
5bec91e66cb00e00015b8a7b,7,went to the person in the tree house,approached the individual in the arboreal dwelling
5bec91e66cb00e00015b8a7b,8,to get help to find the boy,seeking assistance to locate the young lad
5bec91e66cb00e00015b8a7b,9,they could not find him,yet they were unsuccessful in their search
5bec91e66cb00e00015b8a7b,10,but later that day,"however, as the day progressed"
5bec91e66cb00e00015b8a7b,11,"they found him sitting on the tree branch,","they spotted him perched on a limb of the tree,"
5bec91e66cb00e00015b8a7b,12,later in the evening,towards dusk
5bec91e66cb00e00015b8a7b,13,a officer came by,an officer made an appearance
5bec91e66cb00e00015b8a7b,14,but he had already been found.,though by then he had already been discovered.
5c6ab0ec721d100001a8ff03,1,in the neighbour hood I grew up in,Within the community where I was raised
5c6ab0ec721d100001a8ff03,2,Mrs Baker was the local cat lady.,Mrs. Baker was known as the neighborhood's cat enthusiast.
5c6ab0ec721d100001a8ff03,3,"Her nephew had poor manners,","Her nephew was known for his lack of etiquette,"
5c6ab0ec721d100001a8ff03,4,very poor manners.,extremely bad etiquette.
5c6ab0ec721d100001a8ff03,5,he went missing.,he disappeared.
5c6ab0ec721d100001a8ff03,6,found up a tree reading a comic.,"He was discovered in a tree, engrossed in a graphic novel."
5c6ab0ec721d100001a8ff03,7,"but the local officer told me to lay low for a while,","however, the area's policeman advised me to keep a low profile for some time,"
5c6ab0ec721d100001a8ff03,8,which I did.,and that's exactly what I did.
5c7ceda01d2afc0001f4ad1d,1,"So our protagonist grew up in the same neighbourhood as Mrs. Baker,","Thus, our main character was raised in the same district as Mrs. Baker,"
5c7ceda01d2afc0001f4ad1d,2,"whose grandson had a crush on our heroine,","whose grandson harbored a secret affection for our central female character,"
5c7ceda01d2afc0001f4ad1d,3,but which she was blissfully unaware of at the time.,of which she was completely oblivious at that moment.
5c7ceda01d2afc0001f4ad1d,4,One day Mrs Baker comes to our leading lady because her grandson has run away.,"Eventually, Mrs. Baker approaches our heroine because her grandson has disappeared."
5c7ceda01d2afc0001f4ad1d,5,"So the pair go looking for him to no avail,","Therefore, the duo embarks on a search for him, but their efforts are fruitless,"
5c7ceda01d2afc0001f4ad1d,6,but upon returning to our unnamed narrator's yard they find him sitting in a tree reading a comic book.,"yet when they return to the unnamed storyteller's garden, they discover him perched in a tree engrossed in a graphic novel."
5c7ceda01d2afc0001f4ad1d,7,"All's well that ends well you would think,","One might conclude that everything turned out fine in the end,"
5c7ceda01d2afc0001f4ad1d,8,but Mrs Baker casts blame on the Girl With No Name for some such reason and threatens to call the police.,"however, Mrs. Baker unjustly accuses the Nameless Girl of being at fault for some reason and threatens to involve the authorities."
5c7ceda01d2afc0001f4ad1d,9,"So later an intrepid member of local enforcement arrives and leaves our teller of tales with the dubious legal advice of ""keeping her head low"" for some unfathomable reason,","Later on, a daring local law officer shows up and advises our narrator with the questionable legal counsel to ""stay out of sight"" for reasons that are beyond comprehension,"
5c7ceda01d2afc0001f4ad1d,10,which she inexplicably agrees to do.,"which, for some mysterious reason, she consents to follow."
5c7ceda01d2afc0001f4ad1d,11,This was a chore to read.,Reading this was quite the task.
5cb1fdb11a4c6a0015fdcdf7,1,In my neighbourhood there was a lady,Within my local area resided a woman
5cb1fdb11a4c6a0015fdcdf7,2,who liked cats,who was fond of felines
5cb1fdb11a4c6a0015fdcdf7,3,she had about 20,possessing roughly 20 of them
5cb1fdb11a4c6a0015fdcdf7,4,she had a grandson,she had a young grandson
5cb1fdb11a4c6a0015fdcdf7,5,I used to play with him,whom I often joined in play
5cb1fdb11a4c6a0015fdcdf7,6,one day he ran away,once he decided to flee
5cb1fdb11a4c6a0015fdcdf7,7,as she was nagging him,while she was scolding him
5cb1fdb11a4c6a0015fdcdf7,8,she came to see me,she approached me for assistance
5cb1fdb11a4c6a0015fdcdf7,9,in my treehouse,at my arboreal hideout
5cb1fdb11a4c6a0015fdcdf7,10,with a tabby cat in tow,bringing along a striped cat
5cb1fdb11a4c6a0015fdcdf7,11,we went to find him,together we set out to locate him
5cb1fdb11a4c6a0015fdcdf7,12,the place where he left his baseball cap,to the spot he'd left his baseball hat
5cb1fdb11a4c6a0015fdcdf7,13,but he was sat on a branch,yet he was perched on a limb
5cb1fdb11a4c6a0015fdcdf7,14,the officer came,a police officer arrived
5cb1fdb11a4c6a0015fdcdf7,15,and said he was safe,declaring his safety
5cb1fdb11a4c6a0015fdcdf7,16,and not to tell the old woman,urging us not to inform the elderly lady
5cb1fdb11a4c6a0015fdcdf7,17,that was my second day.,that marked my second day.
5cbc7935dc8a8900017390a2,1,Mrs baker once said.,Mrs. Baker had remarked at one time.
5cbc7935dc8a8900017390a2,2,"I had a friend,","She had a companion,"
5cbc7935dc8a8900017390a2,3,he didn't like his grandmother,who was not fond of his grandmother
5cbc7935dc8a8900017390a2,4,since she kept nagging me.,because she would constantly pester him.
5cbc7935dc8a8900017390a2,5,"well we'll find him,","Rest assured, we'll locate him,"
5cbc7935dc8a8900017390a2,6,and if we don't,"and should we fail to do so,"
5cbc7935dc8a8900017390a2,7,you can - go to the police station.,you're free to - report to the police.
5cbc7935dc8a8900017390a2,8,I was strategizing.,I was devising a plan.
5cbc7935dc8a8900017390a2,9,There was a treehouse club.,A clubhouse existed atop a tree.
5ce059ad3f8060001509faaa,1,Mrs Baker was a cat lady,Mrs. Baker was known for her fondness for felines
5ce059ad3f8060001509faaa,2,who had 20 cats in her time,and had cared for twenty cats over the years
5ce059ad3f8060001509faaa,3,she had a grandson,She was the grandmother to a young boy
