,summary,total,len,rate,keypoints_id
23,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was the resident cat lady.|She had at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy.|He was trying to befriend me.|I didn't like him much.|He had poor manners.|He left a note saying he'd run away.|She came to my treehouse.|I talked her down from calling the police.|We went to look for him.|We found his baseball cap near the old mill.|He hadn't run away and was at the treehouse club.|That resolved it for the day.|Officer Dawson advised me to lay low.|I laid low and stayed out of sight.,246.94,574,0.43,17_3
18,I grew up in a neighborhood with Mrs. Baker.|She had at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy back then.|The grandson tried to befriend me.|I didn't like him much.|He had poor manners.|The grandson left a note to run away.|Mrs. Baker came to my treehouse for help.|I suggested we search before calling the police.|We searched near the old mill for him.|We found his baseball cap but not him.|We returned to the treehouse.|He was in the treehouse with a comic book.|Officer Dawson warned me about Mrs. Baker.|I decided to lay low and stay out of sight.,220.77,580,0.38,16_1
6,"I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker had at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy and he tried to befriend me.|I didn't like him much because of his poor manners.|One day, he left a note saying he'd run away.|Mrs. Baker came to my treehouse with a cat.|I suggested we look for him and maybe call the police.|We searched and found his baseball cap near the old mill.|We returned to find him in the treehouse with a comic book.|The local sheriff advised me to stay out of sight.|I laid low and stayed out of sight after that incident.",225.73,580,0.39,12_1
14,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was known as the resident cat lady.|She had at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson tried to befriend me.|I didn't like him much because of his poor manners.|He left a note saying he would run away.|Mrs. Baker came to my treehouse with a cat.|I suggested we search for him before calling the police.|We found his baseball cap near the old mill.|We returned to the treehouse and he was there.|Officer Dawson advised me to lay low.|I laid low and stayed out of sight.,244.26,583,0.42,14_3
21,I grew up in a neighborhood.|Mrs. Baker was the resident cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson was trying to befriend me.|I didn't take to him much.|He had poor manners.|He left a note saying he'd run away.|Mrs. Baker came to my treehouse.|She brought a big old tabby cat.|I talked her down from calling the police.|We went to find her grandson.|We found his baseball cap near the old mill.|He was in the treehouse club with a comic book.|Officer Dawson warned me to lay low.|I laid low and stayed out of sight.,266.06,601,0.44,17_1
2,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker's young grandson wanted to befriend me.|I didn't like him due to his poor manners.|He left a note saying he would run away because of Mrs. Baker's nagging.|Mrs. Baker came to my treehouse with a big tabby cat.|I convinced her to look for him before calling the police.|We went to the old mill but didn't find him, just his baseball cap.|We returned to the treehouse club and found him there with a comic book.|The situation was resolved that day, but Officer Dawson warned me.|I laid low and stayed out of sight after that warning.",244.52,601,0.41,10_3
16,I grew up in a neighborhood with a resident cat lady.|Mrs. Baker had adopted at least twenty cats.|She had a young grandson.|I was quite the tomboy back then.|The grandson tried to befriend me.|I didn't take to him much.|He was a charming lad but with poor manners.|He left a note saying he would run away.|Mrs. Baker came to my treehouse.|She had a big old tabby cat with her.|I talked her down from worry.|We went to find him near the old mill.|We found his baseball cap but no trace of him.|He was actually in the treehouse with a comic book.|The local sheriff advised me to lay low and stay out of sight.,239.13,608,0.39,15_2
20,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was the neighborhood cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson tried to befriend me.|I didn't take to him much.|He had poor manners that I noticed.|He left a note saying he would run away.|Mrs. Baker came to my treehouse.|I convinced her we should look for him.|We found his baseball cap by the old mill.|We didn’t find a trace of him nearby.|We returned to the treehouse and found him.|He was sitting on a branch with a comic book.|The local sheriff told me to lay low.,230.68,612,0.38,16_3
8,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson who tried to befriend me.|I didn't like him much because of his poor manners.|He left a note saying he would run away due to her nagging about me.|Mrs. Baker came to my treehouse with a cat.|I convinced her to find him before calling the police.|We went to the old mill and found his baseball cap.|He was found in the treehouse with a comic book.|He hadn't actually run away.|Officer Dawson warned me to lay low because Mrs. Baker never forgets.|I laid low and stayed out of sight as advised.",265.47,621,0.43,12_3
24,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was the cat lady.|Mrs. Baker adopted at least twenty cats.|She had a young grandson.|I was a tomboy back then.|Her grandson tried to befriend me.|I didn't take to him much.|He was charming but had poor manners.|He left a note about running away.|He said his grandmother was nagging.|Mrs. Baker came to my treehouse.|I talked her down from worrying.|We planned to search for him together.|We found his baseball cap at the old mill.|We didn't find him immediately.|He was in the treehouse with a comic.|Officer Dawson warned me to lay low.|I laid low and stayed out of sight.,243.92,629,0.39,18_1
34,I grew up in a neighborhood.|Mrs. Baker was the resident cat lady.|Mrs. Baker adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy.|Her grandson tried to befriend me.|I didn't take to him much.|He had poor manners.|He left a note about running away.|Mrs. Baker came to my treehouse.|She brought a big old tabby cat.|I talked her down.|I suggested we look for him.|We went to where his baseball cap was found.|We didn't find a trace and returned.|He was in the treehouse with a comic book.|He hadn't run away.|The issue was resolved for the day.|Officer Dawson warned me.|I laid low and stayed out of sight.|That was the second time.,292.19,665,0.44,21_2
26,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was the resident cat lady.|She adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy back then.|Her grandson tried to befriend me.|I didn't like him much.|He was charming but had poor manners.|He left a note about running away.|Mrs. Baker came to my treehouse with a cat.|I talked Mrs. Baker down.|I advised Mrs. Baker to search for him.|We found his baseball cap near the old mill.|We didn't find any more traces of him.|He was in the treehouse with a comic book.|The situation resolved for that day.|Officer Dawson warned me to stay out of sight.|I stayed out of sight after that warning.,266.08,670,0.4,18_3
15,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker had a young grandson trying to befriend me.|I didn't take to him much due to his poor manners.|He left a note saying he would run away from home.|Mrs. Baker came to my treehouse with a tabby cat.|I talked her down when she was worried about his note.|We went to search for him as I planned.|We found his baseball cap near the old mill.|We couldn't find him after trailing around.|We returned to the treehouse club eventually.|He was sitting on a branch with a comic book.|He hadn't actually run away from home.|The matter resolved itself for that day.|Officer Dawson warned me to stay out of sight.|I laid low and stayed out of sight as advised.",250.4,715,0.35,15_1
32,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was the resident cat lady.|She had at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson was trying to befriend me.|I didn't take to him much at first.|He was charming but had poor manners.|He left a note about running away.|Mrs. Baker came to my treehouse.|She brought a big old tabby cat.|I talked her down about the note.|We planned to find her grandson together.|We went to the old mill area.|We found his baseball cap there.|We didn't find any trace of him initially.|He was in the treehouse with a comic book.|The issue was resolved that day.|Officer Dawson advised me to lay low.|I stayed out of sight as advised.,261.03,724,0.36,20_3
29,I grew up in the neighborhood with Mrs. Baker.|Mrs. Baker was the resident cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy back then.|Her grandson was trying to befriend me.|I didn't catch on to his attempts.|I didn't like him because of his poor manners.|He was charming but had poor manners.|He left a note saying he'd run away.|Mrs. Baker came to my treehouse for help.|She brought an old tabby cat with her.|I convinced her to search for him.|We found his baseball cap by the old mill.|We didn't find any trace of him.|We returned to the treehouse club.|He was sitting on a branch with a comic book.|Officer Dawson advised me to lay low.|I laid low and stayed out of sight.,292.26,725,0.4,19_3
35,I lived in Mrs. Baker's neighborhood.|Mrs. Baker was the resident cat lady.|She had adopted at least twenty cats.|She had a young grandson.|I was quite the tomboy back then.|Her grandson tried to befriend me.|I never caught on to his friendship.|I didn't take to him much.|He was charming until you saw his manners.|He had poor manners.|He left a note about running away.|She came to my treehouse with a tabby cat.|I reassured her we would find him.|We searched near the old mill.|We found his baseball cap.|We couldn't find him at first.|He was actually in the treehouse club.|He was sitting with a comic book.|The issue was resolved for that day.|Officer Dawson advised me to lay low.|I stayed out of sight after that incident.,282.79,729,0.39,21_3
17,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker had at least twenty cats.|She had a young grandson trying to befriend me.|I didn't take to him much due to his poor manners.|He left a note saying he was going to run away.|Mrs. Baker came to my treehouse with a big tabby cat.|I convinced her to search for him before calling the police.|We went to the old mill where his baseball cap was found.|We didn't find a trace of him after trailing a bit more.|He was in the treehouse club reading a comic book.|He hadn't actually run away.|That resolved the situation for the day.|Officer Dawson told me to lay low and stay out of sight.|I followed Dawson's advice to avoid Mrs. Baker.|This was the second time it happened.",269.98,736,0.37,15_3
25,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson tried to befriend me.|I didn't take to him because he had poor manners.|Her grandson had very poor manners.|He left a note saying he would run away.|He said she was always nagging about me.|Mrs. Baker came to my treehouse with a tabby cat.|I talked her down and proposed a plan.|I suggested we find him before calling the police.|We went to where his baseball cap was found.|We trailed a bit more but didn't find any trace.|He was at the treehouse club with a comic book.|He hadn't run away after all.|Officer Dawson advised me to lay low.|I followed his advice and stayed out of sight.",297.31,770,0.39,18_2
27,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was known as the resident cat lady.|Mrs. Baker had adopted at least twenty cats.|She had a young grandson.|I was quite the tomboy back then.|Her grandson was trying to befriend me.|I didn't take to him much.|He was charming but had poor manners.|He left a note saying he was going to run away.|The note said she was nagging about me.|Mrs. Baker came to my treehouse with a cat.|I talked her down from worrying.|I suggested we go find him and call the police if needed.|She took my advice to search for him.|We found his baseball cap near the old mill.|We searched more but didn't find him.|We returned and found him in the treehouse.|Officer Dawson advised me to lay low.|I followed Officer Dawson's advice to stay out of sight.,291.67,784,0.37,19_1
30,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy.|Her grandson was trying to befriend me.|I didn't take to him much.|He had poor manners.|He left a note saying he would run away.|I talked to Mrs. Baker in my treehouse.|I suggested we search for him before calling the police.|We went to find his baseball cap near the old mill.|We didn't find him at the mill.|We returned to the treehouse club.|He was sitting on a branch with a comic book.|He hadn't actually run away.|That resolved the situation for the day.|Officer Dawson warned me about Mrs. Baker's memory.|He advised me to lay low and stay out of sight.|I followed the officer's advice.|That was the second time I had to lay low.",274.85,785,0.35,20_1
19,"I grew up in a neighborhood with Mrs. Baker, the cat lady.|Mrs. Baker adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy and her grandson tried to befriend me.|I didn't like him much due to his poor manners.|One day, he left a note saying he would run away.|Mrs. Baker came to my treehouse with a tabby cat.|I suggested we look for him before calling the police.|We found his baseball cap near the old mill.|We didn't find any trace of him there.|We returned to the treehouse and found him reading a comic.|He hadn't run away, resolving that day's issue.|Officer Dawson warned me about Mrs. Baker's nagging nature.|I decided to lay low and stay out of her sight.|I indeed laid low as advised by Officer Dawson.|This was the second time dealing with such a situation.",279.81,793,0.35,16_2
28,"I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was known as the resident cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|The grandson was trying to befriend me.|I didn't take to him much.|He seemed charming until you saw his manners.|He had poor manners, which was off-putting.|He left a note saying he was going to run away.|Mrs. Baker came to my treehouse looking for help.|I talked her down from panicking.|I suggested we look for him before involving police.|We searched where his baseball cap was found.|We trailed more but found no trace of him.|We returned to the treehouse club.|He was sitting on a branch with a comic book.|Officer Dawson advised me to lay low.|I laid low and stayed out of sight after that incident.",274.3,802,0.34,19_2
31,I grew up in a neighborhood with Mrs. Baker.|Mrs. Baker was known as the resident cat lady.|She had adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was quite the tomboy back then.|Her grandson tried to befriend me.|I didn't notice his attempts to befriend me.|I didn't like him much because of his manners.|He had very poor manners.|He left a note saying he would run away.|He claimed Mrs. Baker nagged him about me.|Mrs. Baker came to my treehouse with a tabby cat.|I convinced her we should search for him.|I advised her about calling the police.|We found his baseball cap near the old mill.|We didn't find him initially.|He was actually at my treehouse reading a comic.|The issue seemed resolved that day.|Sheriff Dawson warned me about Mrs. Baker.|I decided to lay low and stay out of sight.,290.68,812,0.36,20_2
33,I grew up in a neighborhood with Mrs. Baker as the cat lady.|Mrs. Baker adopted at least twenty cats.|Mrs. Baker had a young grandson.|I was a tomboy and didn't take to her grandson much.|Her grandson tried to befriend me.|Her grandson had poor manners.|He left a note saying he would run away.|Mrs. Baker came to my treehouse with a cat.|I talked Mrs. Baker down from worrying.|I suggested we go find her grandson.|We went to the old mill and found his baseball cap.|We didn't find her grandson initially.|We returned to the treehouse club.|Her grandson was sitting on a branch with a comic book.|He hadn't really run away.|The situation was resolved for that day.|Officer Dawson gave me advice that evening.|Officer Dawson told me to lay low and stay out of sight.|I decided to lay low and stay out of sight.|I attempted to avoid Mrs. Baker.|That was the second time I had to stay out of sight.,278.27,896,0.31,21_1
