segment_id,segment_text,p-caught
66,"And we went – she took me, and we went to the police station.",92.38%
67,And they also had police wagons with horses attached to them. Believe it or not in those days.,8.57%
68,"So my mother said, to the captain, “What are you going to do about it?”",44.76%
69,"And he says, “Well lady there's nothing we can do about it.”",72.38%
70,"And she says, “You mean to tell me that I have to live under those circumstances and there's nothing that you can do about it?”",26.67%
71,"She says – he says, “Well uh the only thing I can tell you to do is to move.”",76.19%
72,"He says, “Because” – he said to me, “Did you see anyone?”",27.62%
73,"And I said, “No.”",23.81%
74,"He says, “Well how can – how can you” – to my mother – “how can you do anything if you don't know who – who to put the blame on?”",55.24%
75,"An' he says, “I'm sure there was more than one person.”",21.90%
76,"So my mother said, “Well I don't know what I'm going to do.”",13.33%
77,"She says, “But one thing I know I'm not going to do is move. Because I have no money to move with.”",65.71%
78,"They took all we had to, to pay the rent.",52.38%
79,In that house you had to pay in advance.,20.00%
80,"And she said, “If they didn't want me there they should not have rented the house to me.",26.67%
81,Now the real estate agent should be accountable.”,18.10%
82,"So anyhow, she said to him, “Well I know one thing you can do.”",28.57%
83,"And he says, “What's that?”",12.38%
84,"She says, “You can take me home.”",66.67%
85,"He said, “Take you home?”",15.24%
86,"She said, “Yes in the police patrol.”",85.71%
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”,17.14%
88,And they had never come up with anybody like that.,9.52%
89,So they put us in the police patrol,76.19%
90,and they took us home.,55.24%
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,13.33%
92,"And – course with the horses and the police patrol, and the clang –",56.19%
93,they had a bell that clanged. Clang clang clang –,81.90%
94,you know they told you about the trolley that went “Clang.”,40.00%
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",23.81%
96,And um all the neighbors came running out to see what was happening.,74.29%
97,And of course they saw the man came around the back –,11.43%
98,"I can see it right now – from where he was sitting up front there where the horses came around,",11.43%
99,and opened the door in the back.,13.33%
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,12.38%
101,Well we got out of that police patrol –,38.10%
102,Before the patrol ever left my mother turned,83.81%
103,"and faced all those people that were standing around,",80.00%
104,"and she says, “Why you're doing this to me I don't know.”",48.57%
105,"She says, “I know that I am different from you, color wise,",66.67%
106,"but in every other respect I'm just the same as you are,",70.48%
107,and all I'm trying to do is provide a home for my family.”,40.00%
108,"She told them that they had rented the house,",75.24%
109,"she told them how much money she had paid,",68.57%
110,she had told them that was all the money she had.,44.76%
111,And they had paid that rent for a month.,67.62%
112,She knew she was going to be there for the month.,71.43%
113,She did not know beyond the month.,57.14%
114,Whether they'd have enough money to pay it for the next month.,54.29%
115,But she knew they were going to be there for the month.,69.52%
116,"She said, “It is winter time and it is cold.",44.76%
117,And I cannot afford to be buying windows.”,40.95%
118,"“Now” she said, “Whoever threw the stones I don't know.",30.48%
119,But you can all see what has happened.,28.57%
120,And now I'm telling you that we're going to be here for a month.,40.95%
121,So you might just as well make up your mind to that.,47.62%
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",90.48%
123,Well of course you know they didn't do that.,59.05%
124,They probably didn't have any money either.,16.19%
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",77.14%
126,And the neighbors were as nice as anybody could ever have been.,89.52%
127,When there was trouble they responded just like anyone else.,72.38%
128,But that was our welcoming to the neighborhood.,69.52%
129,And it was terrible,63.81%
130,and it certainly was frightening for me.,26.67%
