segment_id,segment_text,p-caught
105,"She says, “I know that I am different from you, color wise,",18.69%
106,"but in every other respect I'm just the same as you are,",21.50%
107,and all I'm trying to do is provide a home for my family.”,20.56%
108,"She told them that they had rented the house,",43.93%
109,"she told them how much money she had paid,",36.45%
110,she had told them that was all the money she had.,47.66%
111,And they had paid that rent for a month.,49.53%
112,She knew she was going to be there for the month.,27.10%
113,She did not know beyond the month.,26.17%
114,Whether they'd have enough money to pay it for the next month.,27.10%
115,But she knew they were going to be there for the month.,21.50%
116,"She said, “It is winter time and it is cold.",26.17%
117,And I cannot afford to be buying windows.”,14.95%
118,"“Now” she said, “Whoever threw the stones I don't know.",13.08%
119,But you can all see what has happened.,13.08%
120,And now I'm telling you that we're going to be here for a month.,20.56%
121,So you might just as well make up your mind to that.,22.43%
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",43.93%
123,Well of course you know they didn't do that.,0.93%
124,They probably didn't have any money either.,0.93%
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",45.79%
126,And the neighbors were as nice as anybody could ever have been.,26.17%
127,When there was trouble they responded just like anyone else.,18.69%
128,But that was our welcoming to the neighborhood.,7.48%
129,And it was terrible,51.40%
130,and it certainly was frightening for me.,26.17%
