segment_id,segment_text,segment_text_rephrased
79,In that house you had to pay in advance., We had to pay for the house upfront.
80,"And she said, “If they didn't want me there they should not have rented the house to me."," She argued, ""If they didn't want us here, they shouldn't have rented the house to us."
81,Now the real estate agent should be accountable.”," The real estate agent needs to be held responsible."""
82,"So anyhow, she said to him, “Well I know one thing you can do.”"," Then she told him, ""There is something you can do, however."""
83,"And he says, “What's that?”"," He inquired, ""And what might that be?"""
84,"She says, “You can take me home.”"," She demanded, ""You can drive me home."""
85,"He said, “Take you home?”"," He repeated, ""Drive you home?"""
86,"She said, “Yes in the police patrol.”"," She confirmed, ""Yes, in the police patrol wagon."""
87,So – I guess they figured “Let's get this lady out of here because she's talking loud and long.”," It seemed they thought, ""We need to get this outspoken woman out of here."""
88,And they had never come up with anybody like that., They had never encountered someone like her before.
89,So they put us in the police patrol," So they placed us in the police patrol wagon,"
90,and they took us home., and escorted us back to our home.
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved., We were quite close to our old place – perhaps around Fifth Street – not too far from where we had relocated.
92,"And – course with the horses and the police patrol, and the clang –"," With the horses and the police wagon, along with its noise –"
93,they had a bell that clanged. Clang clang clang –, there was a bell that rang out loudly. Ring ring ring –
94,you know they told you about the trolley that went “Clang.”, it reminded you of the trolley's “Ring.”
95,"Well this police patrol that bell they had, it went “Clang clang clang.”"," Similarly, the bell on this police wagon rang “Ring ring ring.”"
96,And um all the neighbors came running out to see what was happening.," Naturally, all the local residents rushed out to see the commotion."
97,And of course they saw the man came around the back –," And indeed, they observed a man circling from the rear –"
98,"I can see it right now – from where he was sitting up front there where the horses came around,"," I vividly remember him sitting at the front, guiding the horses around,"
99,and opened the door in the back., then he swung open the rear door.
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol., This police wagon had a tall rear door that required descending steps to exit.
101,Well we got out of that police patrol –," So, we exited the police wagon –"
102,Before the patrol ever left my mother turned," Before the wagon even departed, my mother turned around"
103,"and faced all those people that were standing around,"," to address the crowd that had gathered,"
104,"and she says, “Why you're doing this to me I don't know.”"," and she declared, “I can't fathom why you're treating us this way.”"
105,"She says, “I know that I am different from you, color wise,"," She continued, “Yes, our skin colors may differ,"
106,"but in every other respect I'm just the same as you are,"," but aside from that, I am no different from any of you,"
107,and all I'm trying to do is provide a home for my family.”, all I want is to provide a safe home for my children.”
108,"She told them that they had rented the house,"," She explained that they had leased the property,"
109,"she told them how much money she had paid,"," disclosed the amount of rent she had paid,"
110,she had told them that was all the money she had., and that it represented all the money they had.
111,And they had paid that rent for a month., They had paid this rent for the entire month.
112,She knew she was going to be there for the month., She was certain they would stay there for that duration.
113,She did not know beyond the month.," Beyond that month, she was unsure."
114,Whether they'd have enough money to pay it for the next month., Whether they could afford the rent for the following month was uncertain.
115,But she knew they were going to be there for the month.," But for now, they were settled for the month."
116,"She said, “It is winter time and it is cold."," She pointed out, “It's winter, and it's bitterly cold."
117,And I cannot afford to be buying windows.”, I simply can't afford to replace windows.”
118,"“Now” she said, “Whoever threw the stones I don't know."," “Now,” she stated, “I don't know who threw those stones."
119,But you can all see what has happened., But it's clear what has been done.
120,And now I'm telling you that we're going to be here for a month., And I want you all to understand that we will be here for the month.”
121,So you might just as well make up your mind to that.," Therefore, you should come to terms with this reality."
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”"," If my presence here is unwelcome, then I suggest you all pool your resources and provide me with the funds to relocate, as I currently lack the means."
123,Well of course you know they didn't do that.," Naturally, they did not comply with this request."
124,They probably didn't have any money either., It's likely they were short on funds themselves.
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick."," Meanwhile, or rather during our time there, my father fell ill."
126,And the neighbors were as nice as anybody could ever have been., The neighbors turned out to be as kind as anyone could hope for.
127,When there was trouble they responded just like anyone else., They came to our aid during times of distress just like anyone would.
128,But that was our welcoming to the neighborhood., That was our introduction to the community.
129,And it was terrible," It was a dreadful experience,"
130,and it certainly was frightening for me., and it was indeed terrifying for me.
