segment_id,segment_text,p-rec,p-caught
91,We weren't far from – from where it was – maybe Fifth street – from where we had moved.,4.76%,30.93%
92,"And – course with the horses and the police patrol, and the clang –",4.76%,37.11%
93,they had a bell that clanged. Clang clang clang –,20.24%,43.30%
94,you know they told you about the trolley that went “Clang.”,0.00%,26.80%
95,"Well this police patrol that bell they had, it went “Clang clang clang.”",5.95%,22.68%
96,And um all the neighbors came running out to see what was happening.,26.19%,52.58%
97,And of course they saw the man came around the back –,2.38%,19.59%
98,"I can see it right now – from where he was sitting up front there where the horses came around,",0.00%,20.62%
99,and opened the door in the back.,3.57%,27.84%
100,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.,3.57%,29.90%
101,Well we got out of that police patrol –,0.00%,24.74%
102,Before the patrol ever left my mother turned,0.00%,59.79%
103,"and faced all those people that were standing around,",2.38%,57.73%
104,"and she says, “Why you're doing this to me I don't know.”",13.10%,51.55%
105,"She says, “I know that I am different from you, color wise,",16.67%,61.86%
106,"but in every other respect I'm just the same as you are,",4.76%,62.89%
107,and all I'm trying to do is provide a home for my family.”,11.90%,47.42%
108,"She told them that they had rented the house,",7.14%,46.39%
109,"she told them how much money she had paid,",3.57%,44.33%
110,she had told them that was all the money she had.,3.57%,53.61%
111,And they had paid that rent for a month.,10.71%,56.70%
112,She knew she was going to be there for the month.,3.57%,53.61%
113,She did not know beyond the month.,1.19%,58.76%
114,Whether they'd have enough money to pay it for the next month.,3.57%,55.67%
115,But she knew they were going to be there for the month.,8.33%,57.73%
116,"She said, “It is winter time and it is cold.",5.95%,46.39%
117,And I cannot afford to be buying windows.”,9.52%,43.30%
118,"“Now” she said, “Whoever threw the stones I don't know.",0.00%,35.05%
119,But you can all see what has happened.,1.19%,35.05%
120,And now I'm telling you that we're going to be here for a month.,7.14%,40.21%
121,So you might just as well make up your mind to that.,16.67%,50.52%
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",25.00%,74.23%
123,Well of course you know they didn't do that.,2.38%,26.80%
124,They probably didn't have any money either.,3.57%,18.56%
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",50.00%,63.92%
126,And the neighbors were as nice as anybody could ever have been.,41.67%,71.13%
127,When there was trouble they responded just like anyone else.,8.33%,58.76%
128,But that was our welcoming to the neighborhood.,5.95%,18.56%
129,And it was terrible,3.57%,17.53%
130,and it certainly was frightening for me.,9.52%,9.28%
