segment_id,pcaught,prec,mbits,segment_text
100,29,3,0.5,And they had a long door in the back where you had to come down steps to get out the back of the – of this police patrol.
101,24,0,-0.25,Well we got out of that police patrol –
102,58,0,-0.86,Before the patrol ever left my mother turned
103,56,2,1.41,"and faced all those people that were standing around,"
104,50,11,-0.84,"and she says, “Why you're doing this to me I don't know.”"
105,60,14,-0.51,"She says, “I know that I am different from you, color wise,"
106,61,4,0.02,"but in every other respect I'm just the same as you are,"
107,46,10,-0.01,and all I'm trying to do is provide a home for my family.”
108,45,6,2.63,"She told them that they had rented the house,"
109,43,3,0.46,"she told them how much money she had paid,"
110,52,3,0.12,she had told them that was all the money she had.
111,55,9,2.57,And they had paid that rent for a month.
112,52,3,1.01,She knew she was going to be there for the month.
113,57,1,-1.15,She did not know beyond the month.
114,54,3,0.35,Whether they'd have enough money to pay it for the next month.
115,56,7,-0.27,But she knew they were going to be there for the month.
116,45,5,1.05,"She said, “It is winter time and it is cold."
117,42,8,-0.1,And I cannot afford to be buying windows.”
118,34,0,-0.72,"“Now” she said, “Whoever threw the stones I don't know."
119,34,1,-0.21,But you can all see what has happened.
120,39,6,1.01,And now I'm telling you that we're going to be here for a month.
121,49,14,-1.19,So you might just as well make up your mind to that.
122,72,21,1.61,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”"
123,26,2,-1.06,Well of course you know they didn't do that.
124,18,3,0.95,They probably didn't have any money either.
125,62,42,4.2,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick."
126,69,35,2.6,And the neighbors were as nice as anybody could ever have been.
127,57,7,0.23,When there was trouble they responded just like anyone else.
128,18,5,0.01,But that was our welcoming to the neighborhood.
129,17,3,-0.57,And it was terrible
130,9,8,-0.34,and it certainly was frightening for me.
