segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
98,and he made for me.,18,49,1,20,-17,-29
99,"Well there was nothing for me to do but run,",19,89,1,100,-18,11
100,"and I turned around,",3,78,0,90,-3,12
101,"I ran as hard as I could go,",20,81,0,80,-20,-1
102,"and I thought I used to be pretty fast,",2,68,0,70,-2,2
103,"but that old bear,",4,70,0,80,-4,10
104,"man he was gaining,",7,72,0,80,-7,8
105,he was just right on my heels ...,3,62,0,80,-3,18
106,And when I got within sight of that cabin,14,84,0,100,-14,16
107,"I started yelling “OPEN THE DOOR, OPEN THE DOOR!”",52,87,0,70,-52,-17
108,"Man I was whipping down there just as hard as I could go,",2,52,0,60,-2,8
109,"and that old bear right on my tail,",8,48,2,60,-6,12
110,"and they opened the door,",22,72,0,60,-22,-12
111,"and I got right to the cabin door,",4,66,0,60,-4,-6
112,"I made a quick turn to the left,",19,74,0,90,-19,16
113,and that old bear went right on in.,42,79,7,100,-35,21
114,"I just reached back,",1,62,0,90,-1,28
115,"and pulled the door shut,",20,66,2,90,-18,24
116,"and said “THERE HE IS FELLOWS,",33,78,3,90,-30,12
117,"YOU SKIN HIM,",26,74,5,100,-21,26
118,I'LL GO GET ANOTHER ONE!”,21,55,2,70,-19,15
119,"Now all this happened thirty years ago,",30,55,7,80,-23,25
120,and all my buddies agreed ... that I lived up to my commitment.,15,59,1,70,-14,11
121,"But can you BELIEVE,",10,60,0,80,-10,20
122,they haven't asked me to go hunting one time since that day.,61,73,9,90,-52,17
