recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-12,6,"[46, 47, 48]",3,95,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-12,7,"[80, 83, 84, 88, 89, 90, 91, 92, 93, 94, 95]",11,95,The narrator encountered a large bear but forgot to load his gun.
gpt4-13,1,"[2, 3]",2,105,"The story is set in 1949, starting with college."
gpt4-13,2,"[1, 5, 6, 10, 11]",5,105,The narrator and three others became friends in college.
gpt4-13,3,"[7, 8]",2,105,They were acquainted in high school as athletes at different schools.
gpt4-13,4,"[4, 6, 9, 10]",4,105,They enrolled in the same college after graduation.
gpt4-13,5,"[40, 41, 42, 43, 44, 45]",6,105,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-13,6,"[46, 47, 48]",3,105,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-13,7,"[80, 83, 86, 88, 89, 90, 92, 93, 94, 97, 99, 100, 101, 104]",14,105,The narrator was chased by the bear after failing to shoot it.
gpt4-14,1,"[2, 3]",2,118,"The story is set in 1949, starting with college."
gpt4-14,2,"[1, 5, 6, 10, 11]",5,118,The narrator and three others became friends in college.
gpt4-14,3,"[7, 8]",2,118,They were acquainted in high school as athletes at different schools.
gpt4-14,4,"[4, 6, 9, 10]",4,118,They enrolled in the same college after graduation.
gpt4-14,5,"[40, 41, 42, 43, 44, 45]",6,118,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-14,6,"[46, 47, 48]",3,118,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-14,7,"[80, 83, 106, 107, 110, 112, 113, 114, 116]",9,118,The narrator lured the bear into the cabin and trapped it inside.
gpt4-15,1,"[2, 3]",2,122,"The story is set in 1949, starting with college."
gpt4-15,2,"[1, 5, 6, 10, 11]",5,122,The narrator and three others became friends in college.
gpt4-15,3,"[7, 8]",2,122,They were acquainted in high school as athletes at different schools.
gpt4-15,4,"[4, 6, 9, 10]",4,122,They enrolled in the same college after graduation.
gpt4-15,5,"[40, 41, 42, 43, 44, 45]",6,122,The group flew from Fort Wayne to Canada and paddled canoes deep into the north woods.
gpt4-15,6,"[46, 47, 48]",3,122,"After canoeing, they backpacked to a rented cabin in the remote woods."
gpt4-15,7,"[120, 121, 122]",3,122,The narrator's friends acknowledged his commitment but never invited him hunting again.
