segment_id,segment_text,p-caught
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",85.98%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",50.47%
69,"“Yes,” she said, “come on in.”",45.79%
70,"So, I went into the room.",47.66%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,71.03%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",86.92%
73,It came – just poured from her –,45.79%
74,"I said, “What did you do, kill my daughter?",91.59%
75,You killed her! You killed her!”,86.92%
76,That’s what I kept yelling.,56.07%
77,"And the doctor rushed in,",40.19%
78,"see, they were trying to get the doctor, you know.",30.84%
79,She was a lady doctor.,45.79%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",48.60%
81,She was a lady doctor.,53.27%
82,"So, she came in and she said –",28.04%
83,"I said, “You killed my daughter – what did you do to her?”",73.83%
84,"She said, “We don’t know what happened, Mrs. Costa.”",74.77%
85,She took me away from the bed.,25.23%
86,"The nurse said to me, “Talk to her.”",43.93%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",30.84%
88,And I was screaming.,75.70%
89,My hair was all pulled out.,64.49%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",75.70%
91,"Beautiful girl, you can see from her picture.",41.12%
92,"And just as I turned my back, my daughter passed away.",80.37%
93,She was getting ready to go home.,53.27%
94,I had the clothes and everything ready.,45.79%
95,My husband was waiting for her.,71.96%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",60.75%
97,“When is the mother coming?”,40.19%
98,The hospital kept calling.,73.83%
99,The people in the office didn’t know what had happened yet.,70.09%
100,"They kept calling the store, trying to reach us.",74.77%
101,"They asked, “When is the mother coming to pick up Marie?",65.42%
102,She’s discharged.”,45.79%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",53.27%
104,So they came back to the hospital to look for us.,44.86%
105,"Rita said, “Gee, that’s strange,”",52.34%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",53.27%
107,"You know, I’ve always had a bad heart.",44.86%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",58.88%
109,"So she came over with my son-in-law, in the car.",66.36%
110,"And I was in the main hallway, at the office.",57.94%
111,I was all pulled apart.,55.14%
112,One doctor wanted to give me a shot.,64.49%
113,"I said, “Get out of here,",64.49%
114,"I’ll kick you,” I said.",68.22%
115,"“You killed my daughter, now you want to kill me?”",60.75%
116,Another nurse came over.,46.73%
117,"See, they all knew me.",42.06%
118,"I had three operations in no time, not even a year.",42.06%
119,And I knew all the nurses.,42.99%
120,"“Mrs. Costa, please, take –”",60.75%
121,"“Get out!” I said, “Don’t you dare come near me.”",63.55%
122,I was so hysterical.,71.03%
123,I was banging my head against the wall and everything.,73.83%
124,They had to grab me.,57.94%
125,"Then they brought me to the office, see.",37.38%
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",71.03%
127,"I said, “We lost Marie.",64.49%
128,Marie died.”,71.96%
129,"Well, that’s this one. This is a picture of Rita.",35.51%
130,She went down like lightning.,82.24%
131,"Dropped to the floor, and that’s a marble floor.",77.57%
132,She went down like lightning.,42.99%
133,"And the back of her leg, it felt just like a pole.",58.88%
134,"Hard like a pole, the back of her leg.",50.47%
135,And that girl is suffering.,52.34%
136,"Thirty – no, twenty-eight years since her sister died?",51.40%
137,"When she gets that pain, it’s like she has phlebitis from it.",74.77%
138,"She suffers – seven, eight, nine weeks at a time.",71.96%
139,"She can’t walk, she goes through such pain since then.",61.68%
140,And how did they figure how Marie died?,33.64%
141,"The girl who was walking with Marie,",39.25%
142,told the doctor that Marie was saying goodbye to Arlene.,60.75%
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",69.16%
144,And then Marie collapsed.,54.21%
145,"Later, they said it was a blood clot.",86.92%
146,"I said, “Don’t you dare touch my daughter.",79.44%
147,I’ll burn this hospital down!,72.90%
148,I don’t care who’s in it.”,65.42%
149,"I said, “Don’t you dare touch my daughter.",75.70%
150,You want to find out what she died from.”,76.64%
151,"But if you touch my daughter, I’ll kill you.”",72.90%
152,I wouldn’t let them touch her.,78.50%
153,So when I got home – they took me home.,56.07%
154,I was screaming in the car.,65.42%
155,"I couldn’t get out, you know, I couldn’t –",55.14%
156,I was screaming!,64.49%
157,"Everybody came out, coming out of their doors because they could hear the screams.",68.22%
158,My husband was sitting on the step.,41.12%
159,"He asked, “What’s the matter? What happened to you?”",37.38%
160,"Well, my hair was all pulled, and my face – I was a mess.",32.71%
161,I didn’t know what I had done to myself.,31.78%
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",74.77%
163,My husband had a heart attack.,95.33%
164,"Yes, he had a heart attack.",73.83%
165,"Then my son, Michael, yeah. That night.",81.31%
166,"Right there, my Michael came, and my Michael collapsed.",93.46%
167,"He had a heart attack too, no kidding.",74.77%
168,"It was all – my two sisters were here, waiting until about half-past four.",66.36%
169,"They waited because they knew she was coming home that day, waiting for the call.",59.81%
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",65.42%
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",46.73%
172,"I said, “All right.”",36.45%
173,"So, I got home and called everybody, told them what happened.",60.75%
174,I called my brother-in-law.,56.07%
175,He was an undertaker.,48.60%
176,My sister’s husband – he’s passed away now too. God rest his soul.,46.73%
177,Maybe you know him...,39.25%
178,"So they were waiting for my call, you know,",45.79%
179,"but instead, I sent my son James, he was little then.",70.09%
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",69.16%
181,"They had cleaned the pavement,",57.94%
182,"and done the cement work, and they were cleaning the pavement.",56.07%
183,"They said, “Here comes little Jamie,” and now they said,",56.07%
184,“Maybe he’s come to tell us Marie’s home.”,57.94%
185,"But when he got there, the poor kid’s eyes were all red.",63.55%
186,"They said, “James, what’s the matter, honey?",59.81%
187,Why are you crying?”,61.68%
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",68.22%
189,"Well, my sisters and my mother, you know, they were all alive.",49.53%
190,It was a shock to everybody. That was a shock that –,80.37%
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",83.18%
192,"She was a real quiet girl, pleasant, didn’t talk much,",74.77%
193,"but she was so good, I can’t even tell you.",72.90%
194,That’s all. So that’s what happened.,34.58%
