segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
69,"And as soon as he sees me get out of the car and walk over there to the police car,",10.0,33.68,40.0,50.0,30.0,16.32
70,the guy stops way far away from the intersection.,26.67,51.58,70.0,90.0,43.33,38.42
71,"He stops,",13.33,22.11,60.0,30.0,46.67,7.89
72,"and he throws his car into reverse,",40.0,72.63,90.0,100.0,50.0,27.37
73,and starts backing up.,28.89,64.21,60.0,90.0,31.11,25.79
74,"When the cops went down there to check him out,",11.11,56.84,20.0,80.0,8.89,23.16
75,he starts backing up going backwards down that road.,13.33,53.68,70.0,60.0,56.67,6.32
76,"Pretty soon they catch up with him,",5.56,51.58,10.0,90.0,4.44,38.42
77,"and he starts forward again,",23.33,60.0,10.0,70.0,-13.33,10.0
78,"and they make a U­-turn in the road and start following him,",31.11,70.53,60.0,80.0,28.89,9.47
79,and he's just driving real slow and careful.,34.44,61.05,50.0,60.0,15.56,-1.05
80,Ha ha it's pretty comical...,17.78,34.74,20.0,60.0,2.22,25.26
81,I don't know if they ever stopped him or not.,37.78,55.79,90.0,100.0,52.22,44.21
