segment_id,segment_text,p-caught
111,And they had paid that rent for a month.,41.28%
112,She knew she was going to be there for the month.,37.61%
113,She did not know beyond the month.,37.61%
114,Whether they'd have enough money to pay it for the next month.,35.78%
115,But she knew they were going to be there for the month.,32.11%
116,"She said, “It is winter time and it is cold.",28.44%
117,And I cannot afford to be buying windows.”,28.44%
118,"“Now” she said, “Whoever threw the stones I don't know.",26.61%
119,But you can all see what has happened.,26.61%
120,And now I'm telling you that we're going to be here for a month.,27.52%
121,So you might just as well make up your mind to that.,35.78%
122,"If you don't want me here then you people get together and give me enough money to move somewhere else, because I do not have it.”",45.87%
123,Well of course you know they didn't do that.,2.75%
124,They probably didn't have any money either.,3.67%
125,"So in the meantime – not in the meantime but during, during the period of time that we were there, my father became sick.",98.17%
126,And the neighbors were as nice as anybody could ever have been.,100.00%
127,When there was trouble they responded just like anyone else.,42.20%
128,But that was our welcoming to the neighborhood.,31.19%
129,And it was terrible,91.74%
130,and it certainly was frightening for me.,59.63%
