recall_id,clauses_original,len_original,c_original,n_original,clauses_again,len_again,c_again,n_again
611f672bc947518ca8b25524,"1. The story teller's daughter was in hospital for some time
2. and was visited by her mum.
3. During this time actions possibly led to a blood clot
4. which maybe could have been avoided.
5. The storyteller appears confused like dementia or something.
6. She goes to pick her daughter up on the day she is being discharged
7. and on that day her daughter dies.
8. She has a panic attack at the hospital
9. and does not trust the hospital staff.
10. When she gets home
11. her husband who was waiting on the steps has a heart attack.
12. I then found the story pretty confusing and hard to understand
13. but there was a son who went to his aunts
14. and told them Marie had died
15. and an undertaker involved.",659,15,184,"1. It was quite disjointed the story
2. but I remember a lady was in hospital
3. and her mother was coming to visit her in hospital.
4. The lady got quite poorly
5. but was still seemingly ready for discharge.
6. She was discharged
7. and her mother went to collect her to bring her home.
8. On the day of collection she became very ill
9. and ended up dying.
10. The mother blamed the hospital's actions
11. and the hospital took the mother home.
12. When she got home various family members became involved.
13. Her son went to the aunts
14. and they thought he was coming to tell them the daughter was gone
15. but instead he told them she has passed.
16. There was an older brother and an undertaker
17. but it was very confusing
18. and that’s all I can recall!",702,18,191
56d56e550b5634000bdc5703,"1. A girl went into hospital
2. and was sick,
3. the doctors thought she would be fine
4. and they told her mother
5. that she could come pick her up,
6. she came to pick her up
7. but when she got there
8. her daughter was sweating a lot
9. and nurses didn't know what the matter was,
10. the mother was very angry
11. and argued with nurses.
12. Then they told her
13. that her daughter had passed away.
14. She wanted answers,
15. but did not get any.
16. Then she went home
17. and when she told her husband
18. he had a heart attack
19. and then she told her son
20. and he had a heart attack,
21. then a little boy told some people
22. and they were all upset
23. and shocked by the news.
24. Then her other daughter was told about the news
25. and she fell to the floor
26. and then later doctors told them
27. it was a blood clot.",744,27,43,"1. There was a lady in the hospital,
2. she was ill
3. and the mother kept going to see her,
4. they didn't want to believe that she was really ill.
5. The mother blamed herself,
6. and was angry with medical staff.
7. Later they found out her daughter in the hospital had died,
8. the mother blamed the hospital
9. and would not believe the news.
10. The woman went and told her husband
11. and when she told him,
12. he had a heart attack,
13. and then she told their son
14. and he had a heart attack as well.
15. There was a young boy
16. and he found out about the news
17. and told a lot of people about it,
18. they were all very upset
19. and couldn't believe that she had gone.",623,19,176
595e33a3558c93000171cd21,"1. A girl called Marie was in hospital with appendicitis.
2. On the 30th of the month, she had an operation.
3. She was recovering.
4. She started sweating huge amounts.
5. She fainted.
6. She died.
7. The mum was hysterical.
8. The mum kept screaming.
9. They hadn't told the office staff of the hospital.
10. So they phoned everyone.
11. They said Marie was discharged.
12. They said Marie could be picked up.
13. The other daughter thought it was strange.
14. The mum should be there.
15. So she went to the hospital.
16. She found the mum.
17. She found out Marie had died.
18. The dad was waiting on the doorstep.
19. He was waiting for everyone to come home.
20. He had finished gardening.
21. The sister went home.
22. She told two men.
23. She told them that Marie had died.
24. They ended up having heart attacks.
25. Before that, the sister fell over.
26. She fell over after hearing the news.
27. The news was that her sister had died.
28. She hurt her leg so badly.
29. It felt like it had a metal pole in it.
30. Marie's aunts were waiting by the phone.
31. They wanted to hear how Marie was.
32. They wanted to know if she was home.
33. But nobody had phones.
34. So they couldn't phone her.
35. One of them wanted to give Marie an orange.
36. Because they didn't have phones.
37. They sent Marie's brother round.
38. He was a young boy.
39. He had been crying.
40. He told them Marie had died.",1140,40,51,"1. There was a lady called Marie who died.
2. There was a lot of confusion about her coming home.
3. There were phone calls saying she had been discharged.
4. However, she fainted.
5. Unfortunately, she died.
6. The mother blamed the doctors for killing her.
7. She was hysterical.
8. There were two aunts that were waiting by the phone.
9. One wanted to give Marie an orange.
10. They didn't know she had died.
11. So a small boy went round to tell them.
12. There were a couple of people who had heart attacks after hearing the news.
13. The dad was waiting on the doorstep.
14. Waiting for her to come home.
15. The sister fell over.
16. And hurt her leg.
17. And felt like there was a metal pole in it.
18. Poor Marie was meant to be having a routine operation.
19. But things went wrong.",721,19,109
6742677ecc26fc2d7868aa9b,"1. Mrs Costa recalls the story
2. of how her daughter Marie died
3. 28 years ago
4. on the 30th of March.
5. Marie was in the hospital
6. for an appendicitis removal operation.
7. Mrs Costa got a call
8. from the hospital
9. telling her to pick Marie up.
10. Everyone in the family was excited
11. to welcome her home.
12. When Mrs Costa got to the hospital,
13. the nurses were running to Marie.
14. Mrs Costa went into the room
15. and Marie was sweating a lot
16. then she passed away.
17. Rita, her other daughter, came to the hospital
18. after hearing no news.
19. When she heard about her sister's death
20. she fell
21. and got a lifelong pain in her leg.
22. When they got home
23. and broke the news,
24. both Mr Costa and their son Michael
25. had a heart attack.",683,25,48,"1. A woman is telling a story
2. of how her daughter died
3. around 30 years ago.
4. Her daughter went to the hospital
5. to remove her appendix.
6. On the day she was supposed to pick her daughter up,
7. she got a call
8. and went to the hospital.
9. There,
10. she saw a nurse rushing
11. to her dying daughter
12. who was covered in sweat.
13. That was how she died.
14. Her other daughter fainted
15. and hurt her leg for life
16. when she went to the hospital
17. to check on her mother
18. who hadn't returned.
19. Her husband got a heart attack
20. when he heard the news.",509,20,37
66592dfcb3c1b6f73d81495c,"1. A mother was distraught trying to recall the story of her daughter, Marie, dying many years ago.
2. It was April 30 and Marie was being discharged from the hospital.
3. Mrs Rita, the mother, did not have a phone,
4. so she would make and receive calls from the store in town.
5. She had received a call to come pick her daughter up from the hospital.
6. She made coffee for Marie so she would have comfort when she came home.
7. She went down to the hospital
8. and saw there was a chair next to her daughter's bed.
9. Mrs Rita asked what the chair was for
10. and was told her daughter needed to get up because she was being discharged.
11. The mother tried to remind the staff that her daughter had fainting spells.
12. The doctor's assistant said it was ok.
13. As Mrs Rita was taking her daughter out of the hospital,
14. Marie collapsed, grabbing the back of her leg.
15. Mrs Rita was distraught
16. and started screaming at the staff that they had killed her daughter.
17. Mrs Rita got a ride home,
18. screaming the whole way.
19. When she got home she told everyone that her daughter died.
20. When finding out their daughter had died, the husband had a heart attack,
21. as well as Mrs Rita's brother.
22. Mrs Rita sent their young boy to tell his aunts about Marie's death,
23. and he was crying and red-eyed when he told them.",1255,23,156,"1. An older woman is recalling her daughter's hospital stay in April of some year.
2. Her daughter is in the hospital,
3. and the doctors want the daughter to stand and go sit in a chair.
4. The old woman gets a phone call from the drug store in town,
5. because the lady does not have a phone.
6. The old woman preps by making coffee for her daughter for when she gets back.
7. The woman gets a ride to the hospital
8. and goes to her daughter's hospital room.
9. Her daughter is not there,
10. but returns eventually with a nurse.
11. As the lady and her daughter are leaving the hospital,
12. the girl collapses.
13. She ends up not surviving
14. and the mother yells and cries that the doctors killed her daughter.
15. Eventually the staff calms the woman
16. and sends her home.
17. When she gets home and tells her husband,
18. the husband has a heart attack.
19. The woman sends her son to go get his aunts,
20. one of which is named Jenny.",877,20,81
58462977d2be990001174ae3,"1. Marie went to the hospital for appendicitis.
2. While recovering, she was forced out of bed,
3. and she died a few days later
4. when her mother came to pick her up.
5. Her mother told the story of preparing to go to the hospital,
6. and the people who were in the family who expected Marie to be released.
7. The mother went into a fit of rage after her daughter's death
8. and threatened the staff,
9. who she knew.
10. The end of the story tells of her sending her young son to tell his aunts the news,
11. and the mother calling family members to tell them of Marie's passing.",547,11,155,"1. A mother is telling the story
2. of how, many years ago,
3. one of her daughters died
4. after going to the hospital for appendicitis.
5. The daughter was moved
6. and forced to get out of bed prematurely,
7. and the girl died from a blood clot soon after.
8. The mother arrived at the hospital
9. to pick her up to go home
10. and found she had passed.
11. The mother reacted furiously,
12. yelling at the staff
13. and hurting herself.
14. She accused the hospital of being negligent
15. and killing her daughter,
16. and refused treatment.
17. The bulk of the remaining story is how
18. other members of the family found out the news
19. and how they reacted.
20. The young son told two aunts,
21. and the younger daughter informed some other family members.",689,21,88
676abc56272363fc9a095d5d,"1. It started with Marie getting an operation 10 days before the 30th of April (so the 20th).
2. Her sister and mum visited in between.
3. She was having fainting spells.
4. Her doctors said she was under ether (which was bed rest I think).
5. Anyways there was a chair next to the bed.
6. The nurse could move Marie.
7. But instead she fainted.
8. Everyone left Marie.
9. They went home to prepare for her coming back.
10. They made food.
11. They put a pot of coffee on the table.
12. They asked to bring cake from the bakers.
13. The dad came home after a long shift.
14. His wife was gone as she went to pick Marie up from the hospital.
15. When the mum got to the hospital.
16. The nurses asked for a doctor.
17. Then Marie passed away.
18. The mum was riddled with sadness and anger.
19. The doctor tried to give her a shot.
20. But failed.
21. Everyone kept asking for the woman.
22. They heard she was being released from the hospital.
23. They didn't know she had already died.
24. The dad waited on the step.
25. He had a shower.
26. His daughter.
27. When his wife returned.
28. She told him the news.
29. He had a heart attack.
30. So did his brother.
31. Then they got their son James.
32. To tell the aunties that Marie was dead.",1145,32,45,"1. It was about a girl
2. who was sick
3. and would faint.
4. I think her name might have been Maria
5. and she basically was told to stand by other nurses
6. even though she was on bed rest
7. she tried
8. and fell.
9. On the day she was meant to return home
10. the mother made the sister prepare a meal
11. and the dad had a shave and shower.
12. She went to pick up her daughter
13. and found out she had died.
14. Then when she went home
15. there was an ordeal of some sorts.
16. The father heard the news
17. and had a heart attack.
18. The mother sent her youngest son
19. (the name might have been Jack)
20. and he ran to tell the aunt
21. that Maria had died
22. and he was crying.",612,22,112
66a2812744e8026f80ef0879,"1. It sounded like a rambling oral account of the death of the narrator's daughter many years ago (30 or so).
2. The daughter was in the hospital.
3. She was being discharged.
4. She collapsed.
5. She died of a blood clot.
6. This happened when the mother was in the hospital.
7. The mother was trying to bring her home.
8. Some chaos ensued after this.
9. The woman's older daughter fell over.
10. She suffered a leg injury.
11. Then two other family members had heart attacks.
12. They heard the news.
13. Somebody bought a large orange for Marie (the daughter who died).
14. There was an office or workplace mentioned.
15. An undertaker and young boy were mentioned.
16. The state of the street was mentioned.
17. Apparently, Marie was looking forward to drinking coffee when she got home.
18. Someone had prepared coffee.
19. Someone bought some baked goods.
20. The mother was very angry with the hospital staff.
21. She accused them of killing her daughter.
22. She also threatened the staff.
23. The daughter was walking with someone else.
24. She collapsed.",966,24,133,"1. I remember that there was a woman who was very angry.
2. Her daughter was in the hospital
3. and was supposed to be released,
4. but she had a blood clot in her leg (?)
5. and died from it
6. while the mother was in the hospital waiting for her to be released.
7. There was a store involved
8. and maybe some coffee that the daughter was hoping to drink
9. and a pastry.
10. I think they bought a pastry
11. and made some coffee for the daughter
12. and had them at home for her,
13. but she never had a chance to enjoy them.
14. The woman was very mad at the doctor and the nurse(s).
15. The husband was sitting on the front porch
16. waiting for his wife and daughter to return from the hospital.
17. I think there might have been another daughter in the story,
18. but I don't remember anything about her.
19. There was some mention of street repairs or something like that,
20. but I'm not sure if that made any sense even when I read it initially.
21. The story was a bit of a ramble (like this)
22. and not so easy to process.",956,22,189
68bee2290db3ddc555097eb6,"1. Mary Costa's daughter, Marie, died almost thirty years ago on April 30 at the age of 18.
2. Marie had been in the hospital for appendicitis.
3. Marie's condition was not good.
4. On a visit to the hospital, Marie's sister witnessed Marie collapsing after the doctor had given instructions to get out of bed.
5. It was a blood clot.
6. Because Mary didn't have a phone, she had been waiting for word from the general store on Marie's status.
7. Finally, she got the word that Marie was ready to be picked up to go home.
8. On the day she was discharged, Mary had her other daughter Rita prepare a big pot of coffee so Marie could have the first cup like usual.
9. Mary walked to the hospital with a dress, coat, and girdle.
10. When Mary arrived, Marie was busy saying goodbye to all her hospital friends.
11. Suddenly, Marie collapsed and turned pale.
12. Mary knew instantly that Marie was dying.
13. Mary began to devolve into hysteria, screaming at the hospital staff for killing her daughter.
14. Meanwhile, back home, the rest of the neighbors and family were wondering why they hadn't heard from Marie.
15. Rita and her husband went to go investigate.
16. When Rita arrived at the hospital, she found out what happened, and her leg went stiff, causing her to collapse as well.
17. She eventually developed a chronic leg condition that would last for months at a time.
18. The symptoms were eerily similar to the symptoms experienced by Mary before Mary died suddenly.
19. Meanwhile, hospital staff were trying to contain Marie but she was putting up a fight.
20. Finally, Marie went home and broke the news to her husband.
21. He proceeded to have a heart attack.
22. Later that night, Marie's son also had a heart attack.
23. Family and friends slowly became aware of Marie's death.",1709,23,163,"1. Mary recalls the death of her daughter, Maria.
2. It all began when Maria was ill in the hospital with appendicitis;
3. her name was Maria.
4. Maria collapsed when her sister Rita was visiting her,
5. so there was uncertainty around her condition.
6. However, a week later, Mary was called to pick Maria up from the hospital.
7. Mary prepared Maria's favorite coffee and brought her dress and garter to the hospital.
8. When she arrived at the hospital, Maria was saying goodbye to her hospital friends.
9. Suddenly, Maria collapsed.
10. It became clear that the situation was dire.
11. When Mary realized that Maria was not going to make it,
12. she grew hysterical and blamed the hospital staff for murdering her daughter.
13. Meanwhile, back home, Rita and Mary's husband were wondering why Mary had not returned yet.
14. Rita and her husband decided to drive to the hospital to see what was going on.
15. When Rita arrived at the hospital, Mary informed her that Maria had died.
16. Rita's leg grew weak, and she collapsed,
17. developing a chronic leg condition that would persist for the rest of her life.
18. When Mary was finally released from the hospital,
19. she broke the news to her husband,
20. who then had a heart attack.
21. Mary's son also had a heart attack upon hearing the news.
22. Soon, neighbors and family were informed of what happened
23. and began to gather for the funeral.",1323,23,66
672135003f5e272c889620ea,"1. The story started with Mary telling us how long it has been since she lost her daughter.
2. She also had a daughter who was in the hospital (Marie).
3. Marie's sister went to check on her.
4. She felt uncomfortable that there was a chair there.
5. So she asked why it was there.
6. The nurse told her that they'll need to carry her from the bed.
7. Later Victoria told their mom about what happened in the hospital.
8. They were looking forward to Marie's return home.
9. Mary's husband was also waiting for her return.
10. The hospital called Mary.
11. They asked her to come pick Marie up.
12. She was discharged.
13. While she was waiting, she was praying for a woman she saw in the hospital.
14. The woman was about to have an operation.
15. She already told her sisters that she would call them when she goes to get Marie.
16. So her sister got a big orange awaiting Marie's return.
17. Something happened to Marie.
18. There was a nurse and a nurse aide.
19. They called the doctor.
20. They asked Mary to speak to the doctor.
21. She was wondering what she was supposed to tell the doctor when her daughter is lying there dying.
22. Mary's daughter died.
23. She was crying.
24. They wanted to drug her so she could calm down.
25. But she threatened to kick the doctor.
26. They drove her home.
27. She was screaming.
28. Her neighbours came out because of the scream.
29. Her husband also came out.
30. He asked what happened.
31. He heard the news.
32. He got a heart attack.
33. His son Michael also got a heart attack.
34. Her little boy was sent to tell his aunt's (Mary's sisters) about the news.",1506,34,180,"1. A woman called Ann had a daughter
2. who was hospitalised.
3. Her eldest daughter went to check on her
4. and noticed some things she felt uncomfortable with.
5. She went back home
6. and updated them about the condition.
7. Later, the hospital called
8. and asked Ann to come pick up her daughter.
9. Already she informed her sisters and her husband,
10. her sisters were waiting for their niece's return with a big orange.
11. Ann got to the hospital
12. and saw a woman who was supposed to undergo a surgery
13. and was silently praying for her.
14. She was later informed that her daughter was dead
15. and she cried.
16. They drove her home
17. with her screaming and crying in the van
18. their neighbours came out wondering what had happened.
19. Her husband came out
20. and heard the disheartening news
21. and also told his son.
22. Their youngest son was asked to go tell their aunts the news
23. and that was how it ended.",855,23,160
5ba104967b196f00019640a1,"1. An 18-year-old girl called Marie Costa collapsed at home on the 20th of April
2. and was taken to hospital for an operation,
3. she was put under using ether.
4. The next day her sister went to see her
5. and they were trying to move her to a chair.
6. She was still under ether
7. and was unable to sit
8. so she collapsed
9. and was put to bed again.
10. The mother was waiting for a call to go pick her up 10 days later on the 30th April.
11. The mother told her younger daughter to keep cooking
12. so she could go pick up Marie from the hospital,
13. told her to put some coffee on
14. and get a cake.
15. The mother went down to the hospital
16. but there was a panic
17. and the daughter had taken a turn for the worst,
18. the nurses were calling for a lady doctor to come see Marie,
19. Marie was suffering from cold sweats
20. and sadly died shortly after.
21. The mother went hysterical
22. and was accusing the nurses and doctor that they had killed her daughter from a blood clot,
23. she was screaming
24. and banging her head against the wall.
25. Rita, the younger daughter, went down to see what was happening
26. and found her mother being hysterical
27. and asked what happened.
28. When she was told Marie had died
29. she collapsed to the floor like lightning.
30. The father was waiting at home after returning from work
31. and after a wash and shave
32. and was on the front porch waiting.
33. When the mother and Rita got home
34. and told the father
35. he had a heart attack,
36. also the uncle of Marie had a heart attack also after finding out about Marie.
37. The mother sent her youngest son Jimmy to tell his two aunts about Marie,
38. the younger aunt had bought a large orange for Marie.
39. That's all I remember.",1600,39,64,"1. A young girl who was about 18 years old had to go to the hospital,
2. whilst she was recovering her sister went to see her.
3. They tried to put her into a chair
4. but the girl was too weak.
5. The sister left
6. and then the mother went to visit
7. and was shocked at her daughter's condition.
8. The mother got very mad
9. and accused the nurses and doctors of trying to kill her daughter
10. and made a large scene,
11. banging the walls
12. and shouting at the top of her voice.
13. Sadly the daughter died
14. and the mother was sent home.
15. The mother sent her younger son
16. to tell her two sisters that their niece had died.
17. The father was waiting for the mother on the porch
18. after he got back from work
19. after he had cleaned himself up,
20. when he heard that his daughter was dead
21. he had a heart attack
22. and died as well.
23. Then the son also died of a heart attack.",818,23,121
66e7381b679a09a5e859d755,"1. Marie went into hospital
2. to have an operation
3. on her appendix.
4. Her mum went home
5. and got her dress and bag
6. and brought them into the hospital
7. the following day.
8. Marie was saying goodbye to everyone
9. when she collapsed
10. after complaining of pains.
11. Mrs. Costa took it really badly
12. and the hospital staff wanted to sedate her
13. but she refused
14. and accused them of killing her daughter.
15. When she got home
16. she had to wait
17. as her husband was working in the yard
18. and he went to have a shave,
19. Mrs. Costa sent her youngest son
20. to tell Marie's aunties that she had died.
21. So he went
22. and told them.
23. Mrs. Costa told her husband
24. that their daughter had died
25. and he had a heart attack
26. next she told her oldest son
27. that Marie had died
28. and he also had a heart attack.",741,28,70,"1. Marie went to the hospital
2. to get her appendix out.
3. Her mum went to collect her the next day
4. taking her a dress and shoes,
5. as the daughter went to get ready
6. and was saying goodbye to people
7. she complained of pains.
8. The girl died
9. and the mum got really upset
10. and the doctors wanted to sedate her
11. but she refused
12. blaming the hospital for killing her daughter.
13. She went home
14. and told her youngest son
15. who went to the two aunties' house
16. to tell them that Marie had died,
17. they were really upset.
18. The dad came home from work
19. and went to shave and change
20. and the mum had to tell him
21. and the older brother Michael
22. that Marie had died
23. and both him and his dad had serious heart attacks
24. after hearing the news.",698,24,71
