segment_id,segment_text,p-caught
112,One doctor wanted to give me a shot.,53.54%
113,"I said, “Get out of here,",50.51%
114,"I’ll kick you,” I said.",53.54%
115,"“You killed my daughter, now you want to kill me?”",58.59%
116,Another nurse came over.,48.48%
117,"See, they all knew me.",47.47%
118,"I had three operations in no time, not even a year.",46.46%
119,And I knew all the nurses.,44.44%
120,"“Mrs. Costa, please, take –”",52.53%
121,"“Get out!” I said, “Don’t you dare come near me.”",53.54%
122,I was so hysterical.,58.59%
123,I was banging my head against the wall and everything.,63.64%
124,They had to grab me.,50.51%
125,"Then they brought me to the office, see.",43.43%
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",51.52%
127,"I said, “We lost Marie.",53.54%
128,Marie died.”,57.58%
129,"Well, that’s this one. This is a picture of Rita.",37.37%
130,She went down like lightning.,52.53%
131,"Dropped to the floor, and that’s a marble floor.",48.48%
132,She went down like lightning.,44.44%
133,"And the back of her leg, it felt just like a pole.",46.46%
134,"Hard like a pole, the back of her leg.",44.44%
135,And that girl is suffering.,46.46%
136,"Thirty – no, twenty-eight years since her sister died?",52.53%
137,"When she gets that pain, it’s like she has phlebitis from it.",51.52%
138,"She suffers – seven, eight, nine weeks at a time.",53.54%
139,"She can’t walk, she goes through such pain since then.",45.45%
140,And how did they figure how Marie died?,37.37%
141,"The girl who was walking with Marie,",36.36%
142,told the doctor that Marie was saying goodbye to Arlene.,39.39%
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",46.46%
144,And then Marie collapsed.,49.49%
145,"Later, they said it was a blood clot.",75.76%
146,"I said, “Don’t you dare touch my daughter.",52.53%
147,I’ll burn this hospital down!,54.55%
148,I don’t care who’s in it.”,48.48%
149,"I said, “Don’t you dare touch my daughter.",51.52%
150,You want to find out what she died from.”,51.52%
151,"But if you touch my daughter, I’ll kill you.”",50.51%
152,I wouldn’t let them touch her.,39.39%
153,So when I got home – they took me home.,68.69%
154,I was screaming in the car.,48.48%
155,"I couldn’t get out, you know, I couldn’t –",44.44%
156,I was screaming!,48.48%
157,"Everybody came out, coming out of their doors because they could hear the screams.",50.51%
158,My husband was sitting on the step.,52.53%
159,"He asked, “What’s the matter? What happened to you?”",47.47%
160,"Well, my hair was all pulled, and my face – I was a mess.",43.43%
161,I didn’t know what I had done to myself.,41.41%
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",71.72%
163,My husband had a heart attack.,80.81%
164,"Yes, he had a heart attack.",65.66%
165,"Then my son, Michael, yeah. That night.",55.56%
166,"Right there, my Michael came, and my Michael collapsed.",73.74%
167,"He had a heart attack too, no kidding.",56.57%
168,"It was all – my two sisters were here, waiting until about half-past four.",44.44%
169,"They waited because they knew she was coming home that day, waiting for the call.",44.44%
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",51.52%
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",42.42%
172,"I said, “All right.”",39.39%
173,"So, I got home and called everybody, told them what happened.",65.66%
174,I called my brother-in-law.,54.55%
175,He was an undertaker.,52.53%
176,My sister’s husband – he’s passed away now too. God rest his soul.,51.52%
177,Maybe you know him...,47.47%
178,"So they were waiting for my call, you know,",51.52%
179,"but instead, I sent my son James, he was little then.",64.65%
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",67.68%
181,"They had cleaned the pavement,",55.56%
182,"and done the cement work, and they were cleaning the pavement.",55.56%
183,"They said, “Here comes little Jamie,” and now they said,",55.56%
184,“Maybe he’s come to tell us Marie’s home.”,57.58%
185,"But when he got there, the poor kid’s eyes were all red.",57.58%
186,"They said, “James, what’s the matter, honey?",57.58%
187,Why are you crying?”,56.57%
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",63.64%
189,"Well, my sisters and my mother, you know, they were all alive.",43.43%
190,It was a shock to everybody. That was a shock that –,47.47%
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",48.48%
192,"She was a real quiet girl, pleasant, didn’t talk much,",47.47%
193,"but she was so good, I can’t even tell you.",49.49%
194,That’s all. So that’s what happened.,39.39%
