,summary,rephrased_summary,total,len,rate,keypoints_id
157,"My daughter Marie died after surgery due to a blood clot.|Victoria found Marie still under ether when they wanted her out of bed.|I was preparing to bring Marie home, but learned she passed away at the hospital.|My husband and son both had heart attacks after hearing the news.|The shock of Marie's death affected the entire family and neighborhood deeply.","My child, Marie, succumbed to a postoperative blood clot. Victoria discovered Marie unconscious from anesthesia, despite expectations for her to be mobile. Anticipating her return home, I was devastated to find out she had expired in the medical facility. The devastating news triggered cardiac arrests in both my spouse and our son. The profound impact of Marie's untimely demise resonated throughout our kin and the local community.",106.84,356,0.3,5_2
167,I lost my daughter 28 years ago.|My daughter died after an operation at Methodist Hospital.|I felt the hospital was to blame for her death.|I was devastated and became hysterical upon learning of her death.|Our family was deeply affected by Marie's passing.|Marie had mentioned leg pain and vision issues before collapsing.|The neighborhood remembers Marie fondly.,"Twenty-eight years have passed since the loss of my daughter. She passed away following a surgical procedure at Methodist Hospital, and I believed the hospital was responsible for her demise. The news of her death left me in a state of devastation and hysteria. Marie's departure profoundly impacted our family. Prior to her collapse, she had complained of pain in her leg and problems with her sight. She is remembered with affection by those in our community.",135.93,364,0.37,7_3
169,My daughter died at Methodist Hospital.|She had an operation for appendicitis.|She was still under ether after the operation.|The nurse took her out of bed despite her condition.|They said she had a blood clot when she collapsed.|I was told she died when I arrived at the hospital.|My family and I were in shock and devastated.|Her death impacted my family physically and emotionally.,"My child passed away at Methodist Hospital following an appendectomy. While she was still recovering from the effects of the anesthesia, a nurse moved her from her bed. It was reported that she suffered a blood clot which led to her collapse. Upon my arrival at the hospital, I received the tragic news of her demise. The loss left my family and me in a state of profound shock and grief, affecting us both physically and mentally.",81.88,384,0.21,8_2
173,"My daughter died twenty-eight years ago.|She died after an operation for appendicitis.|I blame the hospital for her blood clot.|She was supposed to come home after ten days.|At the hospital, I learned she was critically ill.|She died suddenly while getting ready to leave.|I was hysterical and blamed the doctors.|My family was devastated by her death.|The memory of Marie still haunts our family.","Twenty-eight years have passed since the loss of my daughter. Her life was cut short following a surgical procedure to remove her appendix. I hold the medical facility responsible for the thrombosis that ensued. She was expected to be discharged and back home within ten days. It was at the medical center that I was informed of her grave condition. Her passing was abrupt as she was preparing for discharge. Overcome with grief, I directed my anger towards the medical staff. The tragedy of losing Marie has left an indelible mark on our family, and her memory continues to linger with us.",127.06,397,0.32,9_3
164,"My daughter Marie died at the hospital 28 years ago.|Marie had surgery for appendicitis and was still under ether.|The hospital staff followed doctor's orders that caused Marie a blood clot.|Marie was getting ready to go home when she collapsed and died.|I reacted with immense grief and blamed the hospital for Marie's death.|The family was devastated by Marie's death, and it impacted us deeply.","Twenty-eight years ago, my daughter Marie passed away in the hospital. She had undergone an operation to remove her appendix and was still recovering from the anesthesia. Due to the medical team adhering to the prescribed treatment, Marie developed a thrombosis. She was on the verge of being discharged when she suddenly fell and passed away. I was overwhelmed with profound sorrow and held the hospital responsible for her demise. Marie's passing left our family in shambles and had a profound effect on us all.",108.14,397,0.27,6_3
0,"My daughter died at Methodist Hospital.|She had an operation for appendicitis.|The nurse ignored her condition under ether.|The hospital said she was discharged to go home.|I was preparing to bring her home and made coffee.|At the hospital, I was told my daughter was in distress.|I blamed the hospital for a blood clot she had.|I was hysterical when she died unexpectedly.|My family was devastated and suffered from the shock.|My son delivered the tragic news to my sisters.","My child passed away at Methodist Hospital following an appendectomy. Her state was overlooked by the nursing staff while she was anesthetized. The hospital claimed she had been released to return home. As I was getting ready to pick her up and brewing coffee, I received word that she was in a critical condition. I held the hospital responsible for the thrombosis that occurred. Her sudden death sent me into a state of hysteria. The loss left my family in a state of profound grief and disbelief. The sorrowful update was conveyed to my sisters by my son.",155.74,475,0.33,10_1
2,"My daughter died on April 30th from a blood clot.|She had an appendicitis operation and was under ether.|The doctors removed her from bed too soon.|I was waiting to pick her up from the hospital.|At the hospital, they told me my daughter fainted.|I found my daughter sweating heavily and unconscious.|I blamed the hospital for what happened to her.|My daughter passed away while I was with her.|My family was devastated by her sudden death.|The community was also shocked by her passing.","On the 30th of April, my daughter passed away due to a blood clot. She had undergone surgery for appendicitis and was recovering from the anesthesia. The medical staff had her get out of bed prematurely. As I was preparing to bring her home from the medical facility, I was informed that she had collapsed. When I arrived, she was in a state of heavy perspiration and was not conscious. I held the hospital accountable for the tragedy that befell her. She died in my presence. Her abrupt departure left my family in a state of profound grief. The local community, too, was taken aback by the news of her demise.",140.18,487,0.29,10_3
166,"My daughter died at Methodist Hospital after an appendicitis operation.|Victoria visited the hospital and questioned the nurse about my daughter's condition.|Marie was discharged, and I prepared to bring her home.|The hospital informed me Marie had fainted and was in a critical condition.|I arrived to find Marie had died from a suspected blood clot.|My family was devastated, and the news caused chaos and hysteria.|My son James informed my sisters, and the neighborhood shared in our grief.","My child passed away at Methodist Hospital following surgery for appendicitis. Victoria went to the hospital and inquired about my daughter's health with the nurse. After Marie was released, I was getting ready to take her back home. However, the hospital notified me that Marie had collapsed and her state was dire. When I got there, I learned that Marie had succumbed to what was believed to be a blood clot. The tragedy shattered my family, leading to turmoil and frantic distress. My son James broke the news to my sisters, and our sorrow was felt throughout the community.",178.13,493,0.36,7_2
170,"My daughter died twenty-eight years ago.|She had surgery for appendicitis at Methodist Hospital.|A nurse tried to get her out of bed too soon after her operation.|I went to pick her up from the hospital, but she wasn't ready.|At the hospital, they told me she had fainted and was cold sweating.|She passed away in the hospital as we were preparing for her discharge.|I believe her death was due to a blood clot from being moved too soon.|Her death had a devastating impact on our family and the community.","Twenty-eight years have passed since the loss of my daughter. She underwent an appendectomy at Methodist Hospital. Post-surgery, a nurse prematurely attempted to mobilize her. When I arrived to collect her from the hospital, she was not in a condition to leave. The hospital staff informed me that she had collapsed and was experiencing cold sweats. During the process of her discharge, she succumbed in the hospital. It is my conviction that her untimely death was the result of a blood clot caused by being moved prematurely. Her passing left an indelible mark on both our family and the wider community.",147.65,505,0.29,8_3
171,"I lost my daughter 28 years ago this month.|She died after an appendicitis operation at Methodist Hospital.|Victoria, my oldest daughter, found her still under ether when visiting.|The hospital tried to get her out of bed too early.|Marie was discharged but collapsed due to a blood clot.|I arrived at the hospital to find she had died.|Her passing caused a chain of grief in my family.|My husband and son both had heart attacks from the shock.|Our neighborhood and family were deeply affected by Marie's loss.","Twenty-eight years ago this month, I experienced the heartbreaking loss of my daughter. She passed away following surgery for appendicitis at Methodist Hospital. My eldest daughter, Victoria, discovered her unconscious from the anesthesia during a visit. The hospital's premature attempt to mobilize her led to her being released too soon. Tragically, Marie collapsed and succumbed to a blood clot. I was met with the devastating news of her death upon reaching the hospital. Her departure set off a wave of sorrow within our family. The sudden loss was too much for my husband and son, who both suffered heart attacks due to the emotional impact. The community and our relatives were profoundly shaken by the tragedy of Marie's untimely demise.",175.64,510,0.34,9_1
11,My daughter died 28 years ago this month.|She had an operation for appendicitis.|Victoria visited her after the operation.|The nurse tried to get her out of bed.|I blame them for causing a blood clot.|The hospital discharged her after 10 days.|I went to pick her up from the hospital.|I found her sweating heavily in bed.|I yelled at the doctors for killing her.|My daughter passed away at the hospital.|I was hysterical and refused medical help.|My family suffered heart attacks from shock.|The neighborhood was shocked by her death.,"It has been 28 years since the loss of my daughter in the same month. She underwent surgery to remove her appendix. Post-surgery, Victoria came to see her. During an attempt by the nurse to mobilize her, I suspect that it led to the formation of a thrombus. She was released from the medical facility after a period of 10 days. When I arrived to collect her, I discovered her drenched in sweat in her hospital bed. I accused the medical staff of causing her demise. She succumbed to her condition while still in the hospital. Overcome with grief, I rejected any medical assistance. The sudden tragedy caused members of my family to experience cardiac arrests due to the profound shock. Her untimely passing sent ripples of dismay throughout our community.",191.78,534,0.36,13_3
6,"I lost my daughter twenty-eight years ago.|She died after an operation for appendicitis.|Victoria visited her in the hospital the next day.|The nurse tried to move my daughter too soon.|I believe it caused a blood clot in her leg.|I was told to pick her up after ten days.|At the hospital, I felt something was wrong.|The nurse informed me my daughter was dying.|She died right when I turned away.|My husband and son both had heart attacks after hearing the news.|The entire neighborhood was shocked by her death.|Many people still remember her fondly.","Twenty-eight years have passed since the tragic loss of my daughter, who passed away following an appendectomy. The day after her surgery, Victoria paid her a visit in the hospital. It's my belief that the nurse's premature attempt to move her led to the formation of a blood clot in her leg. I was instructed to collect her from the hospital after a period of ten days. Upon my arrival, I sensed that something was amiss. It was then that the nurse broke the devastating news that my daughter was on the brink of death. She passed away in the very moment I looked away. The aftermath of her passing saw both my husband and son suffer heart attacks upon learning of the tragedy. Her death sent ripples of shock throughout our community, and to this day, many hold her memory in high regard.",201.64,552,0.37,12_1
168,"My daughter died at Methodist Hospital after an appendicitis operation.|Victoria noticed something was wrong when they tried to get her out of bed.|I was called to pick Marie up from the hospital when she was discharged.|I prepared coffee and clothes to welcome Marie home.|At the hospital, I was told Marie had fainted before I saw her sweating heavily.|I confronted the doctors, but Marie died before we could leave the hospital.|The news of Marie's death caused my husband and son to have heart attacks.|Everyone in the neighborhood was shocked and saddened by Marie's death.","My daughter passed away at Methodist Hospital following surgery for appendicitis. Victoria sensed a problem when they attempted to help her stand. I received a call to collect Marie from the hospital upon her release. I readied coffee and garments for her return. At the medical facility, I learned that Marie had collapsed and was perspiring profusely by the time I arrived. I questioned the medical staff, yet Marie succumbed before we could depart. The devastating news of Marie's passing triggered cardiac events in both my husband and son. The entire local community was deeply affected and mourned the loss of Marie.",197.16,578,0.34,8_1
172,"My daughter Marie died 28 years ago this month.|Marie had surgery for appendicitis and was discharged from the hospital.|Victoria, my oldest daughter, saw Marie was still under ether.|Nurses tried to get Marie out of bed against doctor's orders.|Marie fainted when she was out of bed and later had a blood clot.|I went to the hospital to pick Marie up, expecting her to come home.|Marie collapsed saying she had a pain in her leg and couldn't see.|Doctors said Marie died from a blood clot, and I was devastated.|The news of Marie's death caused my family immense grief and shock.","It has been 28 years since the passing of my daughter, Marie, in the same month. Following an appendectomy, Marie was released from medical care. My eldest, Victoria, noticed that Marie was still affected by the anesthesia. Despite the physician's explicit instructions, the nursing staff attempted to mobilize Marie from her bed. During this process, she lost consciousness and subsequently developed a thrombosis. Anticipating her return home, I arrived at the hospital only to find Marie collapsing with complaints of leg pain and loss of vision. The medical professionals concluded that a thrombotic event was the cause of her demise, leaving me in a state of utter heartbreak. The announcement of Marie's untimely departure brought profound sorrow and disbelief to our family.",190.91,580,0.33,9_2
4,My daughter died 28 years ago this month.|She had an operation for appendicitis at Methodist Hospital.|They used a lot of ether during her operation.|The nurse told my daughter needed to get out of bed by doctor's orders.|I blame the hospital for my daughter's blood clot.|I went to pick up my daughter from the hospital.|My daughter was still unwell when I arrived.|I was told my daughter died from a blood clot.|I was hysterical and blamed the hospital for her death.|My family was devastated by my daughter's death.|My husband and son both had heart attacks after hearing the news.,"It has been 28 years since I lost my daughter in the month of her passing. She underwent surgery for appendicitis at Methodist Hospital where they administered a significant amount of ether. A nurse insisted that she needed to rise from her bed, as per the doctor's instructions. I hold the hospital accountable for the blood clot that took her life. When I arrived to collect her from the hospital, she was still in poor health. The news that she succumbed to a blood clot was broken to me, which sent me into a state of hysteria, and I pointed fingers at the hospital for her demise. The tragedy of losing my daughter shattered my family. The shock was so severe that both my husband and son suffered heart attacks upon receiving the dreadful news.",183.96,584,0.32,11_2
1,"My daughter died twenty-eight years ago this month.|She had an operation for appendicitis at Methodist Hospital.|After the operation, she remained under ether.|They tried to get her out of bed and she passed out.|I blame the hospital for causing her blood clot by moving her.|I was called to pick her up when she was discharged.|At the hospital, I found my daughter in a cold sweat and she passed away.|I reacted hysterically, blaming the hospital staff.|The doctors later said it was a blood clot that caused her death.|My family and I were devastated, and my husband and son had heart attacks.","Twenty-eight years ago this month, I lost my daughter. She underwent surgery for appendicitis at Methodist Hospital. Post-surgery, she was still under the effects of ether. When they attempted to help her stand, she collapsed. I hold the hospital responsible for her fatal blood clot, which I believe was a result of their actions. I was summoned to collect her upon discharge, but upon arrival, I discovered her in a state of cold perspiration, and shortly after, she died. Overwhelmed with grief, I lashed out at the medical staff. The physicians later confirmed that a blood clot was the cause of her demise. The tragedy shattered my family, leading to my husband and son suffering heart attacks.",169.82,595,0.29,10_2
5,"My daughter Marie died twenty-eight years ago.|Marie died at Methodist Hospital after an appendicitis operation.|The hospital staff tried to get Marie out of bed too soon.|I was called to pick Marie up thinking she was discharged.|I prayed for another patient while waiting at the hospital.|Marie's condition worsened unexpectedly.|I accused the doctors of killing my daughter.|Rita, my other daughter, was deeply affected by Marie's death.|Marie's death had a severe impact on my family.|My husband and son both suffered heart attacks from the shock.|The news of Marie's death devastated our community.","It has been twenty-eight years since I lost my daughter Marie. She passed away at Methodist Hospital following surgery for appendicitis. The medical team attempted to mobilize Marie prematurely. Believing she was ready to be discharged, I was summoned to collect her. While at the hospital, I offered prayers for another patient. Tragically, Marie's health took a sudden downturn. I held the physicians responsible for my daughter's demise. The loss of Marie deeply traumatized Rita, my other daughter. The tragedy of Marie's passing profoundly affected our family. Both my husband and son experienced heart attacks, overwhelmed by the grief. Our local community was shattered by the news of Marie's untimely departure.",200.94,603,0.33,11_3
7,"My daughter died twenty-eight years ago.|She died at Methodist Hospital after an appendicitis operation.|The nurse tried to get her out of bed too soon.|I blame them for causing a blood clot.|When I went to the hospital, I found my daughter very sick.|My daughter passed away as I was waiting in the hallway.|I blamed the doctors and nurses for her death.|My family was waiting for her to come home.|Rita and my son-in-law arrived at the hospital.|I was hysterical and could not believe my daughter died.|My husband and son both had heart attacks from the shock.|The whole neighborhood was shocked by her death.","Twenty-eight years have passed since the loss of my daughter. She succumbed to complications following an appendectomy at Methodist Hospital. I hold the medical staff responsible, believing that their premature attempt to mobilize her led to a fatal blood clot. During my visit to the hospital, I was confronted with her grave condition. Tragically, she slipped away while I stood in the corridor. I held the physicians and nurses accountable for this devastating outcome. Our family had been eagerly anticipating her return. Rita, alongside my son-in-law, arrived at the medical facility. Overcome with grief, I was inconsolable at the news of her passing. The sudden loss was too much for my husband and son, both of whom suffered heart attacks from the emotional toll. Her untimely departure sent ripples of sorrow throughout our community.",173.73,611,0.28,12_2
3,"My daughter Marie died 28 years ago this month.|She had an operation for appendicitis at Methodist Hospital.|My oldest daughter, Victoria, visited her after the surgery.|They tried to get Marie out of bed too soon after surgery.|I blame early mobilization for causing a blood clot.|I was called to pick up Marie, believing she was discharged.|At the hospital, I found out Marie was in critical condition.|Marie died after suffering from a massive blood clot.|My family was devastated at the news of Marie's death.|My husband and son both had heart attacks from the shock.|The entire neighborhood was shocked by Marie's sudden death.","It has been 28 years since the passing of my daughter, Marie, in the month of her death anniversary. She underwent an appendectomy at Methodist Hospital. Post-operation, my eldest daughter, Victoria, went to see her. They attempted to have Marie stand and move too quickly following her procedure. I hold the premature physical activity responsible for triggering a thrombosis. I received a call to collect Marie, under the impression she was ready to be released. Upon arrival at the hospital, I was met with the grim reality that Marie was in a dire state. A severe blood clot led to Marie's untimely passing. The news shattered my family; both my husband and son experienced myocardial infarctions due to the emotional impact. Marie's abrupt departure also sent ripples of dismay throughout our community.",190.22,632,0.3,11_1
12,"My daughter Marie died 28 years ago.|She had an appendicitis operation.|My daughter Victoria visited her in the hospital.|The nurse followed doctor's orders despite Marie's condition.|I think they caused the blood clot by moving Marie.|I went to pick Marie up from the hospital after 10 days.|The hospital called me for Marie's discharge.|I prepared everything for Marie to come home.|At the hospital, they asked me to wait.|Marie had a severe reaction and died suddenly.|I blamed the hospital staff for her death.|My family was devastated by Marie's death.|My husband and son both had heart attacks.|Our community was shocked by Marie's death.","Twenty-eight years have passed since the loss of my daughter, Marie, following an appendectomy. During her hospital stay, her sister Victoria came to see her. Despite Marie's fragile state, the nurse carried out the physician's instructions, which I suspect led to the formation of a fatal blood clot due to moving her. After a period of 10 days, I was notified by the hospital that Marie was ready to be discharged, so I made all the necessary arrangements for her return home. Upon my arrival at the hospital, I was asked to wait. Tragically, Marie suffered a sudden, severe reaction and passed away. I held the hospital personnel responsible for her untimely demise. The impact of losing Marie was profound; my husband and son both suffered heart attacks, and our entire community was left in a state of shock by the tragedy.",199.32,644,0.31,14_1
30,"I lost my daughter.|She died twenty-eight years ago.|She was at Methodist Hospital.|Marie had an appendicitis operation.|Victoria visited her after the operation.|Marie was still under ether.|They tried to get Marie out of bed.|Marie fainted when they moved her.|I blame them for the blood clot.|Marie was supposed to come home.|The hospital discharged Marie.|I prepared coffee and cake for Marie.|At the hospital, the nurse stopped me.|I prayed for another patient.|Marie was in bad condition.|Marie passed away in the hospital.|I went hysterical after her death.|My family came to the hospital.|The news was a shock to everyone.|Marie was a wonderful girl.","My daughter passed away twenty-eight years ago. She was a patient at Methodist Hospital, undergoing surgery for appendicitis. Her name was Marie. After her surgery, while still affected by the anesthesia, Victoria paid her a visit. The staff attempted to help Marie to her feet, but she collapsed, likely due to a blood clot, which I suspect was their fault. Marie was scheduled to be released to come home. I had even prepared coffee and cake in anticipation of her return. However, upon my arrival at the hospital, a nurse intercepted me. In that moment, I offered prayers for another patient, unaware of Marie's critical state. Tragically, she succumbed to her condition while still in the hospital. Her death sent me into a state of hysteria, and when my family arrived, they were devastated by the news. Marie was an extraordinary young woman, and her loss was felt deeply by all who knew her.",202.95,658,0.31,20_1
8,"My daughter died twenty-eight years ago this month.|She died at Methodist Hospital after an appendicitis operation.|The hospital staff tried to get her out of bed too soon, causing a blood clot.|I was waiting for a call to pick her up from the hospital.|I was preparing coffee and clothes for her return.|At the hospital, I was informed she was in a critical state.|My daughter passed away while I was at the hospital.|The family was shocked by her sudden death.|My husband and son had heart attacks from the shock.|My sisters were waiting at home for news of her release.|Our community was deeply affected by her death.|Marie was remembered as a quiet and pleasant girl.","Twenty-eight years ago this month, I lost my daughter. She succumbed to complications following an appendectomy at Methodist Hospital. The medical team's premature attempt to mobilize her led to a fatal blood clot. I had been anticipating a call to bring her home, busying myself with brewing coffee and arranging her clothes for when she returned. However, upon my arrival at the hospital, I was met with the grave news of her critical condition. Tragically, she died while I was there. Her abrupt passing sent shockwaves through our family, causing both my husband and son to suffer heart attacks due to the immense stress. My sisters had been at home, eagerly awaiting the update that she would be discharged. The loss of Marie left a profound impact on our entire community, who fondly remembered her as a gentle and kind-hearted young woman.",205.43,671,0.31,12_3
25,My daughter died twenty-eight years ago.|She had an operation for appendicitis.|Victoria visited her at the hospital.|The nurse insisted on getting her out of bed.|I blame them for the blood clot.|I prepared to pick her up from the hospital.|I prayed for a woman with ten children.|A nurse asked about fainting spells.|My daughter passed away suddenly.|I was told she had a blood clot.|I was hysterical at the hospital.|Rita was shocked when she learned.|My husband had a heart attack from grief.|My son Michael had a heart attack too.|My family was expecting Marie home.|My sisters were shocked by the news.|The neighborhood remembers Marie.|Marie was a quiet and pleasant girl.,"It's been twenty-eight years since I lost my daughter. She underwent surgery to remove her appendix. During her hospital stay, Victoria came to see her. A nurse was adamant about having her stand up, which I believe led to a fatal blood clot. I was getting ready to bring her home from the hospital when I offered prayers for a mother of ten. A nurse inquired if she had experienced any episodes of fainting. Her death was abrupt and unexpected. I was informed that a blood clot was the cause. I couldn't contain my emotions at the hospital. Rita was taken aback when she heard the news. The sorrow was too much for my husband, who suffered a heart attack. My son Michael also experienced a heart attack. We were all anticipating Marie's return. The news devastated my sisters. The local community still holds memories of Marie. She was known for her quiet demeanor and friendly nature.",279.52,679,0.41,18_2
27,"My daughter died at Methodist Hospital.|She had an operation for appendicitis.|Victoria visited her the next morning.|She was still under ether during the visit.|The nurse insisted to get her out of bed.|Marie passed out when they tried.|I blame them for her blood clot.|Marie was to be discharged after ten days.|A call came to pick her up.|I prepared everything for her return.|At the hospital, I was made to wait.|I prayed for another patient.|Marie's condition worsened unexpectedly.|The doctor couldn't explain her condition.|Marie died during my visit.|My husband had a heart attack from the news.|My son Michael also collapsed that night.|Family and neighbors shared the shock.|Marie was remembered as a quiet, good girl.","My beloved daughter lost her life at Methodist Hospital following an appendectomy. Her friend Victoria came to see her the subsequent morning, while she was still feeling the effects of the anesthesia. Despite this, the nurse was adamant about having her stand up, which led to Marie fainting, an incident I hold responsible for causing her fatal blood clot. She was scheduled to be released after a ten-day stay, and I received a call to collect her, so I arranged everything for her homecoming. Upon my arrival at the hospital, I was asked to wait, during which time I offered prayers for another patient. Tragically, Marie's health took a sudden turn for the worse, a deterioration that left the physicians baffled. She passed away during my time there. The devastating news triggered a heart attack in my husband, and our son Michael was so overcome with grief that he too collapsed that same evening. The entire family and our neighbors were engulfed in disbelief and sorrow. Marie was always known as a gentle and kind-hearted girl.",242.16,728,0.33,19_1
13,"My daughter died twenty-eight years ago this month.|She had an operation for appendicitis at Methodist Hospital.|My oldest daughter, Victoria, visited her after the operation.|The nurse tried to get her out of bed too soon after surgery.|I blame them for the blood clot she got.|The hospital called me to pick Marie up after ten days.|I got ready to bring Marie home.|At the hospital, the nurse told me to sit down.|I was praying for another patient when a nurse asked about fainting.|My daughter passed away while I was at the hospital.|I was extremely hysterical after her death.|Rita fainted when she heard about her sister's death.|We later learned Marie had a blood clot.|The whole neighborhood was shocked by Marie's death.","It has been twenty-eight years since I lost my daughter in the same month. She underwent surgery for appendicitis at Methodist Hospital. Her elder sister, Victoria, went to see her post-surgery. I hold the nursing staff responsible for encouraging her to get up prematurely, which I believe led to the formation of a fatal blood clot. After a ten-day stay, the hospital informed me that Marie was ready to be discharged. As I prepared to bring her home, a nurse at the hospital advised me to take a seat. While I was offering prayers for another patient, a nurse inquired about my experience with fainting spells. It was during this time at the hospital that my daughter succumbed. I was overcome with hysteria following her passing. Rita, upon learning of her sister's demise, collapsed. Subsequently, it came to light that Marie had developed a blood clot. Marie's untimely death left our entire community in a state of disbelief.",264.58,729,0.36,14_2
24,"I lost my daughter 28 years ago.|She died at Methodist Hospital after surgery.|Victoria visited her in the hospital.|Doctors used ether, and she was still unconscious.|They tried to get her out of bed too soon.|I blame them for the blood clot.|I was called to pick her up from the hospital.|I prepared to welcome her home.|Doctors said Marie had a pain in her leg.|She collapsed and died suddenly.|I was devastated and hysterical.|Rita also became upset and fainted.|The hospital determined a blood clot caused her death.|I refused to let them examine her further.|I informed my family of her death.|My husband had a heart attack from the news.|My son Michael also collapsed from the shock.|The neighborhood was shocked by Marie's death.","Twenty-eight years ago, I experienced the tragic loss of my daughter. She passed away at Methodist Hospital following a surgical procedure. During her hospital stay, Victoria spent time with her. The medical team administered ether for anesthesia, and she hadn't regained consciousness. They attempted to mobilize her prematurely, which I believe led to the formation of a fatal blood clot. I received a call to bring her home from the hospital and had been preparing for her return. The physicians mentioned that Marie was complaining of leg pain. Tragically, she suffered a sudden collapse and passed away, leaving me in a state of shock and inconsolable grief. Rita was also overcome with emotion and passed out. The hospital concluded that a blood clot was the cause of her untimely demise. I declined any further post-mortem examinations on her. The heartbreaking news was then conveyed to the rest of my family. The impact was so severe that my husband suffered a heart attack, and my son Michael was overwhelmed to the point of collapsing. Marie's unexpected passing sent ripples of dismay throughout our community.",254.31,737,0.35,18_1
