segment_id,segment_text,segment_text_rephrased
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”"," I exclaimed, ""Oh my God! You're not saying it's about my daughter, are you?"""
69,"“Yes,” she said, “come on in.”"," ""Yes,"" she replied, ""please come in."""
70,"So, I went into the room.", So I entered the room.
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.," There was my daughter, lying on the bed, dressed in her bedroom slippers and robe."
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big."," And the sweat droplets – I swear, they were enormous."
73,It came – just poured from her –, It just streamed off her –
74,"I said, “What did you do, kill my daughter?"," I cried out, ""What have you done, did you kill my daughter?"
75,You killed her! You killed her!”," You killed her! You killed her!"""
76,That’s what I kept yelling., I kept shouting that repeatedly.
77,"And the doctor rushed in,"," And then the doctor hurried in,"
78,"see, they were trying to get the doctor, you know."," they had been attempting to contact the doctor, you see."
79,She was a lady doctor., The doctor was a woman.
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique."," Dr. Schwartz was the one who performed the surgery, but his assistant, Dr. Montique, was there."
81,She was a lady doctor., She was a female doctor.
82,"So, she came in and she said –"," When she arrived, she began to speak –"
83,"I said, “You killed my daughter – what did you do to her?”"," I confronted her, ""You killed my daughter – what have you done to her?"""
84,"She said, “We don’t know what happened, Mrs. Costa.”"," She responded, ""We're not sure what occurred, Mrs. Costa."""
85,She took me away from the bed., She led me away from the bed.
86,"The nurse said to me, “Talk to her.”"," The nurse told me, ""Speak to her."""
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”"," I responded, ""Speak to her? My daughter is dying, what should I say?"""
88,And I was screaming., And I was shouting.
89,My hair was all pulled out., My hair was completely disheveled.
90,"I went hysterical, you know what I mean? She was only eighteen years old."," I became hysterical, you know what I mean? She was just eighteen years old."
91,"Beautiful girl, you can see from her picture."," She was a beautiful girl, as evident from her photograph."
92,"And just as I turned my back, my daughter passed away."," Then, as soon as I looked away, my daughter died."
93,She was getting ready to go home., She was preparing to leave the hospital.
94,I had the clothes and everything ready., I had her clothes and everything set for her.
95,My husband was waiting for her., My husband was anticipating her return.
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting."," After arriving home, he went upstairs to freshen up and shave, then he sat on the porch step, waiting."
97,“When is the mother coming?”," ""When will mom be back?"""
98,The hospital kept calling., The hospital kept making calls.
99,The people in the office didn’t know what had happened yet., The office staff were unaware of the situation.
100,"They kept calling the store, trying to reach us."," They continued to call the store, attempting to contact us."
101,"They asked, “When is the mother coming to pick up Marie?"," They inquired, ""When will her mother arrive to collect Marie?"
102,She’s discharged.”," She's been discharged."""
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”"," Rita remarked, ""That's odd, her mother went to the hospital. She should be there by now."""
104,So they came back to the hospital to look for us.," Consequently, they returned to the hospital to find us."
105,"Rita said, “Gee, that’s strange,”"," Rita commented, ""Gee, that's odd,"""
106,"she said, “Mother must’ve gotten really worked up about Marie.”"," adding, ""Mom must be really worried about Marie."""
107,"You know, I’ve always had a bad heart."," As you know, I have a history of heart issues."
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought."," ""Mom must have been so distressed about Marie that she made herself ill,"" Rita speculated."
109,"So she came over with my son-in-law, in the car."," So, she and my son-in-law drove over in their car."
110,"And I was in the main hallway, at the office."," There I was, in the main hallway, near the office."
111,I was all pulled apart., I was completely distraught.
112,One doctor wanted to give me a shot., A doctor suggested giving me an injection.
113,"I said, “Get out of here,"," I retorted, ""Leave me alone,"
114,"I’ll kick you,” I said."," I'll kick you,"" I warned."
115,"“You killed my daughter, now you want to kill me?”"," ""You took my daughter's life, now you want to take mine?"""
116,Another nurse came over.," Then, another nurse approached."
117,"See, they all knew me."," You see, they were all familiar with me."
118,"I had three operations in no time, not even a year.", I underwent three surgeries in less than a year.
119,And I knew all the nurses., And I was acquainted with all the nurses.
120,"“Mrs. Costa, please, take –”"," ""Mrs. Costa, please, take –"""
121,"“Get out!” I said, “Don’t you dare come near me.”"," ""Leave me alone!"" I exclaimed, ""Stay away from me."""
122,I was so hysterical., My emotions were out of control.
123,I was banging my head against the wall and everything., I repeatedly hit my head against the wall.
124,They had to grab me., They had to restrain me.
125,"Then they brought me to the office, see."," Afterwards, they escorted me to the office."
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”"," Upon entering, Rita saw my state and questioned, ""Mother, what's wrong?"""
127,"I said, “We lost Marie."," I replied, ""Marie is gone."
128,Marie died.”," Marie has passed away."""
129,"Well, that’s this one. This is a picture of Rita."," Pointing to a photograph, I said, ""This is Rita."
130,She went down like lightning., She collapsed instantly.
131,"Dropped to the floor, and that’s a marble floor.", She fell hard on the marble floor.
132,She went down like lightning., She collapsed like a bolt of lightning.
133,"And the back of her leg, it felt just like a pole.", The back of her leg was rigid.
134,"Hard like a pole, the back of her leg."," It was as stiff as a rod, the back of her leg."
135,And that girl is suffering., And that poor girl is in agony.
136,"Thirty – no, twenty-eight years since her sister died?"," It's been twenty-eight years since her sister's passing, hasn't it?"
137,"When she gets that pain, it’s like she has phlebitis from it.", The pain she endures seems like phlebitis.
138,"She suffers – seven, eight, nine weeks at a time."," She suffers for weeks on end, seven, eight, nine weeks at a time."
139,"She can’t walk, she goes through such pain since then."," She can barely walk, enduring such agony ever since."
140,And how did they figure how Marie died?, And how did they determine Marie's cause of death?
141,"The girl who was walking with Marie,"," The friend walking with Marie,"
142,told the doctor that Marie was saying goodbye to Arlene., informed the doctor that Marie was bidding farewell to Arlene.
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”"," All Marie mentioned to her friend was, ""Oh, my leg hurts and I can't see."""
144,And then Marie collapsed.," Then, Marie fell to the ground."
145,"Later, they said it was a blood clot.", They later concluded it was a blood clot.
146,"I said, “Don’t you dare touch my daughter."," I warned them, ""Don't you dare lay a hand on my daughter."
147,I’ll burn this hospital down!, I will set this hospital ablaze!
148,I don’t care who’s in it.”," I don't care who is inside."""
149,"I said, “Don’t you dare touch my daughter."," Again, I warned, ""Don't you dare lay a hand on my daughter."
150,You want to find out what she died from.”," You need to investigate the cause of her death."""
151,"But if you touch my daughter, I’ll kill you.”"," ""However, if you dare harm my daughter, I will end you."""
152,I wouldn’t let them touch her., I refused to let anyone lay a hand on her.
153,So when I got home – they took me home., Upon returning home – they escorted me back.
154,I was screaming in the car.," Throughout the ride, I was inconsolable, screaming."
155,"I couldn’t get out, you know, I couldn’t –"," I was trapped in my seat, unable to exit –"
156,I was screaming!, My screams filled the air!
157,"Everybody came out, coming out of their doors because they could hear the screams."," Neighbors emerged from their homes, drawn by my cries."
158,My husband was sitting on the step., My husband was perched on the porch step.
159,"He asked, “What’s the matter? What happened to you?”"," He inquired, “What’s wrong? What has happened to you?”"
160,"Well, my hair was all pulled, and my face – I was a mess."," My hair was disheveled, and my face – I looked dreadful."
161,I didn’t know what I had done to myself., I was unaware of the extent to which I had harmed myself.
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock."," I told him, “Mike, we’ve lost Marie. She’s gone.” The news was utterly shocking."
163,My husband had a heart attack., My husband suffered a heart attack.
164,"Yes, he had a heart attack."," Indeed, he experienced a cardiac arrest."
165,"Then my son, Michael, yeah. That night."," Then, that very night, my son, Michael."
166,"Right there, my Michael came, and my Michael collapsed."," Right then, Michael arrived and he too collapsed."
167,"He had a heart attack too, no kidding."," He also suffered a heart attack, truly."
168,"It was all – my two sisters were here, waiting until about half-past four."," My two sisters were there, staying until around 4:30."
169,"They waited because they knew she was coming home that day, waiting for the call."," They lingered because they expected her home that day, awaiting a phone call."
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.", My younger sister had brought a uniquely large orange for Marie.
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”"," She mentioned, “Mary, once they call and you fetch Marie, let us know and we’ll come right over.”"
172,"I said, “All right.”"," I agreed, saying, “Okay.”"
173,"So, I got home and called everybody, told them what happened."," Once I arrived home, I called everyone to inform them of the tragedy."
174,I called my brother-in-law., I reached out to my brother-in-law.
175,He was an undertaker., He worked as a funeral director.
176,My sister’s husband – he’s passed away now too. God rest his soul., My sister’s husband – he has since passed away. May he rest in peace.
177,Maybe you know him..., Perhaps you remember him...
178,"So they were waiting for my call, you know,"," They were all anticipating my call,"
179,"but instead, I sent my son James, he was little then."," but instead, I sent my young son James."
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”"," I instructed him, “Go inform Aunt Millie and Aunt Jenny.”"
181,"They had cleaned the pavement,"," The sidewalk had been scrubbed clean,"
182,"and done the cement work, and they were cleaning the pavement."," the concrete repairs completed, and they were again cleaning the sidewalk."
183,"They said, “Here comes little Jamie,” and now they said,"," They remarked, ""Look, little Jamie is coming,"" and then speculated,"
184,“Maybe he’s come to tell us Marie’s home.”," ""Perhaps he's here to announce Marie's return."""
185,"But when he got there, the poor kid’s eyes were all red."," Yet upon his arrival, it was clear the boy's eyes were swollen with tears."
186,"They said, “James, what’s the matter, honey?"," They inquired, ""James, what has upset you, dear?"
187,Why are you crying?”," Why are you weeping?"""
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said."," ""Aunt Jenny, Aunt Millie, Marie has passed away,"" he disclosed."
189,"Well, my sisters and my mother, you know, they were all alive."," Indeed, my sisters and my mother were all still with us."
190,It was a shock to everybody. That was a shock that –, The news stunned everyone. It was a shock that—
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step."," In the neighborhood—Annie from the store always tells me, “Mrs. Costa,” every time I see her, she recalls, “I always envision Marie on that step, gazing over here.” That was her usual spot."
192,"She was a real quiet girl, pleasant, didn’t talk much,"," She was a notably serene and amiable girl, seldom spoke,"
193,"but she was so good, I can’t even tell you.", but her kindness was beyond words.
194,That’s all. So that’s what happened., That concludes the story. That's what transpired.
