summary_name,mbits,original_length,rephrased_length
summary_gpt4o_85_1,1171.9302480879337,2241,2360
summary_gpt4o_187_1,3745.511820416894,8279,7899
summary_gpt4o_78_1,1621.945807355007,3943,4135
summary_gpt4o_66_1,970.0250236504708,2174,1977
summary_gpt4o_17_1,346.5943804352387,799,845
summary_gpt4o_74_1,1763.7514830663013,3491,3473
summary_gpt4o_21_1,421.0577010907231,945,1139
summary_gpt4o_42_1,804.7024659879585,1779,1795
summary_gpt4o_33_1,635.5174030827395,1156,1299
summary_gpt4o_50_1,982.7614042880176,2219,2236
summary_gpt4o_150_1,862.1178439457344,2005,1862
