segment_id,segment_text,real_rec,real_caught,emulated_rec,emulated_caught,rec_difference,caught_difference
29,She’s discharged.”,13.27,32.26,10.0,70.0,-3.27,37.74
30,I had all the clothes laid out on the table.,5.1,47.31,0.0,70.0,-5.1,22.69
31,"And Rita was – I was cooking,",11.22,50.54,0.0,70.0,-11.22,19.46
32,"I said, “Rita, finish the cooking.”",9.18,46.24,0.0,70.0,-9.18,23.76
33,Daddy will be home soon.”,6.12,46.24,0.0,70.0,-6.12,23.76
34,He was working down in the yard.,8.16,39.78,0.0,70.0,-8.16,30.22
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",16.33,43.01,0.0,70.0,-16.33,26.99
36,"And you know, every morning, that first cup of coffee, I offered it to her.",4.08,38.71,10.0,80.0,5.92,41.29
37,"When I get up in the morning, the first cup is hers.",5.1,35.48,20.0,70.0,14.9,34.52
38,"Since she’s gone, I never forget that.",0.0,33.33,0.0,70.0,0.0,36.67
39,"So I said, “Put a pot of coffee on,",2.04,37.63,0.0,70.0,-2.04,32.37
40,and send for some cake from the bakery.”,5.1,37.63,0.0,70.0,-5.1,32.37
41,I’m going to get Marie; they called me.”,0.0,52.69,0.0,70.0,0.0,17.31
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",0.0,26.88,0.0,70.0,0.0,43.12
43,"And I went myself. You know, I had the coat on my arm.",5.1,48.39,0.0,80.0,-5.1,31.61
44,She was operated on in March –,2.04,35.48,0.0,60.0,-2.04,24.52
45,"No, April! So that was the thirtieth.",0.0,53.76,0.0,80.0,0.0,26.24
46,"She was operated – ten days before, so that would be the twentieth.",10.2,49.46,0.0,70.0,-10.2,20.54
47,"The twentieth of April, right? It was kind of chilly.",5.1,22.58,0.0,40.0,-5.1,17.42
48,"Oh, and I had everything in a bag,",1.02,41.94,0.0,60.0,-1.02,18.06
49,and I had the coat on my arm and her dress hanging on my arm.,12.24,46.24,0.0,60.0,-12.24,13.76
50,"She saw me from the windows, from Wolf Street.",10.2,39.78,0.0,60.0,-10.2,20.22
51,"She said, “My mother’s just coming.”",0.0,27.96,0.0,60.0,0.0,32.04
52,"She was with the girls, saying goodbye to everyone – you know how it is.",3.06,34.41,0.0,60.0,-3.06,25.59
53,"They told me on the phone, it would be ten dollars more for her board.",2.04,25.81,0.0,70.0,-2.04,44.19
54,And to make sure I brought her girdle to put on.,2.04,25.81,0.0,70.0,-2.04,44.19
55,"I said, “All right, I’ll be right over.”",0.0,23.66,0.0,70.0,0.0,46.34
56,And I went.,0.0,52.69,0.0,70.0,0.0,17.31
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",15.31,70.97,0.0,60.0,-15.31,-10.97
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",22.45,45.16,0.0,60.0,-22.45,14.84
59,"She lived near my sister, and she had ten children.",12.24,37.63,0.0,60.0,-12.24,22.37
60,They had said she was in very bad shape.,1.02,35.48,0.0,60.0,-1.02,24.52
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",6.12,39.78,0.0,60.0,-6.12,20.22
62,"I was praying for her, you know.",1.02,23.66,0.0,60.0,-1.02,36.34
63,Then a little nurse’s aide went to the closet and got some blankets.,2.04,32.26,0.0,60.0,-2.04,27.74
64,"I started getting the chills,",6.12,30.11,0.0,60.0,-6.12,29.89
65,"and I was thinking about it,",0.0,22.58,0.0,60.0,0.0,37.42
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",3.06,34.41,0.0,70.0,-3.06,35.59
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",13.27,55.91,0.0,60.0,-13.27,4.09
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",3.06,54.84,0.0,60.0,-3.06,5.16
69,"“Yes,” she said, “come on in.”",3.06,49.46,0.0,70.0,-3.06,20.54
70,"So, I went into the room.",3.06,54.84,0.0,70.0,-3.06,15.16
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,12.24,55.91,0.0,80.0,-12.24,24.09
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",6.12,50.54,0.0,90.0,-6.12,39.46
73,It came – just poured from her –,0.0,38.71,0.0,90.0,0.0,51.29
74,"I said, “What did you do, kill my daughter?",23.47,77.42,0.0,80.0,-23.47,2.58
75,You killed her! You killed her!”,20.41,62.37,0.0,80.0,-20.41,17.63
76,That’s what I kept yelling.,3.06,56.99,0.0,90.0,-3.06,33.01
77,"And the doctor rushed in,",2.04,41.94,0.0,70.0,-2.04,28.06
78,"see, they were trying to get the doctor, you know.",0.0,34.41,0.0,70.0,0.0,35.59
79,She was a lady doctor.,2.04,45.16,0.0,70.0,-2.04,24.84
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",8.16,40.86,0.0,70.0,-8.16,29.14
81,She was a lady doctor.,11.22,41.94,0.0,70.0,-11.22,28.06
82,"So, she came in and she said –",0.0,27.96,0.0,70.0,0.0,42.04
83,"I said, “You killed my daughter – what did you do to her?”",4.08,70.97,0.0,90.0,-4.08,19.03
84,"She said, “We don’t know what happened, Mrs. Costa.”",8.16,53.76,0.0,80.0,-8.16,26.24
85,She took me away from the bed.,1.02,31.18,0.0,70.0,-1.02,38.82
86,"The nurse said to me, “Talk to her.”",3.06,40.86,0.0,80.0,-3.06,39.14
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",2.04,38.71,0.0,80.0,-2.04,41.29
88,And I was screaming.,7.14,68.82,10.0,80.0,2.86,11.18
89,My hair was all pulled out.,4.08,56.99,0.0,80.0,-4.08,23.01
90,"I went hysterical, you know what I mean? She was only eighteen years old.",10.2,67.74,10.0,90.0,-0.2,22.26
91,"Beautiful girl, you can see from her picture.",2.04,34.41,0.0,70.0,-2.04,35.59
92,"And just as I turned my back, my daughter passed away.",7.14,64.52,0.0,100.0,-7.14,35.48
93,She was getting ready to go home.,1.02,49.46,0.0,100.0,-1.02,50.54
94,I had the clothes and everything ready.,1.02,40.86,0.0,70.0,-1.02,29.14
95,My husband was waiting for her.,4.08,53.76,0.0,60.0,-4.08,6.24
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",7.14,53.76,0.0,60.0,-7.14,6.24
97,“When is the mother coming?”,0.0,48.39,0.0,70.0,0.0,21.61
98,The hospital kept calling.,3.06,46.24,0.0,70.0,-3.06,23.76
99,The people in the office didn’t know what had happened yet.,1.02,49.46,0.0,70.0,-1.02,20.54
100,"They kept calling the store, trying to reach us.",0.0,50.54,0.0,70.0,0.0,19.46
101,"They asked, “When is the mother coming to pick up Marie?",3.06,53.76,0.0,70.0,-3.06,16.24
102,She’s discharged.”,2.04,50.54,10.0,70.0,7.96,19.46
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",5.1,53.76,0.0,70.0,-5.1,16.24
104,So they came back to the hospital to look for us.,1.02,46.24,0.0,70.0,-1.02,23.76
105,"Rita said, “Gee, that’s strange,”",0.0,44.09,0.0,70.0,0.0,25.91
106,"she said, “Mother must’ve gotten really worked up about Marie.”",0.0,43.01,0.0,70.0,0.0,26.99
107,"You know, I’ve always had a bad heart.",1.02,38.71,0.0,70.0,-1.02,31.29
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",0.0,41.94,0.0,70.0,0.0,28.06
109,"So she came over with my son-in-law, in the car.",3.06,45.16,0.0,70.0,-3.06,24.84
110,"And I was in the main hallway, at the office.",0.0,47.31,0.0,70.0,0.0,22.69
111,I was all pulled apart.,0.0,45.16,0.0,70.0,0.0,24.84
112,One doctor wanted to give me a shot.,2.04,52.69,0.0,70.0,-2.04,17.31
113,"I said, “Get out of here,",1.02,49.46,0.0,70.0,-1.02,20.54
114,"I’ll kick you,” I said.",1.02,52.69,0.0,70.0,-1.02,17.31
115,"“You killed my daughter, now you want to kill me?”",8.16,56.99,0.0,70.0,-8.16,13.01
116,Another nurse came over.,1.02,46.24,0.0,70.0,-1.02,23.76
117,"See, they all knew me.",3.06,45.16,0.0,70.0,-3.06,24.84
118,"I had three operations in no time, not even a year.",6.12,44.09,0.0,70.0,-6.12,25.91
119,And I knew all the nurses.,4.08,41.94,0.0,70.0,-4.08,28.06
120,"“Mrs. Costa, please, take –”",0.0,50.54,0.0,70.0,0.0,19.46
121,"“Get out!” I said, “Don’t you dare come near me.”",2.04,51.61,0.0,70.0,-2.04,18.39
122,I was so hysterical.,2.04,56.99,0.0,70.0,-2.04,13.01
123,I was banging my head against the wall and everything.,1.02,62.37,0.0,70.0,-1.02,7.63
124,They had to grab me.,0.0,48.39,0.0,70.0,0.0,21.61
125,"Then they brought me to the office, see.",0.0,40.86,0.0,70.0,0.0,29.14
126,"When Rita came in and saw me like that, she asked, “Mother, what happened?”",2.04,49.46,0.0,70.0,-2.04,20.54
127,"I said, “We lost Marie.",5.1,51.61,0.0,70.0,-5.1,18.39
128,Marie died.”,15.31,55.91,0.0,80.0,-15.31,24.09
129,"Well, that’s this one. This is a picture of Rita.",0.0,34.41,0.0,80.0,0.0,45.59
130,She went down like lightning.,7.14,50.54,0.0,80.0,-7.14,29.46
131,"Dropped to the floor, and that’s a marble floor.",5.1,46.24,0.0,70.0,-5.1,23.76
132,She went down like lightning.,1.02,41.94,0.0,70.0,-1.02,28.06
133,"And the back of her leg, it felt just like a pole.",1.02,44.09,0.0,80.0,-1.02,35.91
134,"Hard like a pole, the back of her leg.",1.02,41.94,0.0,70.0,-1.02,28.06
135,And that girl is suffering.,0.0,44.09,0.0,70.0,0.0,25.91
136,"Thirty – no, twenty-eight years since her sister died?",1.02,50.54,0.0,80.0,-1.02,29.46
137,"When she gets that pain, it’s like she has phlebitis from it.",5.1,49.46,0.0,90.0,-5.1,40.54
138,"She suffers – seven, eight, nine weeks at a time.",2.04,51.61,0.0,100.0,-2.04,48.39
139,"She can’t walk, she goes through such pain since then.",2.04,43.01,0.0,90.0,-2.04,46.99
140,And how did they figure how Marie died?,4.08,35.48,0.0,60.0,-4.08,24.52
141,"The girl who was walking with Marie,",1.02,34.41,0.0,60.0,-1.02,25.59
142,told the doctor that Marie was saying goodbye to Arlene.,2.04,37.63,0.0,60.0,-2.04,22.37
143,"And all Marie said to that girl was, “Oh, I’ve got a pain in my leg and I can’t see.”",12.24,44.09,10.0,70.0,-2.24,25.91
144,And then Marie collapsed.,7.14,47.31,20.0,80.0,12.86,32.69
145,"Later, they said it was a blood clot.",31.63,75.27,40.0,90.0,8.37,14.73
146,"I said, “Don’t you dare touch my daughter.",7.14,51.61,0.0,70.0,-7.14,18.39
147,I’ll burn this hospital down!,6.12,53.76,0.0,70.0,-6.12,16.24
148,I don’t care who’s in it.”,0.0,47.31,0.0,70.0,0.0,22.69
149,"I said, “Don’t you dare touch my daughter.",4.08,50.54,0.0,70.0,-4.08,19.46
150,You want to find out what she died from.”,0.0,50.54,0.0,70.0,0.0,19.46
151,"But if you touch my daughter, I’ll kill you.”",4.08,49.46,0.0,70.0,-4.08,20.54
152,I wouldn’t let them touch her.,0.0,37.63,0.0,70.0,0.0,32.37
153,So when I got home – they took me home.,5.1,67.74,0.0,60.0,-5.1,-7.74
154,I was screaming in the car.,6.12,46.24,0.0,60.0,-6.12,13.76
155,"I couldn’t get out, you know, I couldn’t –",0.0,41.94,0.0,60.0,0.0,18.06
156,I was screaming!,6.12,46.24,0.0,60.0,-6.12,13.76
157,"Everybody came out, coming out of their doors because they could hear the screams.",4.08,48.39,0.0,60.0,-4.08,11.61
158,My husband was sitting on the step.,11.22,50.54,0.0,70.0,-11.22,19.46
159,"He asked, “What’s the matter? What happened to you?”",11.22,45.16,0.0,70.0,-11.22,24.84
160,"Well, my hair was all pulled, and my face – I was a mess.",1.02,40.86,0.0,70.0,-1.02,29.14
161,I didn’t know what I had done to myself.,0.0,38.71,0.0,70.0,0.0,31.29
162,"I said, “Mike, we lost Marie. Marie died.” It was just a shock.",24.49,69.89,0.0,100.0,-24.49,30.11
163,My husband had a heart attack.,52.04,80.65,20.0,100.0,-32.04,19.35
164,"Yes, he had a heart attack.",31.63,64.52,30.0,90.0,-1.63,25.48
165,"Then my son, Michael, yeah. That night.",16.33,53.76,0.0,90.0,-16.33,36.24
166,"Right there, my Michael came, and my Michael collapsed.",21.43,73.12,20.0,100.0,-1.43,26.88
167,"He had a heart attack too, no kidding.",29.59,54.84,10.0,80.0,-19.59,25.16
168,"It was all – my two sisters were here, waiting until about half-past four.",0.0,41.94,0.0,70.0,0.0,28.06
169,"They waited because they knew she was coming home that day, waiting for the call.",0.0,41.94,0.0,70.0,0.0,28.06
170,"My younger sister had brought an orange for Marie, and I had never seen an orange like it. It was a big orange, like that.",13.27,49.46,10.0,70.0,-3.27,20.54
171,"She said, “Mary, look, when they call you, when you pick Marie up, let us know, and we’ll come over.”",0.0,39.78,0.0,70.0,0.0,30.22
172,"I said, “All right.”",0.0,36.56,0.0,70.0,0.0,33.44
173,"So, I got home and called everybody, told them what happened.",4.08,64.52,0.0,70.0,-4.08,5.48
174,I called my brother-in-law.,7.14,52.69,0.0,70.0,-7.14,17.31
175,He was an undertaker.,4.08,50.54,0.0,70.0,-4.08,19.46
176,My sister’s husband – he’s passed away now too. God rest his soul.,3.06,49.46,0.0,70.0,-3.06,20.54
177,Maybe you know him...,0.0,45.16,0.0,70.0,0.0,24.84
178,"So they were waiting for my call, you know,",0.0,49.46,0.0,70.0,0.0,20.54
179,"but instead, I sent my son James, he was little then.",7.14,63.44,0.0,70.0,-7.14,6.56
180,"I said, “Go tell Aunt Millie and Aunt Jenny.”",15.31,66.67,0.0,70.0,-15.31,3.33
181,"They had cleaned the pavement,",0.0,53.76,0.0,70.0,0.0,16.24
182,"and done the cement work, and they were cleaning the pavement.",0.0,53.76,0.0,70.0,0.0,16.24
183,"They said, “Here comes little Jamie,” and now they said,",0.0,53.76,0.0,70.0,0.0,16.24
184,“Maybe he’s come to tell us Marie’s home.”,0.0,55.91,0.0,70.0,0.0,14.09
185,"But when he got there, the poor kid’s eyes were all red.",6.12,55.91,0.0,70.0,-6.12,14.09
186,"They said, “James, what’s the matter, honey?",1.02,55.91,0.0,70.0,-1.02,14.09
187,Why are you crying?”,1.02,54.84,0.0,70.0,-1.02,15.16
188,"“Aunt Jenny, Aunt Millie, Marie died,” he said.",19.39,62.37,0.0,70.0,-19.39,7.63
189,"Well, my sisters and my mother, you know, they were all alive.",0.0,40.86,0.0,70.0,0.0,29.14
190,It was a shock to everybody. That was a shock that –,3.06,45.16,0.0,70.0,-3.06,24.84
191,"The neighborhood – Annie at the store always says, “Mrs. Costa,” every time I go in there, she reminds me, “I just picture Marie standing at that step, looking over here.” She used to stand at that step.",14.29,46.24,10.0,70.0,-4.29,23.76
192,"She was a real quiet girl, pleasant, didn’t talk much,",14.29,45.16,10.0,70.0,-4.29,24.84
193,"but she was so good, I can’t even tell you.",8.16,47.31,10.0,70.0,1.84,22.69
194,That’s all. So that’s what happened.,4.08,36.56,0.0,70.0,-4.08,33.44
